problem_size,runtime_winners,energy_winners,edp_winners,best_runtime_s,best_device_energy_j,best_edp_j_s,global_pareto_points,global_pareto_platforms,runtime_selected_configs,runtime_point_winners,runtime_fixed_config_session_support,runtime_oracle_envelope_session_support,runtime_fixed_all_session_winners,runtime_oracle_all_session_winners,runtime_oracle_consistent_winners,runtime_fixed_majority_winners,runtime_ci_separated_winners,runtime_magnitude_stable_winners,runtime_directionally_robust_winners,runtime_fully_robust_winners,runtime_robust_winners,runtime_in_range_complete_5x10_winners,runtime_in_range_any_coverage_winners,runtime_in_range_primary_agrees,runtime_in_range_partial_configs,energy_selected_configs,energy_point_winners,energy_fixed_config_session_support,energy_oracle_envelope_session_support,energy_fixed_all_session_winners,energy_oracle_all_session_winners,energy_oracle_consistent_winners,energy_fixed_majority_winners,energy_ci_separated_winners,energy_magnitude_stable_winners,energy_directionally_robust_winners,energy_fully_robust_winners,energy_robust_winners,energy_in_range_complete_5x10_winners,energy_in_range_any_coverage_winners,energy_in_range_primary_agrees,energy_in_range_partial_configs,edp_selected_configs,edp_point_winners,edp_fixed_config_session_support,edp_oracle_envelope_session_support,edp_fixed_all_session_winners,edp_oracle_all_session_winners,edp_oracle_consistent_winners,edp_fixed_majority_winners,edp_ci_separated_winners,edp_magnitude_stable_winners,edp_directionally_robust_winners,edp_fully_robust_winners,edp_robust_winners,edp_in_range_complete_5x10_winners,edp_in_range_any_coverage_winners,edp_in_range_primary_agrees,edp_in_range_partial_configs
1000000,5060ti,5060ti,5060ti,8.188072942765906e-06,0.0011103864734299516,9.091926211190982e-09,1,5060ti,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,2,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,2,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,2
2000000,5060ti,5060ti,5060ti,1.4329123006490994e-05,0.002028944389516973,2.9073135979716402e-08,1,5060ti,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,2,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,2,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,2
4000000,5060ti,5060ti,5060ti,2.6613832286649458e-05,0.004748283570174037,1.2640514851843727e-07,1,5060ti,5060ti:T-1,5060ti,5060ti:5/5,5060ti:4/5,5060ti,,,5060ti,5060ti,5060ti,5060ti,,,5060ti,5060ti,yes,0,5060ti:T-1,5060ti,5060ti:5/5,5060ti:4/5,5060ti,,,5060ti,5060ti,5060ti,5060ti,,,5060ti,5060ti,yes,0,5060ti:T-1,5060ti,5060ti:5/5,5060ti:4/5,5060ti,,,5060ti,5060ti,5060ti,5060ti,,,5060ti,5060ti,yes,0
8000000,amd,amd,amd,5.1988345087510966e-05,0.013987632537496172,7.267372843729148e-07,1,amd,amd:T32,amd,amd:5/5,amd:5/5,amd,amd,amd,amd,amd,,amd,,,amd,amd,yes,0,amd:T32,amd,amd:5/5,amd:5/5,amd,amd,amd,amd,amd,,amd,,,amd,amd,yes,0,amd:T32,amd,amd:5/5,amd:5/5,amd,amd,amd,amd,amd,,amd,,,amd,amd,yes,0
16000000,3090,5060ti,3090,0.00023046005668202763,0.04634980620155039,1.8735628754381957e-05,2,3090|5060ti,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,3,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,3,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,3
32000000,3090,5060ti,3090,0.00045713873606032906,0.09262997090203685,7.359209818081781e-05,2,3090|5060ti,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,0,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0
64000000,3090,5060ti,3090,0.0009122411909753875,0.18314341085271318,0.00029419141419006285,2,3090|5060ti,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,0,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0
128000000,3090,5060ti,3090,0.001817880112522686,0.36802702702702705,0.0011621475679723058,2,3090|5060ti,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,0,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0
256000000,3090,5060ti,3090,0.0036270642989130433,0.7406666666666666,0.004631336092562954,2,3090|5060ti,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0,5060ti:T-1,5060ti,5060ti:5/5,5060ti:5/5,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,5060ti,yes,0,3090:T-1,3090,3090:5/5,3090:5/5,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,yes,0
