objective,holdout_session,context_level,policy,train_cvar10_regret_pct,train_p95_regret_pct,train_mean_log_regret,train_max_regret_pct
edp,1,L1,3090,1114.4482555747054,1077.7784423066785,0.4120133740709181,1443.1317900147546
edp,2,L1,3090,1109.550106529603,1077.7784423066785,0.41151293459394395,1423.9646679004993
edp,3,L1,3090,1112.3449915664894,1083.1461108028195,0.4127424484767295,1443.1317900147546
edp,4,L1,3090,1111.127906208078,1077.7784423066785,0.41261416767113074,1443.1317900147546
edp,5,L1,3090,1111.6735899527712,1083.7904431103382,0.4126072851777958,1443.1317900147546
edp,1,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=3090,35.279370485326126,31.813584028102163,0.07634245406609177,52.587839887118946
edp,2,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=3090,35.46547726910561,32.34330418978205,0.07713993345836438,51.84347852443707
edp,3,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=3090,35.345917094456894,31.510586361766364,0.07653361794038832,52.587839887118946
edp,4,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=3090,35.20016183067448,31.510586361766364,0.07692867728135849,52.587839887118946
edp,5,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=3090,35.48533792305071,32.34330418978205,0.07672919036059234,52.587839887118946
energy,1,L1,5060ti,146.81765801816795,136.33165967148582,0.14867011472201253,191.30763251491857
energy,2,L1,5060ti,146.2239957920308,136.33165967148582,0.14824688194961375,190.4137239954164
energy,3,L1,5060ti,146.14047998628968,136.79501757641606,0.14793873689688314,191.30763251491857
energy,4,L1,5060ti,146.02214671384885,136.33165967148582,0.14809850344693906,191.30763251491857
energy,5,L1,5060ti,145.98770650208024,136.7140977576909,0.14794023171339257,191.30763251491857
energy,1,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=5060ti,129.74730166787757,137.56102117744334,0.09792138632660752,185.1400934747494
energy,2,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=5060ti,129.08681807456736,136.27281635552214,0.09748025234777535,183.1140528740996
energy,3,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=5060ti,129.23916016727304,136.27281635552214,0.09753299423756932,185.1400934747494
energy,4,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=5060ti,130.09182547885771,137.03905585357327,0.09805383954939177,185.1400934747494
energy,5,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=5060ti|STREAM=5060ti|REDUCTION=5060ti|CONV2D=5060ti,129.58203488057984,136.27281635552214,0.09821813199236547,185.1400934747494
runtime,1,L1,3090,108.97281999462214,117.66231180413322,0.10391622773324727,124.30858966489242
runtime,2,L1,3090,108.93463783762164,117.66231180413322,0.1039248842220771,124.30858966489242
runtime,3,L1,3090,108.99674142520747,117.66231180413322,0.1043082770642817,124.30858966489242
runtime,4,L1,3090,108.88960333425402,117.91535211414325,0.10422710014435814,124.30858966489242
runtime,5,L1,3090,109.04358212828274,117.89111523430681,0.10430962889968864,124.10762123914508
runtime,1,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=3090|STREAM=3090|REDUCTION=3090|CONV2D=3090,108.97281999462214,117.66231180413322,0.10391622773324727,124.30858966489242
runtime,2,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=3090|STREAM=3090|REDUCTION=3090|CONV2D=3090,108.93463783762164,117.66231180413322,0.1039248842220771,124.30858966489242
runtime,3,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=3090|STREAM=3090|REDUCTION=3090|CONV2D=3090,108.99674142520747,117.66231180413322,0.1043082770642817,124.30858966489242
runtime,4,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=3090|STREAM=3090|REDUCTION=3090|CONV2D=3090,108.88960333425402,117.91535211414325,0.10422710014435814,124.30858966489242
runtime,5,L2,GEMM=3090|STRIDED_GEMM=3090|AXPY=3090|STREAM=3090|REDUCTION=3090|CONV2D=3090,109.04358212828274,117.89111523430681,0.10430962889968864,124.10762123914508
