objective,context_level,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,L1,1,STRIDED_GEMM,64,3090,4.848661624867946e-09,3.24423910027237e-09,49.4545092086732
edp,L1,1,STRIDED_GEMM,128,3090,5.216434685917996e-09,4.204998524883306e-09,24.05318705938806
edp,L1,1,STRIDED_GEMM,256,3090,1.556595186251065e-08,1.556595186251065e-08,0.0
edp,L1,1,STRIDED_GEMM,512,3090,1.7169369096292428e-07,1.7169369096292428e-07,0.0
edp,L1,1,STRIDED_GEMM,1024,3090,4.870540304469664e-06,4.870540304469664e-06,0.0
edp,L1,1,STRIDED_GEMM,2048,3090,0.0001964703150806863,0.0001964703150806863,0.0
edp,L1,1,STRIDED_GEMM,4096,3090,0.009962700571296156,0.009962700571296156,0.0
edp,L1,1,STRIDED_GEMM,8192,3090,0.571710555453125,0.571710555453125,0.0
edp,L1,1,STRIDED_GEMM,16384,3090,37.9637149863611,37.9637149863611,0.0
edp,L1,2,AXPY,1000000,3090,6.282778862821483e-08,9.112375445065539e-09,589.477612143789
edp,L1,2,AXPY,2000000,3090,3.4443871106183644e-07,2.9072993730717436e-08,1084.7376787273042
edp,L1,2,AXPY,4000000,3090,1.2475270480338042e-06,1.263443511807673e-07,887.4023146859204
edp,L1,2,AXPY,8000000,3090,4.806421703778365e-06,4.806421703778365e-06,0.0
edp,L1,2,AXPY,16000000,3090,1.873445541201579e-05,1.873445541201579e-05,0.0
edp,L1,2,AXPY,32000000,3090,7.411884083258852e-05,7.411884083258852e-05,0.0
edp,L1,2,AXPY,64000000,3090,0.00029461973074649747,0.00029461973074649747,0.0
edp,L1,2,AXPY,128000000,3090,0.0011589860015389323,0.0011589860015389323,0.0
edp,L1,2,AXPY,256000000,3090,0.004631429746746476,0.004631429746746476,0.0
edp,L1,2,CONV2D,1,3090,3.3467144990575423e-05,3.3467144990575423e-05,0.0
edp,L1,2,CONV2D,2,3090,2.8512645483848145e-05,2.8512645483848145e-05,0.0
edp,L1,2,CONV2D,3,3090,1.862156394958206e-05,1.862156394958206e-05,0.0
edp,L1,2,CONV2D,4,3090,3.0287133169051913e-05,3.0287133169051913e-05,0.0
edp,L1,2,CONV2D,5,3090,7.500527857279441e-05,7.500527857279441e-05,0.0
edp,L1,2,CONV2D,6,3090,0.00019450706841907372,0.00019450706841907372,0.0
edp,L1,2,GEMM,64,3090,4.374002281744054e-09,3.3379631010000002e-09,31.038065712400286
edp,L1,2,GEMM,128,3090,4.803473295167879e-09,4.019357669449647e-09,19.50848096147657
edp,L1,2,GEMM,256,3090,1.4290900717852761e-08,1.4290900717852761e-08,0.0
edp,L1,2,GEMM,512,3090,1.6368433593846343e-07,1.6368433593846343e-07,0.0
edp,L1,2,GEMM,1024,3090,4.836524439846497e-06,4.836524439846497e-06,0.0
edp,L1,2,GEMM,2048,3090,0.00018872663058169332,0.00018872663058169332,0.0
edp,L1,2,GEMM,4096,3090,0.009579676570462927,0.009579676570462927,0.0
edp,L1,2,GEMM,8192,3090,0.5482023031145821,0.5482023031145821,0.0
edp,L1,2,GEMM,16384,3090,34.171646829328125,34.171646829328125,0.0
edp,L1,2,REDUCTION,1000000,3090,6.9115211962921775e-09,2.4614950598417303e-09,180.7854993922505
edp,L1,2,REDUCTION,2000000,3090,5.489981878693474e-08,5.9339136827967925e-09,825.1873505692648
edp,L1,2,REDUCTION,4000000,3090,1.6571425615141264e-07,1.2467604288842092e-08,1229.1587727059878
edp,L1,2,REDUCTION,8000000,3090,5.717563984888825e-07,3.705168944017514e-08,1443.1317900147546
edp,L1,2,REDUCTION,16000000,3090,2.0487037303993686e-06,2.0487037303993686e-06,0.0
edp,L1,2,REDUCTION,32000000,3090,7.797132050113786e-06,7.797132050113786e-06,0.0
edp,L1,2,REDUCTION,64000000,3090,3.042942966451686e-05,3.042942966451686e-05,0.0
edp,L1,2,REDUCTION,128000000,3090,0.00012004680163436759,0.00012004680163436759,0.0
edp,L1,2,REDUCTION,256000000,3090,0.0004714539072159894,0.0004714539072159894,0.0
edp,L1,2,STREAM,1000000,3090,8.233135194608648e-08,9.537199307597631e-09,763.2655068925607
edp,L1,2,STREAM,2000000,3090,3.48226411337032e-07,3.070154697845176e-08,1034.2308307182007
edp,L1,2,STREAM,4000000,3090,1.2592659558261002e-06,9.974814629126001e-07,26.24454715670619
edp,L1,2,STREAM,8000000,3090,4.800602780924658e-06,4.800602780924658e-06,0.0
edp,L1,2,STREAM,16000000,3090,1.8668397595539813e-05,1.8668397595539813e-05,0.0
edp,L1,2,STREAM,32000000,3090,7.351051651454567e-05,7.351051651454567e-05,0.0
edp,L1,2,STREAM,64000000,3090,0.0002916535732239465,0.0002916535732239465,0.0
edp,L1,2,STREAM,128000000,3090,0.0011596871584248465,0.0011596871584248465,0.0
edp,L1,2,STREAM,256000000,3090,0.00461811040171241,0.00461811040171241,0.0
edp,L1,2,STRIDED_GEMM,64,3090,4.932569726618869e-09,3.2326099709307595e-09,52.587839887118946
edp,L1,2,STRIDED_GEMM,128,3090,5.234177071190658e-09,4.177239042164778e-09,25.30231136780099
edp,L1,2,STRIDED_GEMM,256,3090,1.581828235968984e-08,1.581828235968984e-08,0.0
edp,L1,2,STRIDED_GEMM,512,3090,1.7294079940719417e-07,1.7294079940719417e-07,0.0
edp,L1,2,STRIDED_GEMM,1024,3090,4.942276928455132e-06,4.942276928455132e-06,0.0
edp,L1,2,STRIDED_GEMM,2048,3090,0.00019813824104102288,0.00019813824104102288,0.0
edp,L1,2,STRIDED_GEMM,4096,3090,0.009970166522702276,0.009970166522702276,0.0
edp,L1,2,STRIDED_GEMM,8192,3090,0.5728548647439231,0.5728548647439231,0.0
edp,L1,2,STRIDED_GEMM,16384,3090,37.3632447165625,37.3632447165625,0.0
edp,L1,3,AXPY,1000000,3090,5.454511302894363e-08,9.091925439104617e-09,499.9291722558967
edp,L1,3,AXPY,2000000,3090,3.435716708929544e-07,2.9155213077533744e-08,1078.4227746141971
edp,L1,3,AXPY,4000000,3090,1.2547827548520842e-06,1.2636851814568563e-07,892.9551863585923
edp,L1,3,AXPY,8000000,3090,4.776480459250303e-06,4.776480459250303e-06,0.0
edp,L1,3,AXPY,16000000,3090,1.8589046762381857e-05,1.8589046762381857e-05,0.0
edp,L1,3,AXPY,32000000,3090,7.361609623578297e-05,7.361609623578297e-05,0.0
edp,L1,3,AXPY,64000000,3090,0.00029529421983274384,0.00029529421983274384,0.0
edp,L1,3,AXPY,128000000,3090,0.0011622709961895035,0.0011622709961895035,0.0
edp,L1,3,AXPY,256000000,3090,0.004602056072770264,0.004602056072770264,0.0
edp,L1,3,CONV2D,1,3090,3.3378788206108005e-05,3.3378788206108005e-05,0.0
edp,L1,3,CONV2D,2,3090,2.8347796558324433e-05,2.8347796558324433e-05,0.0
edp,L1,3,CONV2D,3,3090,1.8654256313792556e-05,1.8654256313792556e-05,0.0
edp,L1,3,CONV2D,4,3090,3.0664125698115026e-05,3.0664125698115026e-05,0.0
edp,L1,3,CONV2D,5,3090,7.404988811641863e-05,7.404988811641863e-05,0.0
edp,L1,3,CONV2D,6,3090,0.0001888456552369573,0.0001888456552369573,0.0
edp,L1,3,GEMM,64,3090,4.4014542102429585e-09,3.3063817853684274e-09,33.11996302787848
edp,L1,3,GEMM,128,3090,4.834801372387535e-09,4.21239092436194e-09,14.775704800472035
edp,L1,3,GEMM,256,3090,1.4626701804604294e-08,1.4626701804604294e-08,0.0
edp,L1,3,GEMM,512,3090,1.638252432855722e-07,1.638252432855722e-07,0.0
edp,L1,3,GEMM,1024,3090,4.7792938101188475e-06,4.7792938101188475e-06,0.0
edp,L1,3,GEMM,2048,3090,0.00018870074383308674,0.00018870074383308674,0.0
edp,L1,3,GEMM,4096,3090,0.009586389181975213,0.009586389181975213,0.0
edp,L1,3,GEMM,8192,3090,0.5519611838732631,0.5519611838732631,0.0
edp,L1,3,GEMM,16384,3090,34.61250786581249,34.61250786581249,0.0
edp,L1,3,REDUCTION,1000000,3090,6.8563039715819475e-09,2.474535993631169e-09,177.07432784280942
edp,L1,3,REDUCTION,2000000,3090,5.460700999124498e-08,5.980464346876632e-09,813.0898007905378
edp,L1,3,REDUCTION,4000000,3090,1.6572011416919183e-07,1.2520686060739825e-08,1223.5705564795521
edp,L1,3,REDUCTION,8000000,3090,5.664828955045245e-07,3.728527220003208e-08,1419.320799015213
edp,L1,3,REDUCTION,16000000,3090,2.037456991504796e-06,2.037456991504796e-06,0.0
edp,L1,3,REDUCTION,32000000,3090,7.733533276266238e-06,7.733533276266238e-06,0.0
