selection_objective,evaluation_objective,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,edp,2,GEMM,2048,3090,0.00018872663058169332,0.00018872663058169332,0.0
edp,edp,2,GEMM,4096,3090,0.009579676570462927,0.009579676570462927,0.0
edp,edp,2,GEMM,8192,3090,0.5482023031145821,0.5482023031145821,0.0
edp,edp,2,GEMM,16384,3090,34.171646829328125,34.171646829328125,0.0
edp,edp,2,REDUCTION,1000000,5060ti,2.4614950598417303e-09,2.4614950598417303e-09,0.0
edp,edp,2,REDUCTION,2000000,5060ti,5.9339136827967925e-09,5.9339136827967925e-09,0.0
edp,edp,2,REDUCTION,4000000,5060ti,1.2467604288842092e-08,1.2467604288842092e-08,0.0
edp,edp,2,REDUCTION,8000000,5060ti,3.705168944017514e-08,3.705168944017514e-08,0.0
edp,edp,2,REDUCTION,16000000,3090,2.0487037303993686e-06,2.0487037303993686e-06,0.0
edp,edp,2,REDUCTION,32000000,3090,7.797132050113786e-06,7.797132050113786e-06,0.0
edp,edp,2,REDUCTION,64000000,3090,3.042942966451686e-05,3.042942966451686e-05,0.0
edp,edp,2,REDUCTION,128000000,3090,0.00012004680163436759,0.00012004680163436759,0.0
edp,edp,2,REDUCTION,256000000,3090,0.0004714539072159894,0.0004714539072159894,0.0
edp,edp,2,STREAM,1000000,5060ti,9.537199307597631e-09,9.537199307597631e-09,0.0
edp,edp,2,STREAM,2000000,5060ti,3.070154697845176e-08,3.070154697845176e-08,0.0
edp,edp,2,STREAM,4000000,5060ti,9.974814629126001e-07,9.974814629126001e-07,0.0
edp,edp,2,STREAM,8000000,3090,4.800602780924658e-06,4.800602780924658e-06,0.0
edp,edp,2,STREAM,16000000,3090,1.8668397595539813e-05,1.8668397595539813e-05,0.0
edp,edp,2,STREAM,32000000,3090,7.351051651454567e-05,7.351051651454567e-05,0.0
edp,edp,2,STREAM,64000000,3090,0.0002916535732239465,0.0002916535732239465,0.0
edp,edp,2,STREAM,128000000,3090,0.0011596871584248465,0.0011596871584248465,0.0
edp,edp,2,STREAM,256000000,3090,0.00461811040171241,0.00461811040171241,0.0
edp,edp,2,STRIDED_GEMM,64,5060ti,3.2326099709307595e-09,3.2326099709307595e-09,0.0
edp,edp,2,STRIDED_GEMM,128,5060ti,4.177239042164778e-09,4.177239042164778e-09,0.0
edp,edp,2,STRIDED_GEMM,256,3090,1.581828235968984e-08,1.581828235968984e-08,0.0
edp,edp,2,STRIDED_GEMM,512,3090,1.7294079940719417e-07,1.7294079940719417e-07,0.0
edp,edp,2,STRIDED_GEMM,1024,3090,4.942276928455132e-06,4.942276928455132e-06,0.0
edp,edp,2,STRIDED_GEMM,2048,3090,0.00019813824104102288,0.00019813824104102288,0.0
edp,edp,2,STRIDED_GEMM,4096,3090,0.009970166522702276,0.009970166522702276,0.0
edp,edp,2,STRIDED_GEMM,8192,3090,0.5728548647439231,0.5728548647439231,0.0
edp,edp,2,STRIDED_GEMM,16384,3090,37.3632447165625,37.3632447165625,0.0
edp,edp,3,AXPY,1000000,5060ti,9.091925439104617e-09,9.091925439104617e-09,0.0
edp,edp,3,AXPY,2000000,5060ti,2.9155213077533744e-08,2.9155213077533744e-08,0.0
edp,edp,3,AXPY,4000000,5060ti,1.2636851814568563e-07,1.2636851814568563e-07,0.0
edp,edp,3,AXPY,8000000,3090,4.776480459250303e-06,4.776480459250303e-06,0.0
edp,edp,3,AXPY,16000000,3090,1.8589046762381857e-05,1.8589046762381857e-05,0.0
edp,edp,3,AXPY,32000000,3090,7.361609623578297e-05,7.361609623578297e-05,0.0
edp,edp,3,AXPY,64000000,3090,0.00029529421983274384,0.00029529421983274384,0.0
edp,edp,3,AXPY,128000000,3090,0.0011622709961895035,0.0011622709961895035,0.0
edp,edp,3,AXPY,256000000,3090,0.004602056072770264,0.004602056072770264,0.0
edp,edp,3,CONV2D,1,3090,3.3378788206108005e-05,3.3378788206108005e-05,0.0
