objective,context_level,n_evaluations,coverage_within_5_pct,median_regret_pct,p95_regret_pct,cvar10_regret_pct,max_regret_pct
edp,L1,255,72.54901960784314,0.0,1080.3172458481292,1114.585139383609,1443.1317900147546
edp,L2,255,67.45098039215686,0.0,31.915093962627495,35.413735064243845,52.587839887118946
edp,L3,255,100.0,0.0,0.0,0.05902756976693914,1.5347168139404177
energy,L1,255,73.72549019607844,0.0,136.54755763828337,146.52489964948376,191.30763251491857
energy,L2,255,82.35294117647058,0.0,137.06521914929257,130.21443176952255,185.1400934747494
energy,L3,255,99.6078431372549,0.0,0.0,0.23863531053799944,6.204518073987986
runtime,L1,255,84.31372549019608,0.0,117.76730283579563,109.18803503385799,124.30858966489242
runtime,L2,255,84.31372549019608,0.0,117.76730283579563,109.18803503385799,124.30858966489242
runtime,L3,255,100.0,0.0,0.0,0.0,0.0
