workload,size,runtime_3090,runtime_5060ti,energy_3090,energy_5060ti,edp_3090,edp_5060ti,power_3090,power_5060ti,speedup_3090_vs_5060,saving_5060_vs_3090,power_ratio_3090_5060,energy_ratio_5060_3090,edp_ratio_3090_5060,edp_advantage_3090,time_ratio_3090_5060,energy_ratio_3090_5060,log_power,log_time,log_energy,speed_cancellation_fraction
AXPY,16000000,0.000230460056682,0.0004852657011633,0.0813677486187845,0.0463498062015503,1.873562875438196e-05,2.2493325606295025e-05,353.37541172914825,95.50853360123187,2.1056390775469316,0.4303663676538051,3.699935475970813,0.5696336323461949,0.8329416948971997,0.1670583051028003,0.47491519827082596,1.755514322216582,1.3083153805713117,-0.7446190208420214,0.5627618750758848,0.5691433670349906
AXPY,32000000,0.0004571387360603,0.000969943542677,0.1609741773308958,0.0926299709020368,7.359209818081781e-05,8.992119720596287e-05,352.1123385659202,95.42232787373902,2.121770627088266,0.42456627244239187,3.690041381424151,0.5754337275576081,0.8184065656094018,0.18159343439059816,0.4713044790201066,1.7378195821861822,1.3056376724676437,-0.7522509415539935,0.5526312137368443,0.5761559714589468
AXPY,64000000,0.0009122411909753,0.0019394992199612,0.3225813636363637,0.1831434108527131,0.00029419141419,0.0003552845871292,353.70408958061944,94.40744171344323,2.1260816099387405,0.432256690875778,3.7465700072058348,0.567743309124222,0.8280444039724602,0.17195559602753985,0.47034883107277015,1.7613593747895677,1.3208407566761626,-0.7542806657957751,0.5660858829638032,0.5710610169948791
AXPY,128000000,0.0018178801125226,0.0038810802934362,0.6394210526315789,0.368027027027027,0.0011621475679723,0.0014276702824456,351.7795653931447,94.91868359010752,2.134948430702935,0.4244371130534601,3.706115088071105,0.5755628869465399,0.8140167812287447,0.18598321877125534,0.4683953886749144,1.737429606181128,1.3099841819063789,-0.7584424921513686,0.5524067832079508,0.57897072546909
AXPY,256000000,0.003627064298913,0.0077655605271317,1.2767771739130436,0.7406666666666666,0.0046313360925629,0.0057521846931215,351.9893685903122,95.37406922398324,2.1410043735532813,0.419893555586771,3.690619174103554,0.580106444413229,0.8051438435384528,0.1948561564615472,0.4670705078198262,1.7238215669393029,1.3057942418359914,-0.7612750523673844,0.5445436674299025,0.5829977097287591
STREAM,16000000,0.0002296336394948,0.0004848536112457,0.0812964408725602,0.0493795443528841,1.8668397595539813e-05,2.394138365316744e-05,354.0238751630151,101.84637164740604,2.111422404454289,0.3925989400902412,3.476057805855392,0.6074010599097588,0.7797543310772679,0.22024566892273212,0.4736143738412478,1.646358668107312,1.2458988372577895,-0.7473618457013446,0.4985659813773474,0.5998575673658066
STREAM,32000000,0.0004557578587699,0.0009704689621726,0.1612892938496583,0.0978553398058252,7.351051651454567e-05,9.497065554156411e-05,353.897484554019,100.73447387319968,2.1293521186709015,0.39329302354663065,3.5131715186152688,0.6067069764533694,0.7740340012960492,0.22596599870395084,0.46962641417154616,1.6482421313921691,1.2565191960643034,-0.7558177638142922,0.4997093450834012,0.6015170848019521
STREAM,64000000,0.0009091030881017,0.0019405116279069,0.3208197093551317,0.1960968992248062,0.0002916535732239,0.0003805283131422,352.95532371436866,101.03495380272314,2.1345341945311027,0.3887629297496291,3.4933981798372007,0.6112370702503709,0.7664438181106163,0.23355618188938365,0.468486287341802,1.6360264268500382,1.2508749529829937,-0.7582484470131197,0.4922703913814108,0.6061744582900993
STREAM,128000000,0.0018103218806509,0.0038822480620155,0.639745931283906,0.3926027131782945,0.001158873725075,0.0015242648167552,353.13204646241934,101.14146825348834,2.1445070644672537,0.38631463839030566,3.4914664831379874,0.6136853616096943,0.7602837199522644,0.2397162800477356,0.4663076268524317,1.6294995164574302,1.2503218436983716,-0.7629097191951842,0.4882729225525264,0.6101706716876563
STREAM,256000000,0.0036189025270758,0.0077620465116279,1.277,0.7856279069767442,0.0046261653104692,0.006097809343609,352.8085661032584,101.07869294507404,2.1448619998892053,0.3847862905428784,3.490434589364683,0.6152137094571216,0.7586602089023654,0.2413397910976346,0.46623046147102043,1.6254514238351783,1.250026252635106,-0.7630752145943612,0.4857855764858112,0.6104473509942433
REDUCTION,16000000,7.689482427341227e-05,0.0001578432249814,0.0265895533861173,0.0134059067972692,2.044118833047e-06,2.1161634512469065e-06,345.8734590417281,84.92620203214521,2.0527158553631946,0.49582053513284763,4.072635426588515,0.5041794648671524,0.9659550786790804,0.03404492132091963,0.4871594855114842,1.9834207255217993,1.4042903148609955,-0.7191637238614035,0.6848229932069727,0.5121189801359488
REDUCTION,32000000,0.0001487715977242,0.0003079890601908,0.0519617843866171,0.0257298337438423,7.727762971647691e-06,7.924159228116046e-06,349.1911209809008,83.5439007821953,2.0702141060672417,0.5048315979220088,4.1797320655551635,0.4951684020779912,0.9752155085713683,0.024784491428631705,0.48304182503117365,2.0195149686520097,1.4302471453327443,-0.7276520348111912,0.7028573680522965,0.5087596484185986
REDUCTION,64000000,0.0002925112850248,0.0006085138339416,0.1034283625730994,0.0510550486618004,3.0250734289870027e-05,3.106664062597086e-05,353.62212430792965,83.90311594541261,2.0803089148851415,0.5063728421136267,4.214648291941819,0.4936271578863733,0.9737368984975234,0.02626310150247657,0.4806978390780065,2.025820467986057,1.438566145965655,-0.7325163994574052,0.7059747878753859,0.5091989697600556
REDUCTION,128000000,0.0005799773257971,0.0012090710458937,0.2053828985507246,0.1017971014492753,0.0001191174242659,0.0001230780165792,354.11402534202864,84.19651844569648,2.084686749144885,0.5043545389241165,4.205803658858158,0.4956454610758835,0.9678204733600709,0.03217952663992907,0.4796883754406694,2.0175711845102517,1.4364653949874255,-0.7346186037452919,0.7018944040638062,0.5114071012839976
