cell,workload,size,always_3090_energy_regret_pct,always_5060ti_runtime_regret_pct
AXPY:1000000,AXPY,1000000,297.1193909986945,0.0
AXPY:2000000,AXPY,2000000,441.9082035491006,0.0
AXPY:4000000,AXPY,4000000,344.54155506153563,0.0
AXPY:8000000,AXPY,8000000,78.38887206477389,108.83356106511148
AXPY:16000000,AXPY,16000000,75.55143222165822,110.56390775469316
AXPY:32000000,AXPY,32000000,73.78195821861821,112.1770627088266
AXPY:64000000,AXPY,64000000,76.13593747895678,112.60816099387405
AXPY:128000000,AXPY,128000000,73.7429606181128,113.49484307029351
AXPY:256000000,AXPY,256000000,72.38215669393028,114.10043735532813
CONV2D:1,CONV2D,1,0.0,130.10577175211765
CONV2D:2,CONV2D,2,5.991342968889035,101.46638492880457
CONV2D:3,CONV2D,3,0.0,98.75983745676666
CONV2D:4,CONV2D,4,16.22600414579951,58.24446138952564
CONV2D:5,CONV2D,5,0.0,121.58211583412348
CONV2D:6,CONV2D,6,15.916102062308624,62.93343536006408
GEMM:64,GEMM,64,152.77257076066388,90.14268027358312
GEMM:128,GEMM,128,120.48317563063024,92.21805361548867
GEMM:256,GEMM,256,59.58431761807448,128.0239011629852
GEMM:512,GEMM,512,0.0,206.71742120775747
GEMM:1024,GEMM,1024,0.0,270.88426190293615
GEMM:2048,GEMM,2048,0.0,366.6989798687603
GEMM:4096,GEMM,4096,0.0,406.8206564162546
GEMM:8192,GEMM,8192,0.0,437.8049017880455
GEMM:16384,GEMM,16384,0.0,439.3236123632214
REDUCTION:1000000,REDUCTION,1000000,198.56715397202245,8.636153728795204
REDUCTION:2000000,REDUCTION,2000000,444.3086258761558,0.0
REDUCTION:4000000,REDUCTION,4000000,611.3457286913768,0.0
REDUCTION:8000000,REDUCTION,8000000,659.1535704484928,0.0
REDUCTION:16000000,REDUCTION,16000000,98.34207255217993,105.27158553631946
REDUCTION:32000000,REDUCTION,32000000,101.95149686520098,107.02141060672416
REDUCTION:64000000,REDUCTION,64000000,102.5820467986057,108.03089148851414
REDUCTION:128000000,REDUCTION,128000000,101.75711845102518,108.46867491448849
REDUCTION:256000000,REDUCTION,256000000,102.41172687275481,108.75005045831428
STREAM:1000000,STREAM,1000000,358.20451064754104,0.0
STREAM:2000000,STREAM,2000000,410.0081197165936,0.0
STREAM:4000000,STREAM,4000000,102.46930318914278,60.188451654340994
STREAM:8000000,STREAM,8000000,67.32957036238514,108.59835533174511
STREAM:16000000,STREAM,16000000,64.63586681073119,111.14224044542888
STREAM:32000000,STREAM,32000000,64.82421313921691,112.93521186709015
STREAM:64000000,STREAM,64000000,63.602642685003815,113.45341945311027
STREAM:128000000,STREAM,128000000,62.94995164574302,114.45070644672538
STREAM:256000000,STREAM,256000000,62.54514238351783,114.48619998892053
STRIDED_GEMM:64,STRIDED_GEMM,64,182.93270997329074,86.5805293041763
STRIDED_GEMM:128,STRIDED_GEMM,128,137.71906152589955,89.80574118044417
STRIDED_GEMM:256,STRIDED_GEMM,256,73.25837198360634,124.83562164571462
STRIDED_GEMM:512,STRIDED_GEMM,512,2.593005103539836,195.6647173502835
STRIDED_GEMM:1024,STRIDED_GEMM,1024,0.0,268.95105798448867
STRIDED_GEMM:2048,STRIDED_GEMM,2048,0.0,358.89038125425793
STRIDED_GEMM:4096,STRIDED_GEMM,4096,0.0,406.26846957553846
STRIDED_GEMM:8192,STRIDED_GEMM,8192,0.0,435.175882706938
STRIDED_GEMM:16384,STRIDED_GEMM,16384,0.0,438.71825327786587
