workload,size,platform,configuration,threads,session,runtime_s,runtime_ratio_to_five_session_median,energy_j,energy_ratio_to_five_session_median,power_w,temperature_c,clock_mhz
REDUCTION,16000000,AMD,64T,64,1,0.0001355004692947,1.002962668966325,0.0288464151246983,1.0014059736802081,212.92527963115884,61.0,4147.0
REDUCTION,16000000,AMD,64T,64,2,0.000135100212089,1.0,0.028805914766702,1.0,213.1507972438776,62.0,4147.0
REDUCTION,16000000,AMD,64T,64,3,3.545908422528468e-05,0.2624650522526588,0.0101140245870806,0.35110930060696555,285.1899647996205,71.0,3827.0
REDUCTION,16000000,AMD,64T,64,4,0.0001365758415573,1.0109224807680381,0.0290674770177098,1.0090801577775323,212.93122317677697,63.0,4123.0
REDUCTION,16000000,AMD,64T,64,5,0.0001344725561944,0.9953541457493307,0.0287459204783063,0.9979172927198601,213.67225213641035,60.5,4149.5
STREAM,4000000,AMD,32T,32,1,4.327333956571623e-05,1.0,0.0118868718820379,1.0,274.6147643114543,65.5,3048.5
STREAM,4000000,AMD,32T,32,2,2.2380667838312828e-05,0.5171929890995554,0.0064221460017574,0.5402721645769416,286.8773902799211,68.0,2878.0
STREAM,4000000,AMD,32T,32,3,4.335681224017486e-05,1.0019289630820352,0.0119399679852569,1.0044667851850269,275.1354402837597,70.5,3035.5
STREAM,4000000,AMD,32T,32,4,4.363393962683062e-05,1.0083330767796828,0.011997759660134,1.009328592012812,275.14349087414104,70.0,3089.0
STREAM,4000000,AMD,32T,32,5,4.310296529968454e-05,0.9960628352759104,0.0117776749316508,0.990813651272535,273.23356517051707,70.0,3132.5
