workload,size,package_opt_cfg,package_opt_threads,package_opt_energy_j,total_opt_cfg,total_opt_threads,total_opt_energy_j,thread_optimum_changed,dram_increment_at_package_opt_pct
AXPY,1000000,10T,10,0.0022499783469657,10T,10,0.002249980014154,False,7.409797087021275e-05
AXPY,2000000,16T,16,0.0130342620367518,16T,16,0.0130382178421106,False,0.030349285196540343
AXPY,4000000,2T,2,0.0591315577319587,2T,2,0.0605204582474226,False,2.3488312649562415
AXPY,8000000,2T,2,0.1427214961832061,2T,2,0.1465790241730279,False,2.702836007877929
AXPY,16000000,2T,2,0.3140905932203389,2T,2,0.3229408644067796,False,2.8177447454569737
AXPY,32000000,2T,2,0.6578650294117647,2T,2,0.6767973705882353,False,2.8778458087974412
AXPY,64000000,2T,2,1.3435845357142857,2T,2,1.380494428571429,False,2.74712099432739
AXPY,128000000,2T,2,2.710945071428571,2T,2,2.782693666666667,False,2.6466266688423445
AXPY,256000000,2T,2,5.514698136363636,2T,2,5.656421363636364,False,2.569918130934701
REDUCTION,1000000,20T,20,0.0015453026383549,20T,20,0.0015453029138073,False,1.7825142650806924e-05
REDUCTION,2000000,20T,20,0.0038754635983361,20T,20,0.0038754635983361,False,0.0
REDUCTION,4000000,16T,16,0.0153404463244541,16T,16,0.0153418097633474,False,0.00888786978203715
REDUCTION,8000000,4T,4,0.0468074038668098,4T,4,0.0473999626745435,False,1.2659510222353232
REDUCTION,16000000,4T,4,0.1151314966532797,4T,4,0.1166495147255689,False,1.318508068092572
REDUCTION,32000000,4T,4,0.2542132575301205,4T,4,0.2575388418674699,False,1.3081868230083948
REDUCTION,64000000,4T,4,0.514445896875,4T,4,0.52143565625,False,1.3586966904507003
REDUCTION,128000000,4T,4,1.0599021153846155,4T,4,1.0739424102564104,False,1.3246784460563044
REDUCTION,256000000,4T,4,2.126006320512821,4T,4,2.154565333333333,False,1.3433173996219905
STREAM,1000000,10T,10,0.0077692344628316,10T,10,0.0077692344628316,False,0.0
STREAM,2000000,10T,10,0.0320214308588064,10T,10,0.0325633545608927,False,1.6923781591017484
STREAM,4000000,2T,2,0.1015006599025974,2T,2,0.1039781550324675,False,2.440866032050981
STREAM,8000000,2T,2,0.2299276766917293,2T,2,0.2358022725563909,False,2.554975524994263
STREAM,16000000,2T,2,0.4811020912698412,2T,2,0.4937373452380952,False,2.6263144969717267
STREAM,32000000,2T,2,0.9793557983870969,2T,2,1.0031020161290325,False,2.424677301246736
STREAM,64000000,2T,2,1.9753091612903224,2T,2,2.0211341451612905,False,2.319889198561409
STREAM,128000000,2T,2,3.98362475,2T,2,4.073429031250001,False,2.2543358595711327
STREAM,256000000,2T,2,8.0917723125,2T,2,8.2699169375,False,2.2015526156711873
