workload,size,spearman_edp_runtime,kendall_edp_runtime,spearman_edp_energy,kendall_edp_energy
AXPY,1000000,0.39999999999999997,0.3333333333333334,1.0,1.0
AXPY,2000000,1.0,1.0,1.0,1.0
AXPY,4000000,1.0,1.0,1.0,1.0
AXPY,8000000,1.0,1.0,0.7999999999999999,0.6666666666666669
AXPY,16000000,1.0,1.0,0.7999999999999999,0.6666666666666669
AXPY,32000000,1.0,1.0,0.6000000000000001,0.3333333333333334
AXPY,64000000,1.0,1.0,0.7999999999999999,0.6666666666666669
AXPY,128000000,1.0,1.0,0.7999999999999999,0.6666666666666669
AXPY,256000000,1.0,1.0,0.7999999999999999,0.6666666666666669
CONV2D,1,1.0,1.0,1.0,1.0
CONV2D,2,1.0,1.0,0.7999999999999999,0.6666666666666669
CONV2D,3,1.0,1.0,1.0,1.0
CONV2D,4,1.0,1.0,0.7999999999999999,0.6666666666666669
CONV2D,5,1.0,1.0,1.0,1.0
CONV2D,6,1.0,1.0,0.7999999999999999,0.6666666666666669
GEMM,64,0.39999999999999997,0.3333333333333334,0.7999999999999999,0.6666666666666669
GEMM,128,0.7999999999999999,0.6666666666666669,1.0,1.0
GEMM,256,1.0,1.0,0.7999999999999999,0.6666666666666669
GEMM,512,1.0,1.0,1.0,1.0
GEMM,1024,1.0,1.0,1.0,1.0
GEMM,2048,1.0,1.0,0.7999999999999999,0.6666666666666669
GEMM,4096,1.0,1.0,1.0,1.0
GEMM,8192,1.0,1.0,1.0,1.0
GEMM,16384,1.0,1.0,1.0,1.0
REDUCTION,1000000,0.7999999999999999,0.6666666666666669,1.0,1.0
REDUCTION,2000000,1.0,1.0,0.7999999999999999,0.6666666666666669
REDUCTION,4000000,1.0,1.0,1.0,1.0
REDUCTION,8000000,1.0,1.0,0.7999999999999999,0.6666666666666669
REDUCTION,16000000,0.7999999999999999,0.6666666666666669,0.39999999999999997,0.3333333333333334
REDUCTION,32000000,1.0,1.0,0.7999999999999999,0.6666666666666669
REDUCTION,64000000,1.0,1.0,0.7999999999999999,0.6666666666666669
REDUCTION,128000000,1.0,1.0,0.7999999999999999,0.6666666666666669
REDUCTION,256000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,1000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,2000000,1.0,1.0,1.0,1.0
STREAM,4000000,0.7999999999999999,0.6666666666666669,0.7999999999999999,0.6666666666666669
STREAM,8000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,16000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,32000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,64000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,128000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STREAM,256000000,1.0,1.0,0.7999999999999999,0.6666666666666669
STRIDED_GEMM,64,0.39999999999999997,0.3333333333333334,0.7999999999999999,0.6666666666666669
STRIDED_GEMM,128,0.7999999999999999,0.6666666666666669,1.0,1.0
STRIDED_GEMM,256,1.0,1.0,0.7999999999999999,0.6666666666666669
STRIDED_GEMM,512,1.0,1.0,0.7999999999999999,0.6666666666666669
STRIDED_GEMM,1024,0.7999999999999999,0.6666666666666669,1.0,1.0
STRIDED_GEMM,2048,1.0,1.0,1.0,1.0
STRIDED_GEMM,4096,1.0,1.0,1.0,1.0
STRIDED_GEMM,8192,1.0,1.0,1.0,1.0
STRIDED_GEMM,16384,1.0,1.0,1.0,1.0
