workload,size,platform,configuration,threads,runtime_cv,energy_cv,selected_in_loso_failure,canonical_conflict_boundary_case,holdout_conflict_folds
REDUCTION,16000000,AMD,64T,64,38.73361645581739,33.39396192726508,False,True,4.0
STREAM,4000000,AMD,32T,32,23.949323714865724,22.6875729680812,False,True,4.0
REDUCTION,4000000,AMD,64T,64,104.54728711895017,87.86379355547595,False,False,
STREAM,1000000,AMD,64T,64,69.36412172826041,64.63569363170834,False,False,
REDUCTION,8000000,AMD,64T,64,65.37157643424433,53.03646965897166,False,False,
REDUCTION,1000000,AMD,32T,32,47.842128464669706,45.51806865178856,False,False,
REDUCTION,2000000,AMD,32T,32,44.639168953971634,40.70974473749227,False,False,
REDUCTION,1000000,AMD,20T,20,40.839684091749575,38.30024465682647,False,False,
REDUCTION,4000000,AMD,32T,32,39.82628149074196,33.34917118557078,False,False,
REDUCTION,1000000,AMD,16T,16,37.65936182979666,34.68253502558415,False,False,
REDUCTION,2000000,AMD,20T,20,36.17952018849921,31.814030525191296,False,False,
STREAM,2000000,AMD,64T,64,31.113179751851376,28.652319694681594,False,False,
REDUCTION,4000000,AMD,20T,20,29.014107935062857,22.14424782198513,False,False,
STREAM,8000000,AMD,16T,16,26.548298827331607,14.16482877834158,False,False,
STREAM,1000000,INTEL,16T,16,26.022743036995976,23.342215543768223,False,False,
STREAM,2000000,INTEL,20T,20,24.283336853466917,18.090888876993645,False,False,
REDUCTION,4000000,AMD,16T,16,23.96948200548988,17.995817886224266,False,False,
STRIDED_GEMM,256,AMD,8T,8,22.184699993515416,15.331336773908504,False,False,
REDUCTION,1000000,INTEL,20T,20,21.835707315174023,23.81907321750153,False,False,
REDUCTION,8000000,AMD,20T,20,20.39681644637685,13.841128207090827,False,False,
