scope,workload,size,platform_scope,holdout_session,metric,selected_platform,selected_configuration,selected_threads,oracle_platform,oracle_configuration,oracle_threads,selected_value,oracle_value,regret_pct,platform_match,configuration_match,within_1pct,within_2pct,within_5pct,within_10pct
cpu_threads,AXPY,1000000,AMD,1,runtime,AMD,10T,10,AMD,16T,16,1.8440784845861065e-05,1.2871858376954943e-05,43.264354732774365,True,False,False,False,False,False
cpu_threads,AXPY,1000000,AMD,1,energy,AMD,8T,8,AMD,16T,16,0.0028932482186861,0.0022659874433989,27.681564481501763,True,False,False,False,False,False
cpu_threads,AXPY,1000000,AMD,1,edp,AMD,10T,10,AMD,16T,16,5.3132654859222174e-08,2.9167462926078195e-08,82.164129234967,True,False,False,False,False,False
cpu_threads,AXPY,1000000,AMD,2,runtime,AMD,10T,10,AMD,10T,10,1.8097494018941545e-05,1.8097494018941545e-05,0.0,True,True,True,True,True,True
cpu_threads,AXPY,1000000,AMD,2,energy,AMD,8T,8,AMD,10T,10,0.0029015793253431,0.0028481754749125,1.8750196714000023,True,False,False,True,True,True
cpu_threads,AXPY,1000000,AMD,2,edp,AMD,10T,10,AMD,10T,10,5.154496626798929e-08,5.154496626798929e-08,0.0,True,True,True,True,True,True
cpu_threads,AXPY,1000000,AMD,3,runtime,AMD,10T,10,AMD,8T,8,2.365649541338731e-05,1.9338647402843605e-05,22.327559526778472,True,False,False,False,False,False
cpu_threads,AXPY,1000000,AMD,3,energy,AMD,8T,8,AMD,8T,8,0.00289220307109,0.00289220307109,0.0,True,True,True,True,True,True
cpu_threads,AXPY,1000000,AMD,3,edp,AMD,10T,10,AMD,8T,8,7.808986928499905e-08,5.5923378717509856e-08,39.63725203275097,True,False,False,False,False,False
cpu_threads,AXPY,1000000,AMD,4,runtime,AMD,10T,10,AMD,10T,10,1.8497303852638376e-05,1.8497303852638376e-05,0.0,True,True,True,True,True,True
cpu_threads,AXPY,1000000,AMD,4,energy,AMD,8T,8,AMD,8T,8,0.0028760334577747,0.0028760334577747,0.0,True,True,True,True,True,True
cpu_threads,AXPY,1000000,AMD,4,edp,AMD,10T,10,AMD,10T,10,5.3577749305537113e-08,5.3577749305537113e-08,0.0,True,True,True,True,True,True
cpu_threads,AXPY,1000000,AMD,5,runtime,AMD,10T,10,AMD,10T,10,1.8809698923539943e-05,1.8809698923539943e-05,0.0,True,True,True,True,True,True
