workload,size,platform,configuration,threads,runtime,energy,edp,power,runtime_cv,energy_cv
AXPY,1000000,INTEL,20T,20,1.773988345897236e-05,0.0027121866305116,4.771571780999395e-08,150.38264136785494,0.1879961560185344,0.1363568558262362
AXPY,2000000,3090,gpu_resident,-1,3.123123084129661e-05,0.0109950160922413,3.427668006127483e-07,352.29136038167525,0.0011305700271066,0.0054387482643263
AXPY,2000000,5060ti,gpu_resident,-1,1.4329123006490994e-05,0.0020289443895169,2.9073135979716402e-08,141.59515983147844,1.3163702583744075e-06,0.0139888759721789
AXPY,2000000,AMD,1T,1,0.0004390345777905,0.0318732096712538,1.3993466476022096e-05,72.56099435320729,0.0321654132922199,0.0278219829531511
AXPY,2000000,AMD,2T,2,9.134937964801442e-05,0.0089318913808664,8.161723479148838e-07,96.86151377356136,0.0693518206044669,0.0572888894634275
AXPY,2000000,AMD,4T,4,4.963336327970785e-05,0.006299215718815,3.121274136151193e-07,126.9378522656306,0.0042922801831626,0.0025229347522304
AXPY,2000000,AMD,8T,8,3.076160202358288e-05,0.0052354963684783,1.6106123764616938e-07,169.92724839308633,0.0060623047644203,0.0034436073385617
AXPY,2000000,AMD,10T,10,2.765897684483878e-05,0.0050801733377714,1.407314836630201e-07,183.84791484810503,0.0037183238858999,0.0030728458696513
AXPY,2000000,AMD,16T,16,2.5097321509134627e-05,0.005103220145661,1.2825581245360093e-07,203.5090911199605,0.0121451831019028,0.0097511197621201
AXPY,2000000,AMD,20T,20,2.6020415803442592e-05,0.0053720525149453,1.3978427057855773e-07,206.110371173063,0.042929231372902,0.0279473953776572
AXPY,2000000,AMD,32T,32,3.212239157243986e-05,0.0064845864744661,2.0844482431532e-07,202.0879200682276,0.0049983579989195,0.0033659806647511
AXPY,2000000,AMD,64T,64,5.8926252988499234e-05,0.0107563078295847,6.337088260745905e-07,182.0192122607639,0.3802812514751313,0.3536284358175083
AXPY,2000000,INTEL,1T,1,0.0007112524125973,0.0312024271054493,2.220903719468128e-05,43.85548056971561,0.0049745092706963,0.0319638375103173
AXPY,2000000,INTEL,2T,2,0.000393834005084,0.0231564970576696,9.14224563867864e-06,58.673167188107485,0.0027033481212481,0.0086995797758921
AXPY,2000000,INTEL,4T,4,0.00019380497676,0.0157231420112599,3.0376021943078504e-06,81.33750790419818,0.0051072639630545,0.0197385795751128
AXPY,2000000,INTEL,8T,8,0.0001158926119644,0.0140936229965156,1.6361966701948626e-06,121.46948702754771,0.0141934861292512,0.0205976717140331
AXPY,2000000,INTEL,10T,10,0.0001029644156737,0.0138595244967132,1.4100407376922245e-06,134.66385170584215,0.0120493300577756,0.0131981901022458
AXPY,2000000,INTEL,16T,16,0.0001041743647156,0.0130342620367518,1.3643205101280937e-06,124.26160663689488,0.0139260768886664,0.0285130335071503
AXPY,2000000,INTEL,20T,20,0.0001078225028488,0.0144898218125134,1.5644779594518658e-06,134.44803785991974,0.0164152817293284,0.0284668105240625
AXPY,4000000,3090,gpu_resident,-1,5.962062718330849e-05,0.0211080936215829,1.257311666523025e-06,354.3684745942372,0.0012753223731191,0.0037908611244487
AXPY,4000000,5060ti,gpu_resident,-1,2.6613832286649455e-05,0.004748283570174,1.264051485184373e-07,178.41827965623884,0.0001260547321946,0.0020801848422708
AXPY,4000000,AMD,1T,1,0.0016302029310344,0.1189205492063492,0.0001935609589254,72.81793609963542,0.006678553019748,0.0100936525091118
AXPY,4000000,AMD,2T,2,0.000501312513986,0.0416046248294679,2.0908161847688677e-05,83.66843356659716,0.0158357781948454,0.0270724576297375
AXPY,4000000,AMD,4T,4,9.4077599269868e-05,0.0123719495330629,1.1601696159850266e-06,130.83324966747847,0.0156667646081225,0.0182100484528455
AXPY,4000000,AMD,8T,8,5.311182616487456e-05,0.0097197337822259,5.162681351993011e-07,183.040974973118,0.0101822526833183,0.0050050345850137
AXPY,4000000,AMD,10T,10,4.571113281391968e-05,0.0093069157645466,4.272371837586566e-07,203.89831447495172,0.004940212509933,0.0041951256974297
AXPY,4000000,AMD,16T,16,3.638155938582232e-05,0.0088469802622328,3.216081306959393e-07,242.97633988791023,0.0134289922979242,0.0079386896481908
AXPY,4000000,AMD,20T,20,3.550726481947348e-05,0.0090086922102706,3.201509051797223e-07,252.75746888740235,0.010550591594245,0.0055344338158491
AXPY,4000000,AMD,32T,32,3.939969545525535e-05,0.009892699340153,3.897693864470348e-07,251.3636727256675,0.3102754555858711,0.2786360165591476
AXPY,4000000,AMD,64T,64,6.442736635872297e-05,0.0142136674535725,9.171336508933276e-07,221.05041377365004,0.0045712148371046,0.0043719264219761
AXPY,4000000,INTEL,1T,1,0.0018037587543554,0.0794203098958333,0.0001426223061076,44.23628423525179,0.0035761438415244,0.0188447060932142
AXPY,4000000,INTEL,2T,2,0.0010335956293814,0.0591315577319587,6.123139241887182e-05,57.08524148398139,0.0030679217271819,0.0149081370746563
AXPY,4000000,INTEL,4T,4,0.0008423746546644,0.0596070707855973,5.023629122486651e-05,70.49807905346162,0.002001442061828,0.0233744618383858
AXPY,4000000,INTEL,8T,8,0.000763970383378,0.07141745625,5.447566059523381e-05,93.09595585834836,0.0096109853197292,0.0132779762629327
AXPY,4000000,INTEL,10T,10,0.0007193876882183,0.0734693124610592,5.29476934523345e-05,102.45404050579585,0.0078131115243957,0.0198811047455144
AXPY,4000000,INTEL,16T,16,0.0006869737827608,0.070076063767168,4.734541952845671e-05,103.25685293580432,0.0198220479018543,0.0239384054142006
