workload,size,platform,metric,max_threads,regret_pct
AXPY,1000000,AMD,runtime,64,207.50689029480625
AXPY,1000000,AMD,energy,64,213.33280467364185
AXPY,1000000,AMD,edp,64,862.5128323725633
AXPY,1000000,INTEL,runtime,20,17.008244137557572
AXPY,1000000,INTEL,energy,20,20.54278807479326
AXPY,1000000,INTEL,edp,20,42.902253866905006
AXPY,2000000,AMD,runtime,64,134.79100336285669
AXPY,2000000,AMD,energy,64,111.73111849571926
AXPY,2000000,AMD,edp,64,394.0975492271332
AXPY,2000000,INTEL,runtime,20,4.71821953566518
AXPY,2000000,INTEL,energy,20,11.16718209022849
AXPY,2000000,INTEL,edp,20,14.67085247475901
AXPY,4000000,AMD,runtime,64,81.44840692823132
AXPY,4000000,AMD,energy,64,60.66123165493822
AXPY,4000000,AMD,edp,64,186.46917314773125
AXPY,4000000,INTEL,runtime,20,12.919381468623413
AXPY,4000000,INTEL,energy,20,38.01373010175784
AXPY,4000000,INTEL,edp,20,33.164929791697915
AXPY,8000000,AMD,runtime,64,46.71757802531378
AXPY,8000000,AMD,energy,64,44.17248371631541
AXPY,8000000,AMD,edp,64,111.66776313120805
AXPY,8000000,INTEL,runtime,20,8.91226849571851
AXPY,8000000,INTEL,energy,20,64.64852150350721
AXPY,8000000,INTEL,edp,20,71.75786485818934
AXPY,16000000,AMD,runtime,64,13.697135265283622
AXPY,16000000,AMD,energy,64,32.52121434086499
AXPY,16000000,AMD,edp,64,31.021237289002478
AXPY,16000000,INTEL,runtime,20,10.558109477909783
AXPY,16000000,INTEL,energy,20,79.42494873580065
AXPY,16000000,INTEL,edp,20,80.73141128328575
AXPY,32000000,AMD,runtime,64,8.644688507879273
AXPY,32000000,AMD,energy,64,63.81049482589858
AXPY,32000000,AMD,edp,64,62.64714271309146
AXPY,32000000,INTEL,runtime,20,10.490614062336245
AXPY,32000000,INTEL,energy,20,79.54424392486568
AXPY,32000000,INTEL,edp,20,84.48344418411521
AXPY,64000000,AMD,runtime,64,5.55579155409931
AXPY,64000000,AMD,energy,64,75.12145977912597
AXPY,64000000,AMD,edp,64,84.75325043708158
AXPY,64000000,INTEL,runtime,20,9.979723336770752
AXPY,64000000,INTEL,energy,20,79.33724829623326
AXPY,64000000,INTEL,edp,20,84.34108306500588
AXPY,128000000,AMD,runtime,64,5.350628651579026
AXPY,128000000,AMD,energy,64,85.68957296512785
AXPY,128000000,AMD,edp,64,95.72094369605384
AXPY,128000000,INTEL,runtime,20,8.44681724303955
