workload,size,platform,runtime_opt_cfg,energy_opt_cfg,runtime_gain_pct,energy_premium_pct,marginal_cost_ratio,rt_opt_energy,en_opt_energy
AXPY,1000000,AMD,10T,8T,4.548465857013118,0.1491495537854659,0.032791178053034636,0.0028965167790651,0.00289220307109
AXPY,1000000,INTEL,10T,10T,0.0,0.0,0.0,0.0022499783469657,0.0022499783469657
AXPY,2000000,AMD,16T,10T,10.206887355576155,0.453661840989672,0.04444663933141484,0.005103220145661,0.0050801733377714
AXPY,2000000,INTEL,10T,16T,1.1751137846830462,6.331485876488174,5.387976857233373,0.0138595244967132,0.0130342620367518
AXPY,4000000,AMD,20T,16T,2.4622977038471827,1.8278773462187647,0.7423462010149395,0.0090086922102706,0.0088469802622328
AXPY,4000000,INTEL,16T,2T,50.456342777391214,18.508739588462,0.3668268164048447,0.070076063767168,0.0591315577319587
AXPY,8000000,AMD,32T,32T,0.0,0.0,0.0,0.0139876325374961,0.0139876325374961
AXPY,8000000,INTEL,8T,2T,18.64346318182555,38.84899201296705,2.0837862383228627,0.1981673588362069,0.1427214961832061
AXPY,16000000,AMD,32T,8T,28.866600090733584,15.036681116212126,0.5209023947728095,0.133860074074074,0.1163629485614646
AXPY,16000000,INTEL,8T,2T,14.964914524553286,44.73651760904376,2.9894268714761787,0.4546037867647058,0.3140905932203389
AXPY,32000000,AMD,10T,2T,28.006646124636923,10.546096084912392,0.37655690859874824,0.768145082278481,0.694864051724138
AXPY,32000000,INTEL,4T,2T,13.776591377050362,7.48250886263353,0.543132089632724,0.7070898385416666,0.6578650294117647
AXPY,64000000,AMD,4T,4T,0.0,0.0,0.0,1.3367994785714286,1.3367994785714286
AXPY,64000000,INTEL,4T,2T,14.799848518603653,6.9084906632268295,0.4667946874282357,1.4364059479166666,1.3435845357142857
AXPY,128000000,AMD,4T,4T,0.0,0.0,0.0,2.509045638888889,2.509045638888889
AXPY,128000000,INTEL,4T,2T,14.368991919057073,7.879138471768066,0.5483431625650962,2.9245441875,2.710945071428571
AXPY,256000000,AMD,4T,4T,0.0,0.0,0.0,5.031608638888889,5.031608638888889
AXPY,256000000,INTEL,8T,2T,14.464194701799382,45.08512996523064,3.117016252527487,8.001006958333333,5.514698136363636
CONV2D,1,AMD,32T,32T,0.0,0.0,0.0,0.5786336383442265,0.5786336383442265
CONV2D,1,INTEL,20T,20T,0.0,0.0,0.0,0.7182687139639639,0.7182687139639639
CONV2D,2,AMD,32T,64T,2.8109287100009928,4.470109864629901,1.5902608446545492,0.3157316819221968,0.3022220253537735
CONV2D,2,INTEL,20T,20T,0.0,0.0,0.0,0.3791731833688699,0.3791731833688699
