workload,size,holdout_session,train_runtime_platform,train_energy_platform,train_conflict,holdout_runtime_platform,holdout_energy_platform,holdout_conflict,runtime_holdout_regret_pct,energy_holdout_regret_pct,both_within_2pct,both_within_5pct
AXPY,256000000,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
AXPY,256000000,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,2,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,2,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,2,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,2,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,2,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,4,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,4,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,4,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,4,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,4,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,6,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,6,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,6,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,6,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
CONV2D,6,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,128,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,128,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,128,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,128,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,128,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,256,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,256,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,256,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,256,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
GEMM,256,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,1000000,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,1000000,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,1000000,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,1000000,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,1000000,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,16000000,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,16000000,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,16000000,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,16000000,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,16000000,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,32000000,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,32000000,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,32000000,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,32000000,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,32000000,5,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,64000000,1,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,64000000,2,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,64000000,3,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
REDUCTION,64000000,4,3090,5060ti,True,3090,5060ti,True,0.0,0.0,True,True
