workload,size,runtime_winner,energy_winner,edp_winner,conflict,runtime_speedup_3090_vs_5060,energy_saving_5060ti_vs_3090_pct,power_ratio_3090_over_5060ti,edp_ratio_3090_over_5060ti
AXPY,1000000,5060ti,5060ti,5060ti,False,0.6441393223164897,74.8186559844093,2.508951789232342,6.1655468970409215
AXPY,2000000,5060ti,5060ti,5060ti,False,0.4588075019939271,81.54669013218965,2.4880183814260315,11.789811764781348
AXPY,4000000,5060ti,5060ti,5060ti,False,0.4463863186950894,77.5049151510352,1.986166861809251,9.946680821625199
AXPY,8000000,AMD,AMD,AMD,False,2.088335610651115,43.94269169228813,3.710321296032867,0.8541319839211611
AXPY,16000000,3090,5060ti,3090,True,2.1056390775469316,43.03663676538051,3.699935475970813,0.8329416948971997
AXPY,32000000,3090,5060ti,3090,True,2.121770627088266,42.456627244239186,3.690041381424151,0.8184065656094018
AXPY,64000000,3090,5060ti,3090,True,2.1260816099387405,43.2256690875778,3.7465700072058348,0.8280444039724602
AXPY,128000000,3090,5060ti,3090,True,2.134948430702935,42.443711305346014,3.706115088071105,0.8140167812287447
AXPY,256000000,3090,5060ti,3090,True,2.1410043735532813,41.9893555586771,3.690619174103554,0.8051438435384528
CONV2D,1,3090,3090,3090,False,2.3010577175211764,-12.49139659876366,2.0480981777926557,0.38616787325417656
CONV2D,2,3090,5060ti,3090,True,2.0146638492880458,5.652672002323456,2.1353555369730466,0.5261028315114616
CONV2D,3,3090,3090,3090,False,1.9875983745676666,-7.3847634678147145,1.8638119720050714,0.46828174550711343
CONV2D,4,3090,5060ti,3090,True,1.5824446138952564,13.96073474697178,1.8391152914051174,0.7369718504578792
CONV2D,5,3090,3090,3090,False,2.215821158341235,-17.30154718605923,1.8803319578499686,0.38557657640130055
CONV2D,6,3090,5060ti,3090,True,1.6293343536006408,13.730708485826426,1.9008045735469354,0.71050316891193
GEMM,64,INTEL,INTEL,INTEL,False,1.9014268027358312,60.43874550981864,4.805660889440462,1.3277826490827522
GEMM,128,3090,5060ti,5060ti,True,1.9221805361548867,54.64506545046892,4.28583205814575,1.1333492546768027
GEMM,256,3090,5060ti,3090,True,2.280239011629852,37.33720111563517,3.6384391507002345,0.6995130320689363
GEMM,512,3090,3090,3090,False,3.0671742120775747,-3.7950094084099772,2.9547077966783912,0.31379272022492677
GEMM,1024,3090,3090,3090,False,3.7088426190293613,-38.66541867324331,2.674963387430385,0.19464720114764214
GEMM,2048,3090,3090,3090,False,4.666989798687603,-88.2323808769213,2.4882267025028697,0.11344979248939008
GEMM,4096,3090,3090,3090,False,5.068206564162546,-126.83944406906788,2.2349109019718254,0.0872890770102911
GEMM,8192,3090,3090,3090,False,5.378049017880455,-137.08974245171763,2.27053563067929,0.07838375604345155
GEMM,16384,3090,3090,3090,False,5.393236123632214,-188.49770383514416,1.866625936786885,0.06436623698840979
REDUCTION,1000000,3090,5060ti,5060ti,True,1.086361537287952,66.5066975152362,3.269474060510681,2.7441513855674287
REDUCTION,2000000,5060ti,5060ti,5060ti,False,0.5927389342034907,81.62806995038278,3.2316175248896215,9.17985888764755
REDUCTION,4000000,5060ti,5060ti,5060ti,False,0.5377700605150839,85.94213812403649,3.82385704261343,13.232974182813681
REDUCTION,8000000,5060ti,5060ti,5060ti,False,0.4980571060099799,86.82743467294476,3.7812085700526317,15.239646679004991
REDUCTION,16000000,3090,5060ti,3090,True,2.0527158553631946,49.58205351328476,4.072635426588515,0.9659550786790804
REDUCTION,32000000,3090,5060ti,3090,True,2.0702141060672417,50.48315979220088,4.1797320655551635,0.9752155085713683
REDUCTION,64000000,3090,5060ti,3090,True,2.0803089148851415,50.63728421136267,4.214648291941819,0.9737368984975234
REDUCTION,128000000,3090,5060ti,3090,True,2.084686749144885,50.43545389241165,4.205803658858158,0.9678204733600709
REDUCTION,256000000,3090,5060ti,3090,True,2.0875005045831427,50.59574781313707,4.225710150242177,0.9695789432612176
STREAM,1000000,5060ti,5060ti,5060ti,False,0.5320691251401837,78.17568407201435,2.437530469585906,8.597056013258527
STREAM,2000000,5060ti,5060ti,5060ti,False,0.454543819330043,80.3924690344991,2.329238815215102,11.220331198997588
STREAM,4000000,AMD,5060ti,AMD,True,1.60188451654341,50.609796929768656,3.2345747693617004,1.2630889184938312
STREAM,8000000,AMD,AMD,AMD,False,2.085983553317451,40.237699897615045,3.492122908999825,0.8020303562367954
STREAM,16000000,3090,5060ti,3090,True,2.111422404454289,39.25989400902412,3.476057805855392,0.7797543310772679
STREAM,32000000,3090,5060ti,3090,True,2.1293521186709015,39.329302354663064,3.5131715186152688,0.7740340012960492
STREAM,64000000,3090,5060ti,3090,True,2.1345341945311027,38.87629297496291,3.4933981798372007,0.7664438181106163
STREAM,128000000,3090,5060ti,3090,True,2.1445070644672537,38.631463839030566,3.4914664831379874,0.7602837199522644
STREAM,256000000,3090,5060ti,3090,True,2.1448619998892053,38.478629054287836,3.490434589364683,0.7586602089023654
STRIDED_GEMM,64,INTEL,INTEL,INTEL,False,1.865805293041763,64.6559070496161,5.284194413759797,1.5177573545439036
STRIDED_GEMM,128,3090,5060ti,5060ti,True,1.8980574118044418,57.9335374462157,4.499092222506281,1.2530147656302015
STRIDED_GEMM,256,3090,5060ti,3090,True,2.2483562164571462,42.2827313594624,3.8957957356414594,0.770462917735753
STRIDED_GEMM,512,3090,5060ti,3090,False,2.956647173502835,2.5274677361511233,3.0531896931357467,0.34383232195644514
STRIDED_GEMM,1024,3090,3090,3090,False,3.6895105798448866,-38.89645516428768,2.660483771262605,0.19500719498558738
STRIDED_GEMM,2048,3090,3090,3090,False,4.588903812542579,-83.78608857186629,2.501322317716867,0.11865721591104159
STRIDED_GEMM,4096,3090,3090,3090,False,5.062684695755385,-115.92810637186193,2.338937602478782,0.0913366984797926
STRIDED_GEMM,8192,3090,3090,3090,False,5.35175882706938,-126.69015691608321,2.360807581362651,0.08226577794166047
STRIDED_GEMM,16384,3090,3090,3090,False,5.387182532778659,-161.2734692598714,2.062570439454833,0.07121919592499562
