workload,size,platform,configuration,threads,runtime,energy,edp,power,runtime_regret_pct,energy_regret_pct,strict_pareto
AXPY,1000000,3090,gpu_resident,-1,1.2711648954017435e-05,0.0044095600010167,5.6056697439533585e-08,340.2395059430982,55.2459173589565,297.1193909986945,False
AXPY,1000000,5060ti,gpu_resident,-1,8.188072942765906e-06,0.0011103864734299,9.091926211190982e-09,135.61022073174252,0.0,0.0,True
AXPY,1000000,AMD,1T,1,8.593148480936397e-05,0.0066938555813753,5.750690679712594e-07,77.43731390484476,949.4714129932579,502.84015894920674,False
AXPY,1000000,AMD,2T,2,4.8750493845706535e-05,0.0046487630839309,2.266799037128228e-07,94.5616560139167,495.38421538827635,318.66171780454255,False
AXPY,1000000,AMD,4T,4,2.797330181114337e-05,0.0033776206469714,9.40197378500672e-08,120.42590107149375,241.63474124711541,204.18423925303998,False
AXPY,1000000,AMD,8T,8,1.9338647402843605e-05,0.00289220307109,5.5923378717509856e-08,149.76969667428173,136.1806927957223,160.46814692871783,False
AXPY,1000000,AMD,10T,10,1.8497303852638376e-05,0.0028965167790651,5.3577749305537113e-08,156.16959230749976,125.90546007507895,160.85663400761527,False
AXPY,1000000,AMD,16T,16,1.9863214620734277e-05,0.0031958930535338,6.339608264572019e-08,160.78620897334898,142.58717233684712,187.8180822630095,False
AXPY,1000000,AMD,20T,20,2.0672941617783265e-05,0.003326136869793,6.861618393230281e-08,161.79381807597304,152.47627570352358,199.54767546103244,False
AXPY,1000000,AMD,32T,32,2.5432778553406223e-05,0.0044320601523542,1.1230880336828687e-07,172.03544255440335,210.60762075740752,299.1457261419892,False
AXPY,1000000,AMD,64T,64,5.6880483865629656e-05,0.0090622209995035,5.156927123621966e-07,160.06021786641963,594.6748552830503,716.1321500532138,False
AXPY,1000000,INTEL,1T,1,0.0003069147118332,0.0134188165279062,4.14514772602887e-06,43.49819005255924,3648.314334502315,1108.4816277035948,False
AXPY,1000000,INTEL,2T,2,0.0001655286172818,0.0097615783730158,1.6187393694233111e-06,58.80525398027591,1921.582104102323,779.1153896951773,False
AXPY,1000000,INTEL,4T,4,8.314250980473618e-05,0.0071015959285417,5.90303563996991e-07,85.42980780234359,915.4099796850479,539.5607383981728,False
AXPY,1000000,INTEL,8T,8,2.469492109359557e-05,0.0031471324571086,7.765459014124949e-08,132.75035066921362,201.5962518435223,183.42676468197106,False
AXPY,1000000,INTEL,10T,10,1.516122525359576e-05,0.0022499783469657,3.3390458525892095e-08,150.17144739883446,85.16231303228163,102.63020135824301,False
AXPY,1000000,INTEL,16T,16,2.9391446645050094e-05,0.0038841042531718,1.1240372822884007e-07,132.14188366308537,258.9543821909549,249.79751159738962,False
AXPY,1000000,INTEL,20T,20,1.773988345897236e-05,0.0027121866305116,4.771571780999395e-08,150.38264136785494,116.65517128356066,144.25609419879373,False
AXPY,2000000,3090,gpu_resident,-1,3.123123084129661e-05,0.0109950160922413,3.427668006127483e-07,352.29136038167525,117.95633150157956,441.9082035491006,False
AXPY,2000000,5060ti,gpu_resident,-1,1.4329123006490994e-05,0.0020289443895169,2.9073135979716402e-08,141.59515983147844,0.0,0.0,True
AXPY,2000000,AMD,1T,1,0.0004390345777905,0.0318732096712538,1.3993466476022096e-05,72.56099435320729,2963.9319488821498,1470.9257402980347,False
AXPY,2000000,AMD,2T,2,9.134937964801442e-05,0.0089318913808664,8.161723479148838e-07,96.86151377356136,537.5085174901059,340.22356783238996,False
AXPY,2000000,AMD,4T,4,4.963336327970785e-05,0.006299215718815,3.121274136151193e-07,126.9378522656306,246.38102595130405,210.4676378200227,False
AXPY,2000000,AMD,8T,8,3.076160202358288e-05,0.0052354963684783,1.6106123764616938e-07,169.92724839308633,114.67888864969673,158.0404073925798,False
AXPY,2000000,AMD,10T,10,2.765897684483878e-05,0.0050801733377714,1.407314836630201e-07,183.84791484810503,93.02630616199927,150.3850457419885,False
AXPY,2000000,AMD,16T,16,2.5097321509134627e-05,0.005103220145661,1.2825581245360093e-07,203.5090911199605,75.14904085732053,151.52094715006447,False
AXPY,2000000,AMD,20T,20,2.6020415803442592e-05,0.0053720525149453,1.3978427057855773e-07,206.110371173063,81.5911259304252,164.77081100406144,False
AXPY,2000000,AMD,32T,32,3.212239157243986e-05,0.0064845864744661,2.0844482431532e-07,202.0879200682276,124.17555881046339,219.60395306892102,False
AXPY,2000000,AMD,64T,64,5.8926252988499234e-05,0.0107563078295847,6.337088260745905e-07,182.0192122607639,311.23419040932265,430.1430578955306,False
AXPY,2000000,INTEL,1T,1,0.0007112524125973,0.0312024271054493,2.220903719468128e-05,43.85548056971561,4863.684185522781,1437.865072432011,False
AXPY,2000000,INTEL,2T,2,0.000393834005084,0.0231564970576696,9.14224563867864e-06,58.673167188107485,2648.4864559093803,1041.3076266315636,False
AXPY,2000000,INTEL,4T,4,0.00019380497676,0.0157231420112599,3.0376021943078504e-06,81.33750790419818,1252.525040591861,674.9419891692372,False
AXPY,2000000,INTEL,8T,8,0.0001158926119644,0.0140936229965156,1.6361966701948626e-06,121.46948702754771,708.7906839232343,594.6283530161884,False
AXPY,2000000,INTEL,10T,10,0.0001029644156737,0.0138595244967132,1.4100407376922245e-06,134.66385170584215,618.567463110323,583.0904074218224,False
AXPY,2000000,INTEL,16T,16,0.0001041743647156,0.0130342620367518,1.3643205101280937e-06,124.26160663689488,627.0114484215799,542.4159333344426,False
AXPY,2000000,INTEL,20T,20,0.0001078225028488,0.0144898218125134,1.5644779594518658e-06,134.44803785991974,652.471053531728,614.1556903865408,False
AXPY,4000000,3090,gpu_resident,-1,5.962062718330849e-05,0.0211080936215829,1.257311666523025e-06,354.3684745942372,124.02120273830892,344.54155506153563,False
AXPY,4000000,5060ti,gpu_resident,-1,2.6613832286649455e-05,0.004748283570174,1.264051485184373e-07,178.41827965623884,0.0,0.0,True
AXPY,4000000,AMD,1T,1,0.0016302029310344,0.1189205492063492,0.0001935609589254,72.81793609963542,6025.397174957678,2404.4955181981977,False
AXPY,4000000,AMD,2T,2,0.000501312513986,0.0416046248294679,2.0908161847688677e-05,83.66843356659716,1783.6539908515097,776.203457830622,False
AXPY,4000000,AMD,4T,4,9.4077599269868e-05,0.0123719495330629,1.1601696159850266e-06,130.83324966747847,253.49136590546948,160.5562483836561,False
AXPY,4000000,AMD,8T,8,5.311182616487456e-05,0.0097197337822259,5.162681351993011e-07,183.040974973118,99.56474359958128,104.69994343386956,False
AXPY,4000000,AMD,10T,10,4.571113281391968e-05,0.0093069157645466,4.272371837586566e-07,203.89831447495172,71.75704844600747,96.00589617282589,False
AXPY,4000000,AMD,16T,16,3.638155938582232e-05,0.0088469802622328,3.216081306959393e-07,242.97633988791023,36.701693292298756,86.31954329359071,False
AXPY,4000000,AMD,20T,20,3.550726481947348e-05,0.0090086922102706,3.201509051797223e-07,252.75746888740235,33.41657990865645,89.72523601703253,False
AXPY,4000000,AMD,32T,32,3.939969545525535e-05,0.009892699340153,3.897693864470348e-07,251.3636727256675,48.04217232187109,108.34263990241185,False
AXPY,4000000,AMD,64T,64,6.442736635872297e-05,0.0142136674535725,9.171336508933276e-07,221.05041377365004,142.08225882238787,199.34327306933866,False
AXPY,4000000,INTEL,1T,1,0.0018037587543554,0.0794203098958333,0.0001426223061076,44.23628423525179,6677.523563414939,1572.6109281826857,False
AXPY,4000000,INTEL,2T,2,0.0010335956293814,0.0591315577319587,6.123139241887182e-05,57.08524148398139,3783.6783002494994,1145.324902316056,False
AXPY,4000000,INTEL,4T,4,0.0008423746546644,0.0596070707855973,5.023629122486651e-05,70.49807905346162,3065.1760843438105,1155.3393221924405,False
AXPY,4000000,INTEL,8T,8,0.000763970383378,0.07141745625,5.447566059523381e-05,93.09595585834836,2770.5763797919385,1404.0688955184476,False
AXPY,4000000,INTEL,10T,10,0.0007193876882183,0.0734693124610592,5.29476934523345e-05,102.45404050579585,2603.0593732987986,1447.2814834091078,False
AXPY,4000000,INTEL,16T,16,0.0006869737827608,0.070076063767168,4.734541952845671e-05,103.25685293580432,2481.2659197729035,1375.8188455160036,False
AXPY,4000000,INTEL,20T,20,0.0007757265463451,0.0816096684931506,6.30474946746542e-05,105.172679545724,2814.7495106679357,1618.719349572461,False
AXPY,8000000,3090,gpu_resident,-1,0.0001163913953095,0.0411490524357632,4.785243675121812e-06,353.8470836033578,123.87978519720262,194.1816803197864,False
AXPY,8000000,5060ti,gpu_resident,-1,0.0002430642955982,0.0230670511896178,5.602463981214763e-06,95.36831324599748,367.53612793224056,64.91033152166999,False
AXPY,8000000,AMD,1T,1,0.003244049843042,0.2394993012820512,0.0007812704406719,74.28900565567218,6139.955970095517,1612.2218548423746,False
