workload,size,objective,expected_winner,support,n_sessions
AXPY,16000000,runtime,3090,5,5
AXPY,16000000,energy,5060ti,5,5
AXPY,32000000,runtime,3090,5,5
AXPY,32000000,energy,5060ti,5,5
AXPY,64000000,runtime,3090,5,5
AXPY,64000000,energy,5060ti,5,5
AXPY,128000000,runtime,3090,5,5
AXPY,128000000,energy,5060ti,5,5
AXPY,256000000,runtime,3090,5,5
AXPY,256000000,energy,5060ti,5,5
CONV2D,2,runtime,3090,5,5
CONV2D,2,energy,5060ti,5,5
CONV2D,4,runtime,3090,5,5
CONV2D,4,energy,5060ti,5,5
CONV2D,6,runtime,3090,5,5
CONV2D,6,energy,5060ti,5,5
GEMM,128,runtime,3090,5,5
GEMM,128,energy,5060ti,5,5
GEMM,256,runtime,3090,5,5
GEMM,256,energy,5060ti,5,5
REDUCTION,1000000,runtime,3090,5,5
REDUCTION,1000000,energy,5060ti,5,5
REDUCTION,16000000,runtime,3090,5,5
REDUCTION,16000000,energy,5060ti,5,5
REDUCTION,32000000,runtime,3090,5,5
REDUCTION,32000000,energy,5060ti,5,5
REDUCTION,64000000,runtime,3090,5,5
REDUCTION,64000000,energy,5060ti,5,5
REDUCTION,128000000,runtime,3090,5,5
REDUCTION,128000000,energy,5060ti,5,5
REDUCTION,256000000,runtime,3090,5,5
REDUCTION,256000000,energy,5060ti,5,5
STREAM,4000000,runtime,AMD,5,5
STREAM,4000000,energy,5060ti,5,5
STREAM,16000000,runtime,3090,5,5
STREAM,16000000,energy,5060ti,5,5
STREAM,32000000,runtime,3090,5,5
STREAM,32000000,energy,5060ti,5,5
STREAM,64000000,runtime,3090,5,5
STREAM,64000000,energy,5060ti,5,5
STREAM,128000000,runtime,3090,5,5
STREAM,128000000,energy,5060ti,5,5
STREAM,256000000,runtime,3090,5,5
STREAM,256000000,energy,5060ti,5,5
STRIDED_GEMM,128,runtime,3090,5,5
STRIDED_GEMM,128,energy,5060ti,5,5
STRIDED_GEMM,256,runtime,3090,5,5
STRIDED_GEMM,256,energy,5060ti,5,5
