policy,metric,median_pct,geomean_pct,mean_pct,p90_pct,p95_pct,max_pct,cvar10_pct,within_1_pct,within_2_pct,within_5_pct,within_10_pct,within_20_pct
INTEL,runtime,1709.3093343409184,1167.363678410605,1595.6429797563762,2933.6464694427177,3067.27545552429,4063.716544135597,3291.224336087786,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802
AMD,runtime,803.1130014354387,514.7701098897631,772.2400778912089,1470.0216691325727,1938.101592260178,1976.3715277748024,1792.4731007792043,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647
3090,runtime,0.0,17.751694458066012,23.63169125177155,112.65396980283806,121.94028832215452,131.38829681679445,121.65006291730502,74.50980392156863,74.50980392156863,74.50980392156863,74.50980392156863,74.50980392156863
5060ti,runtime,113.45341945311027,129.1963358935127,161.37573023364726,406.26846957553846,436.49039224749174,439.3236123632214,427.3519626879773,15.686274509803921,15.686274509803921,15.686274509803921,17.647058823529413,17.647058823529413
INTEL,energy,644.5587042795189,595.8028594445199,702.8318923060208,949.8111226514577,1267.9098744088399,2472.0300980641027,1386.668157669711,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802
AMD,energy,581.7558099352934,423.7287825034165,514.6951960426724,820.6763315886421,834.7014991760121,1024.6909810798381,888.3486588428965,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802,5.88235294117647
3090,energy,73.25837198360634,89.26291099422441,136.56302094723623,441.9082035491006,597.8570369296424,659.1535704484928,558.7383670707352,27.450980392156865,27.450980392156865,29.411764705882355,31.372549019607842,35.294117647058826
5060ti,energy,0.0,21.791398674652275,30.206075580926747,126.83944406906788,156.12125372020904,188.49770383514416,155.9862349575897,64.70588235294117,64.70588235294117,66.66666666666666,70.58823529411765,74.50980392156863
INTEL,edp,10256.645143230207,7164.951912088064,13462.796651174696,25185.38626926378,38030.11639128578,59985.16990203194,38729.93770274577,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802,3.9215686274509802
AMD,edp,4803.04837934763,2530.690351697501,5296.038963713138,10768.709252467193,12286.187716444732,17642.006518199305,13246.306043583265,5.88235294117647,5.88235294117647,5.88235294117647,7.8431372549019605,7.8431372549019605
3090,edp,0.0,77.28810639372254,229.75361591194587,1022.0331198997588,1323.2590071658499,1496.5613063771414,1278.0097141645392,68.62745098039215,68.62745098039215,68.62745098039215,68.62745098039215,70.58823529411765
5060ti,edp,31.52984520867903,122.17554193610516,270.0517107486841,1045.6187122726744,1145.6734125304083,1453.609542499846,1199.5196003711385,21.568627450980394,21.568627450980394,31.372549019607842,31.372549019607842,31.372549019607842
