workload,size,platform,runtime,runtime_cfg,energy,energy_cfg,edp,edp_cfg
AXPY,128000000,INTEL,0.0429622874166666,4T,2.710945071428571,2T,0.1257187484753914,4T
AXPY,256000000,3090,0.003627064298913,gpu_resident,1.2767771739130436,gpu_resident,0.0046313360925629,gpu_resident
AXPY,256000000,5060ti,0.0077655605271317,gpu_resident,0.7406666666666666,gpu_resident,0.0057521846931215,gpu_resident
AXPY,256000000,AMD,0.0566309795,4T,5.031608638888889,4T,0.2847972322395216,4T
AXPY,256000000,INTEL,0.0867070756249999,8T,5.514698136363636,2T,0.5112432328423568,4T
CONV2D,1,3090,0.0003114451813407,gpu_resident,0.1065770775409329,gpu_resident,3.318029078511065e-05,gpu_resident
CONV2D,1,5060ti,0.0007166533381088,gpu_resident,0.1198900429799427,gpu_resident,8.592193468997175e-05,gpu_resident
CONV2D,1,AMD,0.0021982584226579,32T,0.5786336383442265,32T,0.0012720885942809,32T
CONV2D,1,INTEL,0.0045348652400881,20T,0.7182687139639639,20T,0.0032550984654399,20T
CONV2D,2,3090,0.0002893070187211,gpu_resident,0.0979851670506912,gpu_resident,2.8346523125624988e-05,gpu_resident
CONV2D,2,5060ti,0.0005828563919627,gpu_resident,0.0924463869463869,gpu_resident,5.388019495007685e-05,gpu_resident
CONV2D,2,AMD,0.0011579776864988,32T,0.3022220253537735,64T,0.0003594420046951,64T
CONV2D,2,INTEL,0.0023610855511727,20T,0.3791731833688699,20T,0.0008969229826298,20T
CONV2D,3,3090,0.0002380348142352,gpu_resident,0.0784748464808691,gpu_resident,1.8652604101657136e-05,gpu_resident
CONV2D,3,5060ti,0.0004731176098644,gpu_resident,0.084270028275212,gpu_resident,3.983201198982845e-05,gpu_resident
CONV2D,3,AMD,0.0011554848568985,32T,0.2996115106257379,64T,0.0003545213331255,64T
CONV2D,3,INTEL,0.0022411155,20T,0.358497366972477,10T,0.0008168508949091,10T
CONV2D,4,3090,0.0003062447918572,gpu_resident,0.1001294602012808,gpu_resident,3.067337682275305e-05,gpu_resident
CONV2D,4,5060ti,0.0004846154214079,gpu_resident,0.0861506518590053,gpu_resident,4.162082554943685e-05,gpu_resident
CONV2D,4,AMD,0.0011607068039772,32T,0.2903272330960854,64T,0.0003476391931357,64T
CONV2D,4,INTEL,0.002491494742647,20T,0.410718193902439,10T,0.0010562356384894,10T
CONV2D,5,3090,0.0004733076907677,gpu_resident,0.1587692853762423,gpu_resident,7.516846282475107e-05,gpu_resident
CONV2D,5,5060ti,0.0010487651956087,gpu_resident,0.1862388282025819,gpu_resident,0.0001949508020594,gpu_resident
CONV2D,5,AMD,0.0028799458508522,64T,0.7427797698863636,64T,0.0021387264510902,64T
CONV2D,5,INTEL,0.0063174054813664,10T,1.0133582843137252,8T,0.0064295002829032,10T
CONV2D,6,3090,0.0007474163896627,gpu_resident,0.2526645894428152,gpu_resident,0.0001888588882384,gpu_resident
CONV2D,6,5060ti,0.0012177912001216,gpu_resident,0.2179719512195121,gpu_resident,0.0002658100575788,gpu_resident
CONV2D,6,AMD,0.0057522896522988,32T,1.4056095578034682,64T,0.0081720083071273,64T
CONV2D,6,INTEL,0.0096999421826923,20T,1.5926298834951456,10T,0.0156355400169085,20T
GEMM,64,3090,5.217029646225186e-06,gpu_resident,0.0008412728598968,gpu_resident,4.3884049941422e-09,gpu_resident
GEMM,64,5060ti,9.9198e-06,gpu_resident,0.0003328180970606,gpu_resident,3.305062765486325e-09,gpu_resident
GEMM,64,AMD,6.127075280692067e-06,8T,0.0004459453095281,8T,2.7324931305866e-09,8T
GEMM,64,INTEL,2.2546644398164424e-06,16T,0.0001226988152536,16T,2.7486604971657544e-10,16T
GEMM,128,3090,5.161102740856931e-06,gpu_resident,0.0009229959547593,gpu_resident,4.763598433803592e-09,gpu_resident
GEMM,128,5060ti,9.920571233570831e-06,gpu_resident,0.0004186242111759,gpu_resident,4.203116042249507e-09,gpu_resident
GEMM,128,AMD,1.4477002407821068e-05,4T,0.0016263004085608,4T,2.3492050405638932e-08,4T
GEMM,128,INTEL,1.2571068788372388e-05,10T,0.0012227639253655,4T,1.60855323067685e-08,4T
GEMM,256,3090,7.180509782803805e-06,gpu_resident,0.0019915961861547,gpu_resident,1.4299542522828053e-08,gpu_resident
GEMM,256,5060ti,1.637327853013903e-05,gpu_resident,0.0012479899127188,gpu_resident,2.0442138841265857e-08,gpu_resident
GEMM,256,AMD,7.063734392735529e-05,16T,0.0104991572671888,4T,8.528004993398196e-07,16T
GEMM,256,INTEL,3.945221954115439e-05,8T,0.0055113264120244,8T,2.1684149624597985e-07,8T
GEMM,512,3090,2.269167419792137e-05,gpu_resident,0.0072134093990058,gpu_resident,1.6351774961251068e-07,gpu_resident
GEMM,512,5060ti,6.959931792873051e-05,gpu_resident,0.0074871589643652,gpu_resident,5.211011571438021e-07,gpu_resident
GEMM,512,AMD,0.0003065232558139,16T,0.0648808432497734,16T,1.98758411106551e-05,16T
GEMM,512,INTEL,0.0002532285750188,16T,0.0378899667030567,8T,9.863923528014535e-06,16T
GEMM,1024,3090,0.0001209905795373,gpu_resident,0.0399124833676061,gpu_resident,4.834098283702735e-06,gpu_resident
