workload,size,tolerance_pct,front_count,dominated_fraction,platforms,cpu_on_front
REDUCTION,64000000,2,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,64000000,5,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,128000000,0,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,128000000,2,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,128000000,5,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,256000000,0,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,256000000,2,2,0.8888888888888888,"3090,5060ti",False
REDUCTION,256000000,5,2,0.8888888888888888,"3090,5060ti",False
STREAM,1000000,0,1,0.9444444444444444,5060ti,False
STREAM,1000000,2,1,0.9444444444444444,5060ti,False
STREAM,1000000,5,1,0.9444444444444444,5060ti,False
STREAM,2000000,0,1,0.9444444444444444,5060ti,False
STREAM,2000000,2,1,0.9444444444444444,5060ti,False
STREAM,2000000,5,1,0.9444444444444444,5060ti,False
STREAM,4000000,0,3,0.8333333333333334,"5060ti,AMD",True
STREAM,4000000,2,2,0.8888888888888888,"5060ti,AMD",True
STREAM,4000000,5,2,0.8888888888888888,"5060ti,AMD",True
STREAM,8000000,0,1,0.9444444444444444,AMD,True
STREAM,8000000,2,1,0.9444444444444444,AMD,True
STREAM,8000000,5,1,0.9444444444444444,AMD,True
STREAM,16000000,0,2,0.8888888888888888,"3090,5060ti",False
STREAM,16000000,2,2,0.8888888888888888,"3090,5060ti",False
STREAM,16000000,5,2,0.8888888888888888,"3090,5060ti",False
STREAM,32000000,0,2,0.8888888888888888,"3090,5060ti",False
STREAM,32000000,2,2,0.8888888888888888,"3090,5060ti",False
STREAM,32000000,5,2,0.8888888888888888,"3090,5060ti",False
STREAM,64000000,0,2,0.8888888888888888,"3090,5060ti",False
STREAM,64000000,2,2,0.8888888888888888,"3090,5060ti",False
STREAM,64000000,5,2,0.8888888888888888,"3090,5060ti",False
STREAM,128000000,0,2,0.8888888888888888,"3090,5060ti",False
STREAM,128000000,2,2,0.8888888888888888,"3090,5060ti",False
STREAM,128000000,5,2,0.8888888888888888,"3090,5060ti",False
STREAM,256000000,0,2,0.8888888888888888,"3090,5060ti",False
STREAM,256000000,2,2,0.8888888888888888,"3090,5060ti",False
STREAM,256000000,5,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,64,0,1,0.9444444444444444,INTEL,True
STRIDED_GEMM,64,2,1,0.9444444444444444,INTEL,True
STRIDED_GEMM,64,5,1,0.9444444444444444,INTEL,True
STRIDED_GEMM,128,0,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,128,2,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,128,5,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,256,0,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,256,2,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,256,5,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,512,0,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,512,2,2,0.8888888888888888,"3090,5060ti",False
STRIDED_GEMM,512,5,1,0.9444444444444444,3090,False
STRIDED_GEMM,1024,0,1,0.9444444444444444,3090,False
STRIDED_GEMM,1024,2,1,0.9444444444444444,3090,False
STRIDED_GEMM,1024,5,1,0.9444444444444444,3090,False
STRIDED_GEMM,2048,0,1,0.9444444444444444,3090,False
STRIDED_GEMM,2048,2,1,0.9444444444444444,3090,False
STRIDED_GEMM,2048,5,1,0.9444444444444444,3090,False
STRIDED_GEMM,4096,0,1,0.9444444444444444,3090,False
STRIDED_GEMM,4096,2,1,0.9444444444444444,3090,False
STRIDED_GEMM,4096,5,1,0.9444444444444444,3090,False
STRIDED_GEMM,8192,0,1,0.9444444444444444,3090,False
STRIDED_GEMM,8192,2,1,0.9444444444444444,3090,False
STRIDED_GEMM,8192,5,1,0.9444444444444444,3090,False
STRIDED_GEMM,16384,0,1,0.9444444444444444,3090,False
STRIDED_GEMM,16384,2,1,0.9444444444444444,3090,False
STRIDED_GEMM,16384,5,1,0.9444444444444444,3090,False
