workload,size,platform,threshold_pct,chosen_cfg,runtime_opt_cfg,runtime_penalty_pct,energy_saving_pct
AXPY,1000000,AMD,0.5,10T,10T,0.0,0.0
AXPY,1000000,AMD,1.0,10T,10T,0.0,0.0
AXPY,1000000,AMD,2.0,10T,10T,0.0,0.0
AXPY,1000000,AMD,5.0,8T,10T,4.548465857013118,0.14892742918936053
AXPY,1000000,INTEL,0.5,10T,10T,0.0,0.0
AXPY,1000000,INTEL,1.0,10T,10T,0.0,0.0
AXPY,1000000,INTEL,2.0,10T,10T,0.0,0.0
AXPY,1000000,INTEL,5.0,10T,10T,0.0,0.0
AXPY,2000000,AMD,0.5,16T,16T,0.0,0.0
AXPY,2000000,AMD,1.0,16T,16T,0.0,0.0
AXPY,2000000,AMD,2.0,16T,16T,0.0,0.0
AXPY,2000000,AMD,5.0,16T,16T,0.0,0.0
AXPY,2000000,INTEL,0.5,10T,10T,0.0,0.0
AXPY,2000000,INTEL,1.0,10T,10T,0.0,0.0
AXPY,2000000,INTEL,2.0,16T,10T,1.1751137846830462,5.95447888675481
AXPY,2000000,INTEL,5.0,16T,10T,1.1751137846830462,5.95447888675481
AXPY,4000000,AMD,0.5,20T,20T,0.0,0.0
AXPY,4000000,AMD,1.0,20T,20T,0.0,0.0
AXPY,4000000,AMD,2.0,20T,20T,0.0,0.0
AXPY,4000000,AMD,5.0,16T,20T,2.4622977038471827,1.7950657460961472
AXPY,4000000,INTEL,0.5,16T,16T,0.0,0.0
AXPY,4000000,INTEL,1.0,16T,16T,0.0,0.0
AXPY,4000000,INTEL,2.0,16T,16T,0.0,0.0
AXPY,4000000,INTEL,5.0,16T,16T,0.0,0.0
AXPY,8000000,AMD,0.5,32T,32T,0.0,0.0
AXPY,8000000,AMD,1.0,32T,32T,0.0,0.0
AXPY,8000000,AMD,2.0,32T,32T,0.0,0.0
AXPY,8000000,AMD,5.0,32T,32T,0.0,0.0
AXPY,8000000,INTEL,0.5,8T,8T,0.0,0.0
AXPY,8000000,INTEL,1.0,4T,8T,0.761096900444036,25.87712782920706
AXPY,8000000,INTEL,2.0,4T,8T,0.761096900444036,25.87712782920706
AXPY,8000000,INTEL,5.0,4T,8T,0.761096900444036,25.87712782920706
AXPY,16000000,AMD,0.5,32T,32T,0.0,0.0
AXPY,16000000,AMD,1.0,32T,32T,0.0,0.0
AXPY,16000000,AMD,2.0,32T,32T,0.0,0.0
AXPY,16000000,AMD,5.0,32T,32T,0.0,0.0
AXPY,16000000,INTEL,0.5,4T,8T,0.3389949474704723,24.539427500283107
AXPY,16000000,INTEL,1.0,4T,8T,0.3389949474704723,24.539427500283107
AXPY,16000000,INTEL,2.0,4T,8T,0.3389949474704723,24.539427500283107
AXPY,16000000,INTEL,5.0,4T,8T,0.3389949474704723,24.539427500283107
AXPY,32000000,AMD,0.5,10T,10T,0.0,0.0
AXPY,32000000,AMD,1.0,10T,10T,0.0,0.0
AXPY,32000000,AMD,2.0,10T,10T,0.0,0.0
AXPY,32000000,AMD,5.0,10T,10T,0.0,0.0
AXPY,32000000,INTEL,0.5,4T,4T,0.0,0.0
AXPY,32000000,INTEL,1.0,4T,4T,0.0,0.0
AXPY,32000000,INTEL,2.0,4T,4T,0.0,0.0
AXPY,32000000,INTEL,5.0,4T,4T,0.0,0.0
AXPY,64000000,AMD,0.5,4T,4T,0.0,0.0
