metric,point,ci95_low,ci95_high
always_3090_energy_median_pct,72.35441980755573,70.79641327538344,73.44844246113362
always_3090_energy_p95_pct,444.1248764720716,439.9334557326673,451.1168479715471
always_3090_energy_cvar10_pct,486.87047052748585,482.59499146909116,490.21771550797564
always_3090_energy_within5_pct,29.411764705882355,29.411764705882355,29.411764705882355
always_5060_runtime_median_pct,110.56760069086025,110.52764576123747,110.99691167832032
always_5060_runtime_p95_pct,436.5396425886706,435.99209526564846,437.6125450224274
always_5060_runtime_cvar10_pct,427.2582628081858,426.63767713150776,427.7614843815162
always_5060_runtime_within5_pct,15.686274509803921,15.686274509803921,15.686274509803921
