platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,10T,10,1.4280579743191435e-05,0.0021903035457253,0.0021903058330601,153.32834110386744,3.1278804446525093e-08,70.02509827913467,0.45655726666363,280.1009533178851,1.826232719116306,98.0,2739.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,10T,10,1.4323189919043396e-05,0.002149620326401,0.0021496214206024,150.05510868280825,3.078942018887758e-08,69.8167800365791,0.4651979643652921,279.2676786811152,1.860795579048605,95.5,2739.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,16T,16,1.4006697511042376e-05,0.0018099945017497,0.0018099967102245,129.28549172991265,2.535204548265791e-08,71.39434539880916,0.5524873136538885,285.577952750571,2.209953674518483,84.0,3339.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,16T,16,1.4210069620896433e-05,0.0019247682500762,0.0019247687392011,135.49906534519016,2.73510908376738e-08,70.37256161852046,0.5195425475043091,281.4908094551378,2.0781743463617723,92.0,3202.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,16T,16,1.409593869731801e-05,0.0019541439080459,0.0019541439080459,138.63471886648512,2.7545492733552447e-08,70.94234881925719,0.5117325269048258,283.76996281638685,2.0469342014836127,96.0,3202.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,16T,16,1.2446403334371331e-05,0.0017520632081347,0.0017520632081347,140.76865663102834,2.180688535575706e-08,80.34441542147808,0.5707550933990729,321.3783044418784,2.2830249396416047,95.0,3200.5,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,16T,16,1.269602382882724e-05,0.0017559142784964,0.0017559142784964,138.3770378462429,2.2293129521168283e-08,78.7647387467429,0.5695033135992864,315.0595851055117,2.278017810428211,93.0,3200.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,20T,20,1.165378277354269e-05,0.0013021631342023,0.0013021631342023,111.7376851879908,1.517512630170912e-08,85.80896172788412,0.7679521664638398,343.23653338391676,3.0718148094788345,61.0,3600.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,20T,20,1.1766524408740494e-05,0.0015416216723674,0.0015416216723674,130.63102615043107,1.8139529036954354e-08,84.98677819060771,0.648666931663166,339.9477926573363,2.5946729159933066,91.0,3599.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,20T,20,1.7016489401683703e-05,0.0021726738480908,0.0021726738480908,127.6811112801694,3.6971281509352444e-08,58.76646918141969,0.4602619030365428,235.06634685790232,1.8410512942450776,90.5,3599.5,4000004.0,0.2499995000005
