platform,platform_label,device_kind,energy_domain,problem_size,objective,configuration,num_threads,value,selected_campaign
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,1,runtime,gpu_resident,-1,0.0003114451813407,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,1,energy,gpu_resident,-1,0.1065770775409329,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,1,edp,gpu_resident,-1,3.318029078511065e-05,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,1,throughput,gpu_resident,-1,23756.194603481297,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,1,energy_efficiency,gpu_resident,-1,69.42169819262313,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,2,runtime,gpu_resident,-1,0.0002893070187211,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,2,energy,gpu_resident,-1,0.0979851670506912,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,2,edp,gpu_resident,-1,2.8346523125624988e-05,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,2,throughput,gpu_resident,-1,12787.0251647826,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,2,energy_efficiency,gpu_resident,-1,37.75447020705474,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,3,runtime,gpu_resident,-1,0.0002380348142352,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,3,energy,gpu_resident,-1,0.0784748464808691,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,3,edp,gpu_resident,-1,1.8652604101657136e-05,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,3,throughput,gpu_resident,-1,15541.323829752284,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,3,energy_efficiency,gpu_resident,-1,47.140916220792896,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,4,runtime,gpu_resident,-1,0.0003062447918572,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,4,energy,gpu_resident,-1,0.1001294602012808,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,4,edp,gpu_resident,-1,3.067337682275305e-05,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,4,throughput,gpu_resident,-1,12079.800980829914,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,4,energy_efficiency,gpu_resident,-1,36.94596012645064,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,5,runtime,gpu_resident,-1,0.0004733076907677,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,5,energy,gpu_resident,-1,0.1587692853762423,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,5,edp,gpu_resident,-1,7.516846282475107e-05,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,5,throughput,gpu_resident,-1,15957.68054811591,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,5,energy_efficiency,gpu_resident,-1,47.57152202183882,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,6,runtime,gpu_resident,-1,0.0007474163896627,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,6,energy,gpu_resident,-1,0.2526645894428152,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,6,edp,gpu_resident,-1,0.0001888588882384,20260729_093014
3090,RTX 3090,GPU,GPU board NVML TotalEnergyConsumption,6,throughput,gpu_resident,-1,17598.406358241613,20260729_093014
