platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,working_set_bytes,operational_intensity_flop_per_byte,runtime_s_median,runtime_s_ci95_low,runtime_s_ci95_high,runtime_s_session_cv_pct,energy_j_median,energy_j_ci95_low,energy_j_ci95_high,energy_j_session_cv_pct,total_energy_j_median,total_energy_j_ci95_low,total_energy_j_ci95_high,total_energy_j_session_cv_pct,power_w_median,power_w_ci95_low,power_w_ci95_high,power_w_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,throughput_gflops_median,throughput_gflops_ci95_low,throughput_gflops_ci95_high,throughput_gflops_session_cv_pct,efficiency_gflop_per_j_median,efficiency_gflop_per_j_ci95_low,efficiency_gflop_per_j_ci95_high,efficiency_gflop_per_j_session_cv_pct,logical_bandwidth_gb_s_median,logical_bandwidth_gb_s_ci95_low,logical_bandwidth_gb_s_ci95_high,logical_bandwidth_gb_s_session_cv_pct,logical_gb_per_j_median,logical_gb_per_j_ci95_low,logical_gb_per_j_ci95_high,logical_gb_per_j_session_cv_pct,temperature_c_median,temperature_c_ci95_low,temperature_c_ci95_high,temperature_c_session_cv_pct,clock_mhz_median,clock_mhz_ci95_low,clock_mhz_ci95_high,clock_mhz_session_cv_pct
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,10T,10,5,4000004.0,0.2499995000005,1.4282895111668183e-05,1.3881232380741804e-05,1.4323189919043396e-05,1.3227623044681485,0.002149620326401,0.0019300298698247,0.0021903035457253,4.995826469629542,0.0021496214206024,0.0019300298698247,0.0021903058330601,4.995847705306808,150.07475957866717,138.90628215462073,153.32834110386744,3.828233103651572,3.078942018887758e-08,2.6791193124809514e-08,3.1278804446525093e-08,6.195620560354946,70.0137466656229,69.8167800365791,72.03964119117792,1.3460957466428949,0.4651979643652921,0.45655726666363,0.5181261780631548,5.331733305883349,280.05554677302507,279.2676786811152,288.15914108241753,1.3460957466428964,1.860795579048605,1.826232719116306,2.0725088572661887,5.331733305883351,95.5,83.0,98.0,6.509263898389288,2739.0,2739.0,2739.0,0.0
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,16T,16,5,4000004.0,0.2499995000005,1.4006697511042376e-05,1.2446403334371331e-05,1.4210069620896433e-05,6.280969543679606,0.0018099945017497,0.0017520632081347,0.0019541439080459,5.15162529069282,0.0018099967102245,0.0017520632081347,0.0019541439080459,5.151620463248179,138.3770378462429,129.28549172991265,140.76865663102834,3.26268107969315,2.535204548265791e-08,2.180688535575706e-08,2.7545492733552447e-08,10.932513336715603,71.39434539880916,70.37256161852046,80.34441542147808,6.434771616537424,0.5524873136538885,0.5117325269048258,0.5707550933990729,5.088744204895351,285.577952750571,281.4908094551378,321.3783044418784,6.434771616537417,2.209953674518483,2.0469342014836127,2.2830249396416047,5.088744204895352,93.0,84.0,96.0,5.155887489404966,3202.0,3200.0,3339.0,1.909933906303201
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,20T,20,5,4000004.0,0.2499995000005,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549,0.0013021631342023,0.0022389367965183,23.819073217501526,0.0015453029138073,0.0013021631342023,0.0022389367965183,23.819070467165947,129.3283028785228,111.7376851879908,133.82983206684366,6.8156989563015555,1.8139529036954354e-08,1.517512630170912e-08,3.8761089432139716e-08,45.26029542482795,84.98677819060771,57.762425937518564,86.80194761252564,20.22811972280648,0.6471217839015534,0.44664012023701016,0.7679521664638398,23.15009695386358,339.9477926573363,231.05016584994385,347.2084848663779,20.228119722806483,2.588492312585662,1.7865640540725758,3.0718148094788345,23.15009695386358,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166
3090,RTX 3090,GPU,GPU board NVML,2000000,gpu_resident,-1,5,8000004.0,0.249999750000125,1.382743051332375e-05,1.3754204585453044e-05,1.3867925871226304e-05,0.3210263282282247,0.0039716894787203,0.0039622577472398,0.0040023979986731,0.38575857133259395,0.0039716894787203,0.0039622577472398,0.0040023979986731,0.38575857133259395,287.7033896302025,285.97879349329173,289.4754937786929,0.5099309078448148,5.489981878693474e-08,5.460700999124498e-08,5.5342880213318335e-08,0.49220697332972696,144.63996026397336,144.217601000426,145.41000808692877,0.32168014058174804,0.5035637883363456,0.4997001799079082,0.5047624681643302,0.3842112315326731,578.5604196160238,576.8709808723963,581.6406139880382,0.3216801405817489,2.014257167601543,1.9988027184333517,2.019051891708203,0.38421123153267406,62.0,61.0,63.0,1.3451125828522115,1950.0,1950.0,1950.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,2000000,gpu_resident,-1,5,8000004.0,0.249999750000125,8.196056425240346e-06,8.1960527370483e-06,8.196145859799527e-06,0.0005407935497443322,0.0007296760128185,0.0007239961970641,0.0007354623763431,0.7179777235025757,0.0007296760128185,0.0007239961970641,0.0007354623763431,0.7179777235025757,89.02767342185064,88.33469796216595,89.73269977121805,0.7174893251136032,5.980464346876632e-09,5.9339136827967925e-09,6.027956910902821e-09,0.7184657608412722,244.01967192915598,244.01700923962315,244.01978173706493,0.0005407922059860566,2.7409411367034764,2.7193763601402527,2.762444068228893,0.7179579716052218,976.0796637957997,976.0690130270175,976.0801030278748,0.0005407922059930086,10.963775510583934,10.87751631807189,11.049787322697371,0.7179579716052222,59.0,57.0,60.0,2.5880120969459215,2752.0,2745.0,2760.0,0.27261054326847944
AMD,AMD CPU,CPU,CPU package RAPL,2000000,1T,1,5,8000004.0,0.249999750000125,0.0001743178830854,0.0001732726879113,0.0001747994591765,0.34110643888437925,0.0118193228913571,0.0118027619501212,0.0121495008712319,1.2668886005412345,0.0118193228913571,0.0118027619501212,0.0121495008712319,1.2668886005412345,68.04722842204325,67.81923399885851,69.58152476915507,1.0522235023886182,2.0595927111495933e-06,2.0450962878747173e-06,2.121118884242468e-06,1.5164663503646303,11.473286415600752,11.441677276475689,11.54249422750237,0.3418431623878345,0.1692143465733137,0.16461573369945443,0.16945177818988905,1.255099781738002,45.89319155557162,45.76675487263475,46.17002308000948,0.341843162387833,0.6768580631509794,0.6584635932610817,0.6778077905670079,1.255099781738006,58.0,57.0,58.0,0.9509072178909133,1807.5,1794.0,1825.0,0.844389473608161
AMD,AMD CPU,CPU,CPU package RAPL,2000000,2T,2,5,8000004.0,0.249999750000125,9.691568328892272e-05,9.675214996618031e-05,9.761338272080046e-05,0.35996479361615974,0.0077561011134373,0.0077417556541236,0.0081156135858537,2.022655918877244,0.0077561011134373,0.0077417556541236,0.0081156135858537,2.022655918877244,80.04227970598774,79.16056983848301,83.82738449109615,2.2738209580953455,7.52607628866879e-07,7.508225650447339e-07,7.852030627260876e-07,1.9213058015612707,20.636484541285757,20.48898362349059,20.671364932966338,0.35907334466635055,0.25786138818317356,0.2464384213026347,0.25833920487205153,1.9746493826459446,82.54602071112247,81.95601644993783,82.68554241736642,0.3590733446663504,1.0314465841787626,0.9857546709647169,1.0333578528455423,1.9746493826459426,58.0,57.0,60.0,1.9523551799642775,1868.0,1853.5,1873.5,0.5063656768979858
AMD,AMD CPU,CPU,CPU package RAPL,2000000,4T,4,5,8000004.0,0.249999750000125,5.731116443834991e-05,5.707127031019202e-05,5.741041761492945e-05,0.22102599592316116,0.005357921853664,0.0053429325928871,0.0053985056943113,0.4004920418924275,0.005357921853664,0.0053429325928871,0.0053985056943113,0.4004920418924275,93.59548368480117,93.32013734949778,94.02603549867608,0.30626164922070453,3.076005311670071e-07,3.0492795025779484e-07,3.0945578711571485e-07,0.5390767939462029,34.89719707495065,34.836865556607705,35.04388441206349,0.2214922655394856,0.3732788671847288,0.3704727036052788,0.37432607752950947,0.3995685395205535,139.58892788866066,139.34760157396272,140.1756778238617,0.22149226553948428,1.4931169618551305,1.4818922963126704,1.497305807423097,0.39956853952055943,57.0,56.0,57.0,0.7873478794013344,1928.0,1914.0,1947.0,0.6988174382721449
AMD,AMD CPU,CPU,CPU package RAPL,2000000,8T,8,5,8000004.0,0.249999750000125,3.992728712871288e-05,3.921111111111111e-05,4.016859298499077e-05,1.0270034765227032,0.0045370924150823,0.0044702567076742,0.0045565422586082,0.7969344283687152,0.0045370924150823,0.0044702567076742,0.0045565422586082,0.7969344283687152,113.74271103107849,113.37944060913722,114.11807528638772,0.28090705250137143,1.8123030573981817e-07,1.752837324598028e-07,1.8302989140494334e-07,1.817793275626948,50.091031568276584,49.79011838296929,51.00592519127232,1.0308723310255392,0.4408107256866888,0.4389291016058527,0.4474013755332109,0.7993224279980788,200.36432663733277,199.16067269245025,204.02390478889203,1.0308723310255388,1.7632446659905396,1.7557181621406948,1.7896072917392407,0.7993224279980834,57.0,57.0,58.0,0.7818419501747516,2115.0,2083.0,2142.0,1.0373778461922427
AMD,AMD CPU,CPU,CPU package RAPL,2000000,10T,10,5,8000004.0,0.249999750000125,3.795804026645826e-05,3.758046787968808e-05,3.834281822309672e-05,0.7293788534454196,0.0045667839678463,0.0045264165800222,0.004612781557439,0.8137908579773782,0.0045667839678463,0.0045264165800222,0.004612781557439,0.8137908579773782,120.45808021090166,119.884038220896,120.66853842124355,0.25035918812999325,1.7334616973972586e-07,1.7010485289561184e-07,1.7686704475973656e-07,1.5131014916129237,52.689732819723716,52.16098066561139,53.21910856466432,0.7305850306487325,0.4379447361822989,0.43357765268000076,0.44185040520291463,0.8138881044029964,210.75914203793153,208.64413130647253,212.87664713519794,0.7305850306487296,1.7517806965090161,1.734312345031481,1.767403388214163,0.8138881044029966,56.0,54.0,59.0,3.2209046320186085,2203.5,2174.0,2234.5,1.2446061923028173
