platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,runtime_s_median,runtime_s_ci95_low,runtime_s_ci95_high,runtime_s_session_cv_pct,energy_j_median,energy_j_ci95_low,energy_j_ci95_high,energy_j_session_cv_pct,power_w_median,power_w_ci95_low,power_w_ci95_high,power_w_session_cv_pct,throughput_gflops_median,throughput_gflops_ci95_low,throughput_gflops_ci95_high,throughput_gflops_session_cv_pct,efficiency_gflop_per_j_median,efficiency_gflop_per_j_ci95_low,efficiency_gflop_per_j_ci95_high,efficiency_gflop_per_j_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,temperature_c_median,temperature_c_ci95_low,temperature_c_ci95_high,temperature_c_session_cv_pct,clock_mhz_median,clock_mhz_ci95_low,clock_mhz_ci95_high,clock_mhz_session_cv_pct
3090,RTX 3090,GPU,GPU board NVML,64,gpu_resident,-1,5,5.265390629524527e-06,5.265276790649924e-06,5.266399936827144e-06,0.010729673508934617,0.0009341966020311,0.0009206785817693,0.0009366275794162,0.8245135981146945,177.4047055,174.8181105,177.75053350000002,0.8048885243808118,99.57247940165533,99.55339630280123,99.5746322265584,0.010729259247243297,0.5612180550219408,0.5597614372265107,0.569458234808132,0.8269635779648242,4.919391837770915e-09,4.848748744884246e-09,4.935406381350505e-09,0.8448032256276664,58.0,56.0,58.0,1.5582355243900974,1950.0,1950.0,1965.0,0.3434820241935161
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,gpu_resident,-1,5,9.824193706499364e-06,9.745628561687204e-06,9.859147042353149e-06,0.44115006213449554,0.0003301833153612,0.00032838672915,0.0003328917247089,0.5597626177151899,33.572706,33.318714,34.146522,0.9471083012270789,53.36702590189648,53.17782539886581,53.797248343849574,0.44286770897122146,1.587869451932971,1.5749505352182247,1.5965566006795497,0.5583028828037021,3.241224180560288e-09,3.235826667882598e-09,3.246018511873912e-09,0.14681471367015334,48.0,47.0,49.0,1.7503347835440912,2797.0,2797.0,2797.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,64,1T,1,5,6.152481265919355e-06,6.134217945574896e-06,6.188471799962772e-06,0.3443949482967324,0.0004420068137912,0.000440044097818,0.0004494260129056,0.8796970296060224,71.83632990412246,71.67901659671682,72.6294920726826,0.5396918809109518,85.21570035559571,84.7201081215485,85.46941185521635,0.343550373457237,1.1861536601733675,1.1665724389436365,1.191444227066631,0.8738720180212789,2.7196551094582803e-09,2.698976515224476e-09,2.781820947630466e-09,1.2309172194400155,71.5,69.0,73.0,2.5621864773744636,1822.0,1795.0,1830.0,0.9221320186045499
AMD,AMD CPU,CPU,CPU package RAPL,64,2T,2,5,6.147713611058021e-06,6.124136812204619e-06,6.21050841322149e-06,0.5609890452303586,0.0004414509491427,0.0004377230024346,0.0004531043851108,1.5220792598775676,71.79607037879714,71.33121695925894,72.96229745984459,0.9504889981347752,85.28178655833158,84.41949758635678,85.61010573035554,0.5593219938172269,1.1876472369538904,1.1571020215833778,1.1977620483363418,1.5127096192537968,2.713308169894568e-09,2.681853818067638e-09,2.812582914685021e-09,2.068892664545219,72.0,68.0,76.0,4.811082363394304,1823.0,1794.5,1825.5,0.8904043702285235
AMD,AMD CPU,CPU,CPU package RAPL,64,4T,4,5,6.149570334621919e-06,6.134287816543013e-06,6.201551085263139e-06,0.49608875632028854,0.0004425503748799,0.0004378628763259,0.0004507745867807,1.223041051045786,72.00302829076102,71.39201612580653,72.71937738950211,0.7234380976042791,85.25603765327675,84.54143048920056,85.46843833869264,0.49519816413466344,1.1846967707174172,1.1630824260620174,1.1973794270920883,1.2198942706272435,2.7210816531893446e-09,2.6855433118146542e-09,2.795130126852465e-09,1.7179166092957048,71.0,68.5,74.0,3.255960259394352,1822.5,1795.0,1828.0,0.894994445775565
AMD,AMD CPU,CPU,CPU package RAPL,64,8T,8,5,6.138008702643321e-06,6.121002484487254e-06,6.187864285581274e-06,0.42059310355230495,0.0004390853733376,0.0004387737066591,0.0004488895768545,1.0054480474368632,71.70195036390024,71.48723784239588,72.51264293808521,0.5909744165654641,85.41662702013058,84.72842580301509,85.65394334158954,0.41945812241440367,1.1940456955210168,1.167966526810087,1.1948938417299908,0.9976853665440139,2.693620855628583e-09,2.685904578434268e-09,2.7776677860560594e-09,1.426565313524331,69.0,69.0,74.0,3.3768985534125378,1795.5,1795.0,1812.0,0.4639204680445994
AMD,AMD CPU,CPU,CPU package RAPL,64,10T,10,5,6.151522048014172e-06,6.136619588578447e-06,6.201099747263052e-06,0.42715150819812525,0.0004418865183882,0.000439247881486,0.0004500579401007,0.9634719486433436,71.83334552527677,71.59433032460257,72.56226450138587,0.5166484156021218,85.22898819313345,84.54758371390533,85.43596232945764,0.425292190249818,1.1864765684917542,1.1649344524011533,1.1936039354960677,0.9541527524307923,2.7184265636428402e-09,2.6948031883789756e-09,2.7893280005037213e-09,1.3637690110242864,71.0,70.0,74.0,2.3078197647689582,1795.0,1795.0,1809.0,0.3482584457113923
AMD,AMD CPU,CPU,CPU package RAPL,64,16T,16,5,6.169918931156612e-06,6.12958053475543e-06,6.177724090937248e-06,0.31845962258800653,0.0004465363408288,0.0004397738004126,0.000447114331663,0.6837534640873569,72.28168887112209,71.70457870087999,72.43478398378755,0.40289784010929525,84.97486042360642,84.86750011531483,85.53407480776644,0.3197078058635928,1.174121682967366,1.1726038797503084,1.1921765223578757,0.6893524266218287,2.7560592340621167e-09,2.697117519130732e-09,2.759224421285102e-09,0.9632622692335826,73.0,69.5,74.0,2.3890355966467274,1808.5,1795.0,1826.0,0.8372048057353066
AMD,AMD CPU,CPU,CPU package RAPL,64,20T,20,5,6.145887099257799e-06,6.11990709288875e-06,6.169123001913226e-06,0.30153385733543275,0.0004418442548735,0.0004382749358891,0.000445202459421,0.5832432870166426,71.88288325834057,71.61630187406061,72.16199247117984,0.2801084793352395,85.30713166913121,84.98582372849478,85.66927439294227,0.3015723832843162,1.1865900579608162,1.1776394961560934,1.1962536687990402,0.5832221573840045,2.716481390584257e-09,2.6820071269025004e-09,2.746508792911617e-09,0.8890776564870708,71.0,69.0,71.5,1.4184397163120568,1809.0,1795.0,1824.5,0.8084409416041886
AMD,AMD CPU,CPU,CPU package RAPL,64,32T,32,5,6.154622143463655e-06,6.131844738927696e-06,6.1804999193878434e-06,0.32059202093505396,0.0004426930392815,0.0004379273704621,0.0004482989563826,0.881568392035326,71.8477271456542,71.32978877943495,72.53055995444257,0.6049819043630456,85.18605818178546,84.8293838424528,85.50249106465222,0.3203794278472833,1.1843149846018142,1.169505287789578,1.1972030874589374,0.8781990591516945,2.725736455735348e-09,2.6867765302737366e-09,2.7707120608611566e-09,1.1948740555612993,72.0,68.0,73.0,2.816901408450704,1795.0,1795.0,1809.5,0.36067618525776685
AMD,AMD CPU,CPU,CPU package RAPL,64,64T,64,5,6.16892163261208e-06,6.121948532112338e-06,6.2025905087452285e-06,0.4726181617014771,0.0004436749288843,0.0004381753323865,0.0004510462773522,1.0496909661841423,71.96936885165897,71.56261015843162,72.67569204546137,0.5928056657838568,84.98859788205851,84.52726312671936,85.6407069170668,0.47365574053307563,1.1816939968152267,1.1623818360230234,1.196525594319725,1.0483766100862795,2.7351558879885192e-09,2.682611172997869e-09,2.7993239002992907e-09,1.5334395366959892,72.0,68.5,75.0,3.443955628765901,1810.0,1795.0,1828.5,0.8618030929209257
INTEL,Intel CPU,CPU,CPU package RAPL,64,1T,1,5,2.5564774921052965e-06,2.4669402442480933e-06,2.775629547739253e-06,5.691411194492092,0.0001600621949192,0.0001394822039015,0.0001865182792611,12.169633882632173,59.742055349927554,56.56763319174783,68.05265207904918,7.62667742303501,205.0821889177836,188.88976031654943,212.5256180089597,5.620428147656396,3.2755267429930135,2.810920206196352,3.758816432024858,11.825349437542181,4.090349093140591e-10,3.4392969758874967e-10,5.108571393249935e-10,17.333444759429597,98.0,96.0,99.5,1.4624944906308837,1339.0,1326.5,1339.0,0.4208480855927591
INTEL,Intel CPU,CPU,CPU package RAPL,64,2T,2,5,2.481484534640308e-06,2.4527152230457822e-06,2.7358931181728178e-06,5.432399819760841,0.0001460082847464,0.0001285187036747,0.0001817785457161,14.329639962383869,58.83901910615528,52.9940849813953,67.14070105543371,9.143962004094469,211.27997885185115,191.63321714488205,213.75820359158496,5.326992326356913,3.590809938700598,2.884212754231338,4.079468474309009,13.880716998724267,3.62317962091293e-10,3.1537317362800137e-10,4.921521507604273e-10,19.600039914666354,98.5,84.0,99.0,6.783060138332169,1374.0,1339.0,1423.5,2.5680369152449725
INTEL,Intel CPU,CPU,CPU package RAPL,64,4T,4,5,2.685753448289805e-06,2.465447094221049e-06,2.7594916233710574e-06,4.447267656335022,0.0001673816350915,0.0001415585342898,0.0001813937242184,9.410935757999491,64.20666638943493,57.41166444956847,66.46224601284317,6.5076006880336354,195.2107704949047,189.9944162031983,212.65433001134718,4.5907075484766455,3.1322910647479056,2.8903315275050616,3.7036834453701855,10.177404793676256,4.554999880734155e-10,3.4903742261086346e-10,4.950736920879915e-10,12.874457437159448,98.5,97.0,99.0,0.8349429230261678,1337.5,1320.5,1394.5,2.135454374491961
INTEL,Intel CPU,CPU,CPU package RAPL,64,8T,8,5,2.718807614968793e-06,2.4257562737587207e-06,2.820754610105839e-06,5.731721044979005,0.0001642191003875,0.0001520665717531,0.0001757724090369,5.864775021698531,62.561207664146735,59.8561003515038,64.49216456575022,2.6613633353110897,192.8374766619954,185.86799366440738,216.1338324347043,5.964929023413835,3.192612788420242,2.982766196769459,3.4477531383508158,6.008823950083907,4.5015620879452327e-10,3.699583204440469e-10,4.963842446335891e-10,11.231233287372895,99.0,98.5,99.0,0.22609382987864404,1344.0,1339.0,1449.0,3.971026951753323
INTEL,Intel CPU,CPU,CPU package RAPL,64,10T,10,5,2.615265488467808e-06,2.470843345176688e-06,2.6968460397958438e-06,4.211214013923632,0.0001609739104985,0.0001306723965299,0.0001865978619424,15.025553616360318,61.551644774345846,52.84952211089659,69.13248545883329,11.157275715721482,200.47219003649295,194.40783502779772,212.18989905752548,4.244420607568667,3.2569749866695665,2.809721368414392,4.012232222893641,15.48005648305263,4.2098960278316057e-10,3.230301280336097e-10,5.03654001406965e-10,18.90539946093437,98.0,84.0,99.0,6.803185163811339,1402.5,1339.0,1427.5,3.1940999025271806
INTEL,Intel CPU,CPU,CPU package RAPL,64,16T,16,5,2.476036837876259e-06,2.452508285720594e-06,2.8508282456004385e-06,6.857826053371805,0.0001315633664435,0.000129541006929,0.0001866692755797,17.918936810269816,53.61573401051566,52.30729730522242,69.09547741839927,12.491677137760087,211.7448302787333,183.90725600853412,213.77624004477283,6.604092026461567,3.9850606910788953,2.8086464597445278,4.0472743915550735,16.511357183612603,3.229599081398164e-10,3.2087021108040376e-10,5.04510621728678e-10,24.111012378582416,88.0,84.0,99.0,8.437877228800861,1339.0,1337.5,1389.0,1.6220339553049425
INTEL,Intel CPU,CPU,CPU package RAPL,64,20T,20,5,2.679698672313956e-06,2.463185118747773e-06,2.8072889155040578e-06,5.981615927145932,0.0001737698111841,0.0001421202651398,0.0001849366815923,11.669009942669916,62.128173706433714,57.72504645204802,69.018574667895,7.379387371731928,195.6518489996005,186.759544806546,212.84961329521835,6.0475928546776085,3.017140874052884,2.8349594871384847,3.6890446234692256,12.017055928763224,4.839105697134778e-10,3.5018414267256794e-10,4.963817790216828e-10,16.734416842403057,99.0,98.0,99.0,0.45310394680846805,1339.0,1321.0,1339.0,0.5840560984683363
3090,RTX 3090,GPU,GPU board NVML,128,gpu_resident,-1,5,5.186626183838249e-06,5.180780624707656e-06,5.1937753868660095e-06,0.09773408192342392,0.0010086930828564,0.0010043627799364,0.0010143157840029,0.3916170827671086,194.488466,193.312501,195.5519015,0.4508011709406203,808.6767488795765,807.5636098177316,809.5891920219414,0.09771224487076394,4.158156798421419,4.135106705574058,4.176084661625553,0.39178552473695705,5.234266457310598e-09,5.220928062878346e-09,5.274751224002071e-09,0.40624118481416494,59.0,57.0,60.0,1.9456918517050137,1950.0,1950.0,1950.0,0.0
