platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,8T,8,7.348909157241882e-05,0.0099387937978839,0.0099387977015687,135.15779487880656,7.303929275320781e-07,27.21492342886192,0.20123166258121047,163.2895405731715,1.2073899754872628,88.0,2324.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,8T,8,7.253131577037521e-05,0.0095291054503229,0.0095291132520502,131.35789816604233,6.911585564265737e-07,27.574296409177826,0.20988328971973216,165.44577845506694,1.259299738318393,86.0,2316.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,8T,8,7.575855828683456e-05,0.0101525430930478,0.0101525430930478,133.96849145561262,7.691420276742614e-07,26.399657612644447,0.19699497767899635,158.3979456758667,1.1819698660739781,88.5,2281.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,8T,8,7.809590752889722e-05,0.0104269435723211,0.0104269435723211,133.3596551760158,8.143016210330179e-07,25.609536572194333,0.19181076277319759,153.65721943316598,1.1508645766391856,88.0,2249.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,10T,10,5.098217568947906e-05,0.0071583908580183,0.0071583920071501,140.47364133913945,3.6495034037744975e-07,39.229396802944414,0.2793923997262245,235.37638081766647,1.676354398357347,76.0,2519.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,10T,10,5.2620882584712367e-05,0.0077692344628316,0.0077692344628316,147.64017935406372,4.088239744417625e-07,38.00772434366291,0.2574256201905218,228.0463460619775,1.5445537211431308,88.0,2399.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,10T,10,5.129379964130157e-05,0.0076560080450935,0.0076560080450935,149.30843148836982,3.927057427172189e-07,38.99106741918194,0.26123274534458446,233.94640451509164,1.5673964720675067,90.0,2519.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,10T,10,5.714782857142858e-05,0.0084336419428571,0.0084336427999999,147.63193269560196,4.819643239832074e-07,34.99695526489195,0.2371454720927424,209.9817315893517,1.4228728325564541,90.0,2519.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,10T,10,5.226265657620041e-05,0.0077999560281837,0.0077999560281837,149.19827128717435,4.0764642321042895e-07,38.26824220242123,0.25641170190875046,229.60945321452738,1.5384702114525026,90.0,2520.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,16T,16,6.820107768910715e-05,0.00872773647773,0.0087277370233954,128.00062449190426,5.95241033567718e-07,29.32504980517974,0.22915448983860484,175.95029883107847,1.374926939031629,81.0,3120.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,16T,16,6.791160502205633e-05,0.0089742160841533,0.0089742192059721,132.12879514688746,6.094534180896041e-07,29.450047592755904,0.22286069125654398,176.70028555653542,1.337164147539264,87.0,3126.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,16T,16,6.71453734147487e-05,0.0088751844259545,0.0088751844259545,132.19090756490766,5.95927572405477e-07,29.786117766390937,0.22534742986874956,178.7167065983456,1.3520845792124971,86.5,3119.5,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,16T,16,6.851643111964873e-05,0.0089701245883644,0.0089701319635016,130.85887811951696,6.146009234933368e-07,29.19007845734761,0.22296234353247452,175.14047074408566,1.3377740611948472,86.0,3119.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,16T,16,0.0001126697562071,0.0140605173014268,0.0142912487922705,124.85287067017386,1.5841950564974693e-06,17.750992522995872,0.14224227723094146,106.50595513797523,0.8534536633856489,83.0,3141.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,1000000,20T,20,5.4815005194947225e-05,0.0074901446656094,0.0074901471810575,136.66515683456714,4.105723187562855e-07,36.48635976384725,0.26701753961881314,218.91815858308345,1.602105237712879,72.5,3600.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,1000000,20T,20,5.49435900252664e-05,0.0081116105130176,0.0081116130396572,147.5245644748693,4.456810024718799e-07,36.4009705059367,0.2465601617324178,218.4058230356202,1.4793609703945068,88.0,3601.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,1000000,20T,20,5.414410209367581e-05,0.0079986117256637,0.0079986117256637,147.74896459339612,4.330776498820078e-07,36.93846462796187,0.2500433911028537,221.6307877677712,1.5002603466171223,88.5,3600.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,20T,20,5.4597093719386085e-05,0.0082015756503755,0.0082015756503755,149.99947024005303,4.477821944301861e-07,36.63198649875844,0.24385558156845533,219.7919189925506,1.463133489410732,92.0,3599.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,20T,20,7.271315102277673e-05,0.0104622893152473,0.0105797828231539,143.93309868249509,7.607460230235603e-07,27.505340806555314,0.19116275030602378,165.0320448393319,1.1469765018361426,88.5,3600.0,12000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,1T,1,0.0011073316722037,0.050807919158361,0.0514206904761904,45.88066784088802,5.626121808281829e-05,3.6122871768307703,0.07872788467350086,21.673723060984624,0.4723673080410052,74.0,1338.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,1T,1,0.0011025269823788,0.0509464118942731,0.0515789102422907,46.21952099595848,5.616979376882032e-05,3.6280291221260135,0.07851387077663151,21.768174732756076,0.471083224659789,81.0,1339.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,1T,1,0.0010972267250821,0.0507149375684556,0.0512709408543264,46.20388470429455,5.5645784860979695e-05,3.645554659362403,0.0788722256554246,21.873327956174414,0.47323335393254756,80.0,1339.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,1T,1,0.0011110881374722,0.0531914617516629,0.053804614745011,47.87919391188491,5.9100402167078895e-05,3.6000744361291344,0.07520003903398932,21.600446616774803,0.4512002342039359,83.0,1338.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,1T,1,0.0011438179223744,0.0529213515981735,0.0535305136986301,46.2776785223746,6.0532390434267954e-05,3.49706008426287,0.07558385942920728,20.982360505577216,0.45350315657524365,81.0,1339.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,2T,2,0.0006276193609022,0.0377511801378446,0.0385300037593984,60.15707669240035,2.3693371551417852e-05,6.373289686682097,0.10595695248186696,38.23973812009258,0.6357417148912017,75.0,1471.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,2T,2,0.0006090756200846,0.0389645886267392,0.0397420238959467,63.93512524525517,2.3732380979172532e-05,6.56732902795289,0.1026573137552651,39.40397416771734,0.6159438825315906,83.0,1603.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,2T,2,0.0006142594077729,0.0385639161011721,0.0392826289327575,62.72649398911543,2.368824826570978e-05,6.511906776491495,0.10372390577518202,39.071440658948966,0.6223434346510922,82.5,1607.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,2T,2,0.0006077880170316,0.038974059002433,0.0397027542579075,63.903101879777786,2.368796603676133e-05,6.581241959220845,0.10263236887259539,39.487451755325075,0.6157942132355723,83.0,1600.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,2T,2,0.0006601325857519,0.0418068614775725,0.0425621625989445,63.28187042709671,2.7598071569361436e-05,6.059388805120029,0.0956780743310717,36.35633283072017,0.5740684459864301,82.0,1609.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,4T,4,0.0004588565536205,0.0342726491750687,0.0350804429422548,74.69261669490815,1.5726229683916494e-05,8.717321281430849,0.11671114128258754,52.3039276885851,0.7002668476955252,69.0,1849.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,4T,4,0.000445180248007,0.0354380885739592,0.0362763487599645,79.58734534401589,1.577633706024919e-05,8.985124604937782,0.11287290485918873,53.91074762962669,0.6772374291551324,80.0,1849.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,4T,4,0.0004514294382022,0.0366508593258426,0.0374819415730337,81.0688010685004,1.6545276835092984e-05,8.860742480441335,0.10913795947970016,53.16445488264801,0.654827756878201,81.5,1840.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,4T,4,0.0004460491985752,0.0366974432324131,0.0375033532947462,82.24122889274824,1.636886514357676e-05,8.967620640900298,0.10899941924201932,53.80572384540179,0.6539965154521159,84.0,1780.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,4T,4,0.0004684749766136,0.0376394251637044,0.0384721375116931,80.45440039616287,1.7633128823315766e-05,8.538342920499712,0.10627154858510404,51.23005752299827,0.6376292915106243,81.0,1799.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,8T,8,0.0003321923714759,0.0351194883913764,0.0357635066334991,105.58731105541126,1.1666426133751666e-05,12.041215703504479,0.11389687558723666,72.24729422102688,0.6833812535234199,73.5,2324.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,8T,8,0.0003185559273422,0.036090804652645,0.0367822031548757,113.30502099611536,1.1496939744649513e-05,12.556664800975778,0.11083155497634078,75.33998880585467,0.6649893298580447,82.0,2197.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,8T,8,0.000306168685645,0.034647778316172,0.0352313628104179,113.2818887584388,1.0608064747581712e-05,13.064693378335779,0.11544751768782192,78.38816027001468,0.6926851061269316,82.0,2193.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,8T,8,0.0003167631997455,0.0358165281488549,0.0364605176526717,113.09248902088606,1.1345358060206048e-05,12.627729493873522,0.11168028300721507,75.76637696324113,0.6700816980432904,83.0,2200.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,8T,8,0.0003731360924683,0.0400885706562267,0.0408370997390007,107.42603614840856,1.4958492607303784e-05,10.719949318062344,0.09977906257375393,64.31969590837406,0.5986743754425236,82.0,2325.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,10T,10,0.0002806352298206,0.0339082012331838,0.0344411325672645,120.88032585321534,9.515835845877688e-06,14.25337796169446,0.11796556156112034,85.52026777016677,0.7077933693667221,77.0,2519.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,10T,10,0.000243084667637,0.0320214308588064,0.0325633545608927,131.6147912791277,7.783918877574129e-06,16.455171932000365,0.1249163417349271,98.73103159200218,0.7494980504095626,85.0,2519.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,10T,10,0.0002398038581356,0.0315301573208722,0.0320219408099688,131.42215687570996,7.561053373167587e-06,16.68029877041491,0.1268626717999944,100.08179262248946,0.7611760307999663,85.0,2401.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,10T,10,0.0002424371822803,0.0322702283950617,0.0327942190752844,133.08928562034424,7.823503243640486e-06,16.499119328054626,0.12395325967423641,98.99471596832774,0.7437195580454184,87.0,2519.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,10T,10,0.0002419220826286,0.031755504832085,0.0322875300797294,131.1544448647503,7.682357863900575e-06,16.534249195187446,0.1259624125376365,99.20549517112467,0.755774475225819,85.0,2519.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,16T,16,0.0003034902971497,0.033412192995755,0.0340136782898726,110.0891014170835,1.0140276380704809e-05,13.179993026356804,0.11971677526549059,79.07995815814083,0.7183006515929435,70.0,3240.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,16T,16,0.0002624411379129,0.0326027317776612,0.0332050579444153,124.27678729363518,8.55629802679847e-06,15.241512941951715,0.12268910554117207,91.44907765171028,0.7361346332470325,84.0,3240.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,16T,16,0.0002611140396659,0.0327251608820459,0.033302837552192,125.30582681981252,8.544998956627493e-06,15.318977122479014,0.12223010956057764,91.91386273487409,0.7333806573634659,85.0,3240.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,16T,16,0.0002625433586586,0.0322415348441184,0.032843389572963,122.6725097270812,8.464800846283127e-06,15.235578688552645,0.12406357263508788,91.41347213131587,0.7443814358105272,83.0,3239.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,16T,16,0.0003639022173754,0.0406766217739004,0.0414426786623046,111.76624629743948,1.4802312858862831e-05,10.991963799642411,0.09833658316646506,65.95178279785446,0.5900194989987904,82.0,3239.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,20T,20,0.0003044949893713,0.0341651986030974,0.0347844886122077,112.28932334269476,1.0403131785518496e-05,13.13650516305349,0.11707820131440307,78.81903097832094,0.7024692078864184,65.0,3600.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,20T,20,0.000234537128133,0.031322113961115,0.031787373506676,133.38796269893103,7.346198655494456e-06,17.05486901729138,0.12770530127582772,102.32921410374827,0.7662318076549662,84.0,3999.5,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,20T,20,0.0002339992979171,0.0316457618769014,0.0321670575707933,135.08561781124888,7.405086061246657e-06,17.094068382278216,0.1263992320854707,102.5644102936693,0.7583953925128241,86.0,3999.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,20T,20,0.0002728740811325,0.0358419188674108,0.0364994337054179,131.31141934473789,9.780330676970338e-06,14.658775884462665,0.11160116774989388,87.95265530677598,0.6696070064993633,86.0,3600.0,24000000.0,0.1666666666666666
