platform,platform_label,kind,campaign_id,session_id,session_number,problem_size,threads,n_repetitions,n_in_range,n_above,n_below,throttle_nonzero_rows,throttle_masks,median_batches,median_time_e2e_op_s,mad_time_e2e_op_s,cv_time_e2e_op_s,median_time_kernel_op_s,mad_time_kernel_op_s,cv_time_kernel_op_s,median_device_energy_op_j,mad_device_energy_op_j,cv_device_energy_op_j,median_total_energy_op_j,mad_total_energy_op_j,cv_total_energy_op_j,median_dram_energy_op_j,mad_dram_energy_op_j,cv_dram_energy_op_j,median_avg_power_w,mad_avg_power_w,cv_avg_power_w,median_gflops_per_s,mad_gflops_per_s,cv_gflops_per_s,median_logical_bandwidth_gb_s,mad_logical_bandwidth_gb_s,cv_logical_bandwidth_gb_s,median_edp_device_j_s,mad_edp_device_j_s,cv_edp_device_j_s,median_ed2p_device_j_s2,mad_ed2p_device_j_s2,cv_ed2p_device_j_s2,median_temp_c,mad_temp_c,cv_temp_c,median_temp_before_c,mad_temp_before_c,cv_temp_before_c,median_temp_after_c,mad_temp_after_c,cv_temp_after_c,median_clock_before_mhz,mad_clock_before_mhz,cv_clock_before_mhz,median_clock_after_mhz,mad_clock_after_mhz,cv_clock_after_mhz,median_clock_after_before_ratio,mad_clock_after_before_ratio,cv_clock_after_before_ratio,median_sm_clock_mhz,mad_sm_clock_mhz,cv_sm_clock_mhz,median_mem_clock_mhz,mad_mem_clock_mhz,cv_mem_clock_mhz
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,1000000,-1,10,10,0,0,10,0x4,75121.0,1.361253730647888e-05,1.5054112698174166e-09,0.0005106011680562895,1.361203258092569e-05,1.5063588036295914e-09,0.0005108832188905437,0.004612604997271069,3.144926185753632e-05,0.041828957466801896,0.004612604997271069,3.144926185753632e-05,0.041828957466801896,nan,nan,nan,338.9351179151312,2.2065714674396872,0.041959993870067554,146.92882860999373,0.016260121013701223,0.0005111309622118163,881.5402847236078,0.09749201847614586,0.0005108486435384232,6.275663618975812e-08,4.473150863940934e-10,0.04170400643574561,8.543224141902593e-13,6.35042283531207e-15,0.041585186471135516,62.0,0.0,0.007828944757530761,61.5,0.5,0.008569858157637885,62.0,0.0,0.00838308083594679,1950.0,0.0,0.002430651545094834,1950.0,0.0,0.0,1.0,0.0,0.0024157965318322267,1950.0,0.0,0.0011347692428963273,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,2000000,-1,10,10,0,0,10,0x4,32022.0,3.123123084129661e-05,1.0809911935513185e-09,4.2524142869143024e-05,3.122984078664424e-05,9.425359054944114e-10,4.1250342962935395e-05,0.0108703079133096,2.976078945724804e-05,0.003577648712975994,0.0108703079133096,2.976078945724804e-05,0.003577648712975994,nan,nan,nan,348.04636943418427,0.9604496361375539,0.003591782052395841,128.08262544186823,0.003865726922285262,4.1249467467623256e-05,768.4615481293124,0.02659843820754304,4.252349380843616e-05,3.3951114117720137e-07,9.318612049751408e-10,0.0035639668050347307,1.0603914439590595e-11,2.9220171495175413e-14,0.0035507415703561907,61.0,0.0,0.007957922430636704,60.5,0.5,0.008711508705698015,61.0,0.0,0.008521415503206639,1950.0,0.0,0.002430651545094834,1950.0,0.0,0.002430651545094834,1.0,0.0,0.0036123482065100543,1950.0,0.0,0.0015124829094447512,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,4000000,-1,10,10,0,0,10,0x4,16791.0,5.956369406229528e-05,2.133107021618267e-09,5.37129640706428e-05,5.956184296786597e-05,2.1664554299968353e-09,5.37334533853919e-05,0.021108093621582995,5.5505925793576313e-05,0.0062527585092078805,0.021108093621582995,5.5505925793576313e-05,0.0062527585092078805,nan,nan,nan,354.3684745942372,0.9407364844931578,0.006276114516171473,134.31417841365564,0.004885310164667089,5.373426941867444e-05,805.8600255383603,0.02885888862090269,5.371382873760411e-05,1.257311666523025e-06,3.2746966721787087e-09,0.006229781318553776,7.489225027738468e-11,1.9318010707632198e-13,0.006207187128675724,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,1935.0,0.0,0.0,1935.0,0.0,0.0,1.0,0.0,0.0,1935.0,0.0,0.0,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,8000000,-1,10,10,0,0,10,0x4,8601.0,0.00011628784455295896,7.529589582597738e-09,7.532455506382392e-05,0.00011628358927650128,7.61786306641653e-09,7.532482487003098e-05,0.04114905243576328,8.237414254157194e-05,0.004796267276780044,0.04114905243576328,8.237414254157194e-05,0.004796267276780044,nan,nan,nan,353.8470836033578,0.7250013703197453,0.004801551185751722,137.59465202597656,0.009014029315821404,7.532633856433796e-05,825.5377025052719,0.05345367660578404,7.532610677780946e-05,4.7852436751218115e-06,9.354138868630319e-09,0.004792164257453486,5.564783563038112e-10,1.0879480071415907e-12,0.00478924508855339,63.0,0.0,0.0,63.0,0.0,0.0,63.0,0.0,0.0,1935.0,0.0,0.0,1935.0,0.0,0.0,1.0,0.0,0.0,1935.0,0.0,0.0,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,16000000,-1,10,10,0,0,10,0x4,4339.0,0.00023049975190135975,1.0166513021424317e-08,5.64296321053384e-05,0.00023049228349075968,1.0022481868670013e-08,5.651264537974291e-05,0.08147280479373127,0.00023530767457940333,0.005161273302391271,0.08147280479373127,0.00023530767457940333,0.005161273302391271,nan,nan,nan,353.43526202280725,1.0445478660808192,0.005183380360698304,138.83328117857235,0.006036629410345995,5.65120947952483e-05,832.9726970850077,0.036737864248095775,5.642909917821516e-05,1.878085929317396e-05,5.29796553305264e-08,0.005139694352901411,4.329305673390814e-09,1.1921644001699173e-11,0.005118650208842417,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,1935.0,0.0,0.003753270330533395,1935.0,0.0,0.00401553483277078,1.0,0.0,0.004416817517842619,1931.0,4.0,0.003233653664123159,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,32000000,-1,10,10,0,0,10,0x4,2188.0,0.0004571638276965265,9.759597806210376e-09,4.950238748445839e-05,0.00045715071209170046,9.596020909499346e-09,4.924947324381556e-05,0.1609741773308958,0.0005799817184643369,0.005472176538375703,0.1609741773308958,0.0005799817184643369,0.005472176538375703,nan,nan,nan,352.1123385659202,1.2829591928907575,0.005474975842223348,139.99759447146056,0.0029386863325555623,4.924649402094953e-05,839.9614684223939,0.01793166357492737,4.949943505392204e-05,7.359209818081781e-05,2.621564658743876e-07,0.005469827423659993,3.3643886300735544e-08,1.1848145667098027e-10,0.005467929159159258,65.0,0.0,0.0,65.0,0.0,0.0048725387675938045,65.0,0.0,0.0048725387675938045,1935.0,0.0,0.00327357935835236,1935.0,0.0,0.0024532797984238783,1.0,0.0,0.0024686008276099763,1935.0,0.0,0.002650100183474726,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,64000000,-1,10,10,0,0,10,0x4,1100.0,0.0009120088422727272,3.740181818190401e-08,6.549013742250412e-05,0.0009119752918590199,3.775856711649671e-08,6.551453973802584e-05,0.3225813636363637,0.0016599999999999948,0.033382518631606885,0.3225813636363637,0.0016599999999999948,0.033382518631606885,nan,nan,nan,353.70408958061944,1.8237848185648602,0.033384346051964865,140.35467971898487,0.005810811617564582,6.551423400907934e-05,842.0970986304819,0.03453294976856114,6.548987053794515e-05,0.00029419141419006285,1.5109183610532778e-06,0.03338081657682635,2.6829133139087086e-07,1.3752204528774163e-09,0.033379239908482086,62.0,0.0,0.00775354561058825,62.0,0.0,0.006778730246877554,62.0,0.0,0.00775354561058825,1950.0,0.0,0.0,1950.0,0.0,0.0,1.0,0.0,0.0,1950.0,0.0,0.0,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,128000000,-1,10,10,0,0,10,0x4,553.0,0.0018179540099457505,1.0423056057877814e-07,0.00011382438485853222,0.0018178990176099118,1.0556984982490643e-07,0.00011333610394166821,0.6371283905967451,0.002383363471971045,0.032398767496656086,0.6371283905967451,0.002383363471971045,0.032398767496656086,nan,nan,nan,350.4493885357488,1.281658961870761,0.03243999405022459,140.82190357084787,0.008177864537415758,0.00011333798629606034,844.9058625838226,0.04844174308311722,0.00011382614729146629,0.0011583201437466622,4.429857925671065e-06,0.0323578910323081,2.1058637084959963e-06,8.229633676169256e-09,0.03231736596989629,65.0,0.0,0.007993773676382699,64.5,0.5,0.008171260103794263,65.0,0.0,0.007993773676382699,1935.0,0.0,0.003753270330533395,1935.0,0.0,0.003753270330533395,1.0,0.0,0.003668573214327913,1935.0,0.0,0.0033052869495801625,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session1,1,256000000,-1,10,10,0,0,10,0x4,276.0,0.003625491485507246,5.470960144924111e-07,0.0002985577992293218,0.003625369528065557,3.1158889549358533e-07,0.0002019965352405742,1.2787228260869565,0.004913043478260937,0.0069525773073645485,1.2787228260869565,0.004913043478260937,0.0069525773073645485,nan,nan,nan,352.64546144613604,1.397183479471522,0.0069635070761876324,141.22698280912306,0.012137593647480571,0.00020198844163896702,847.3333925511711,0.1278896311100084,0.0002985160430760927,0.004636759392610849,1.7259293181790415e-05,0.006954458864887486,1.6813290890983816e-05,6.51748813240592e-08,0.0069691467403979615,63.5,0.5,0.008299941365271337,63.0,0.0,0.008145075386345778,63.5,0.5,0.008299941365271337,1935.0,0.0,0.0,1935.0,0.0,0.0,1.0,0.0,0.0,1935.0,0.0,0.0,9501.0,0.0,0.0
3090,RTX 3090,gpu,axpy_3090_20260727_133600,axpy_3090_20260727_133600_session2,2,1000000,-1,10,10,0,0,10,0x4,75121.0,1.3588478707684935e-05,7.93446572862996e-10,0.00014989803400591533,1.3588163618814772e-05,7.503356823892251e-10,0.00014928496267651561,0.004623607246974881,3.158903635468082e-05,0.04977510708659619,0.004623607246974881,3.158903635468082e-05,0.04977510708659619,nan,nan,nan,340.2395059430982,2.3441637661435664,0.0497254382476043,147.1869235792771,0.00812718818943381,0.00014931258018412085,883.1010637011764,0.051562310645579146,0.00014992567378848656,6.283145725585451e-08,4.256526542846592e-10,0.049825145677952445,8.538337730789614e-13,5.73514446683506e-15,0.04987555266585034,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,1935.0,0.0,0.003990709269662459,1935.0,0.0,0.003990709269662459,1.0,0.0,0.003640243615738023,1938.5,3.5,0.003540127883825912,9501.0,0.0,0.0
