platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,runtime_s_median,runtime_s_ci95_low,runtime_s_ci95_high,runtime_s_session_cv_pct,energy_j_median,energy_j_ci95_low,energy_j_ci95_high,energy_j_session_cv_pct,power_w_median,power_w_ci95_low,power_w_ci95_high,power_w_session_cv_pct,throughput_gflops_median,throughput_gflops_ci95_low,throughput_gflops_ci95_high,throughput_gflops_session_cv_pct,efficiency_gflop_per_j_median,efficiency_gflop_per_j_ci95_low,efficiency_gflop_per_j_ci95_high,efficiency_gflop_per_j_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,temperature_c_median,temperature_c_ci95_low,temperature_c_ci95_high,temperature_c_session_cv_pct,clock_mhz_median,clock_mhz_ci95_low,clock_mhz_ci95_high,clock_mhz_session_cv_pct
3090,RTX 3090,GPU,GPU board NVML,64,gpu_resident,-1,5,5.217029646225186e-06,5.215406725472023e-06,5.224620282895767e-06,0.07237670389258764,0.0008412728598968,0.0008382078325822,0.0008424448040085,0.2497821909281841,161.272674,160.70032500000002,161.535514,0.23188316365763503,100.4954994609532,100.34949366873629,100.5267714671954,0.07231417332156044,0.6232080279688508,0.6223410691185296,0.6254868776218278,0.24993586911906343,4.3884049941422e-09,4.37204280930305e-09,4.4007040921198324e-09,0.28376203520273685,57.0,56.5,59.0,1.6755561029330441,1965.0,1965.0,1965.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,gpu_resident,-1,5,9.9198e-06,9.769017892877015e-06,1.0075756380418918e-05,1.1016885909169623,0.0003328180970606,0.0003295783996954,0.000336495,0.7999913726539977,33.558896000000004,33.203019,33.869034,0.7438881235224098,52.852678481420995,52.03460466937191,53.668445052422264,1.1009273973474911,1.575298953483701,1.5580855584778375,1.590783863519432,0.8002184581730523,3.305062765486325e-09,3.2217173522333052e-09,3.386740429400213e-09,1.8281729343378417,48.5,48.0,48.5,0.4619975160123533,2797.0,2797.0,2797.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,64,1T,1,5,6.141290389648509e-06,6.136828927019663e-06,6.175911330353776e-06,0.2997022410075897,0.0004489162576312,0.0004423055151285,0.0004541106732439,1.0397472708201365,73.10533894163612,72.04670089818529,73.46819705177424,0.7777654475108376,85.37098341477501,84.89241052137436,85.43304795276724,0.2993700589336953,1.167897110179334,1.1545379373155764,1.1853526172914262,1.0450364776931444,2.7544620769462603e-09,2.7163263941047747e-09,2.803565231052836e-09,1.29476347098843,72.0,68.0,74.0,3.4020690871988584,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,2T,2,5,6.159581298579428e-06,6.14866065369477e-06,6.164548240789945e-06,0.10245275595743127,0.000451306826107,0.0004493803465328,0.0004528438090883,0.2901998962692916,73.31500632371731,73.02168540834401,73.4691598379428,0.2676967388709458,85.11747383233914,85.04889239585479,85.26865109801628,0.10250133178914798,1.1617107689740482,1.1577678428585276,1.1666909869226614,0.29016379824695876,2.7809819007266395e-09,2.765516845880937e-09,2.7914529306430712e-09,0.39079379044375484,73.5,72.5,74.0,0.8881747146052653,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,4T,4,5,6.150596234245028e-06,6.141934057294482e-06,6.186674740699335e-06,0.32350522183073505,0.0004517064495809,0.000446565236352,0.0004593464443202,1.132972471029937,73.20037635337508,72.7075937837028,74.1440148559995,0.8067175622906305,85.24181722105114,84.74471698842456,85.36203663361188,0.3230878401638275,1.160683006599623,1.1413781612610694,1.1740457100577708,1.128994132313834,2.778044956810056e-09,2.7405870147657234e-09,2.8460165041222395e-09,1.5168725399508032,73.0,71.0,76.0,2.6277847078785985,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,8T,8,5,6.127075280692067e-06,6.116296975252062e-06,6.160477469889148e-06,0.28176956996087427,0.0004459453095281,0.0004423340011605,0.0004522180523704,0.8911242197925672,72.75567523662829,72.24234083688401,73.37484949787037,0.6219567275449548,85.56904819696952,85.10509170150962,85.71984030883219,0.28124385477129715,1.175677799044018,1.1593699040801877,1.1852762813269768,0.8860668668051288,2.7324931305866e-09,2.708341072517572e-09,2.786753236248901e-09,1.152368455815813,70.0,68.5,73.0,2.894166677294979,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,10T,10,5,6.172419863974154e-06,6.1237745999068695e-06,6.186053845487936e-06,0.38786735692611896,0.0004541538549446,0.0004451513001494,0.0004566349630847,0.9755889396692323,73.44997515925976,72.6720377587325,73.88870308817619,0.6027183756472457,84.94043042341478,84.75322282918891,85.61516944271159,0.38952051805625393,1.154428161936345,1.1481556218522653,1.1777748370588617,0.9857183418492281,2.804459982261312e-09,2.7255580813541724e-09,2.825336793693121e-09,1.37269161537627,74.0,71.0,75.0,2.0605639793618344,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,16T,16,5,6.1467178740935855e-06,6.119059274171343e-06,6.153620165038298e-06,0.22521233967033563,0.0004476439363255,0.0004445186658263,0.0004512257580713,0.5359489475469742,72.88295674166744,72.62696106009292,73.34049008196304,0.36686752857079913,85.29560177305407,85.19992881243053,85.68114419368821,0.22561576470439298,1.1712165796405851,1.1619194840316611,1.179451033907473,0.5360458131848749,2.7529329016632667e-09,2.718758464417539e-09,2.775858710043229e-09,0.7480358714217146,71.5,70.5,73.0,1.3432530769323567,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,20T,20,5,6.173973482929481e-06,6.125702909647779e-06,6.187697034134039e-06,0.39926278200926274,0.0004533963301336,0.0004464328177641,0.0004568939322758,0.9024487863405629,73.33371377934698,72.85723843904583,73.81567281010092,0.515688484523027,84.91905600981481,84.7307159849292,85.5882186474084,0.4001638048242016,1.1563569556143312,1.147504842947921,1.1743939494095157,0.9047875368665722,2.799909293554025e-09,2.734714777807354e-09,2.8303501854710733e-09,1.327964724446691,74.0,70.0,75.0,2.73972602739726,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,32T,32,5,6.158818006621535e-06,6.1134247678547455e-06,6.165196590494674e-06,0.35020877542303586,0.0004516739233829,0.0004422378253389,0.000453482937093,1.0231270200317228,73.22482541984287,72.33659353571653,73.65036937890909,0.6801942674657279,85.12802285054077,85.03994841110702,85.760113178587,0.35156284509816516,1.1607665903606803,1.1561361125534022,1.1855340496897173,1.0354919783388086,2.7826103914602046e-09,2.7059114142908304e-09,2.795128213362909e-09,1.3293467402164585,73.0,69.0,76.0,3.4430453766834375,,,,
AMD,AMD CPU,CPU,CPU package RAPL,64,64T,64,5,6.150360338662764e-06,6.112631039093457e-06,6.176278920229012e-06,0.4816992705858707,0.0004512140479586,0.0004413076462025,0.0004555554464798,1.5031838853743296,73.27155422228482,72.08452332754808,73.87309376267646,1.0785955459398837,85.2450866503202,84.88735803087076,85.7712491800839,0.4819666307192304,1.1619496386958783,1.1508763731205829,1.1880328938588645,1.5084909973546172,2.7774314011750022e-09,2.700884521930856e-09,2.8121425560994542e-09,1.9635112651366409,73.0,68.0,74.5,4.172461729888868,,,,
