platform,platform_label,device_kind,energy_domain,problem_size,num_threads,configuration,session_count,runtime_per_op_s_median,runtime_per_op_s_min,runtime_per_op_s_max,runtime_per_op_s_robust_cv_pct,total_energy_per_op_j_median,total_energy_per_op_j_min,total_energy_per_op_j_max,total_energy_per_op_j_robust_cv_pct,edp_total_j_s_median,edp_total_j_s_min,edp_total_j_s_max,edp_total_j_s_robust_cv_pct,throughput_gflops_median,throughput_gflops_min,throughput_gflops_max,throughput_gflops_robust_cv_pct,energy_efficiency_gflop_per_j_median,energy_efficiency_gflop_per_j_min,energy_efficiency_gflop_per_j_max,energy_efficiency_gflop_per_j_robust_cv_pct,avg_power_w_median,avg_power_w_min,avg_power_w_max,avg_power_w_robust_cv_pct,temp_c_median,temp_c_min,temp_c_max,temp_c_robust_cv_pct,sm_clock_mhz_median,sm_clock_mhz_min,sm_clock_mhz_max,sm_clock_mhz_robust_cv_pct,selected_campaign
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,1T,5,0.0580188854166666,0.0580151655555555,0.0581754355,0.0095056394891562,4.513918666666667,4.486186416666667,4.543865027777777,0.7929449035265377,0.2629295657354549,0.2605059641022819,0.2636276862991998,0.3936543024034026,127.52319329275122,127.18000741987368,127.53136490783416,0.009500418087994,1.6390987373552943,1.62829636838044,1.6492299817530287,0.7888482632746467,77.48862506815888,77.270132325003,78.31768735115799,0.4180450236637562,74.0,73.0,75.0,1.001756756756757,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,2T,5,0.0291960060857142,0.0291425563285714,0.02946561675,0.2714227751129905,2.8118081,2.804518485714285,2.828553838235294,0.3511140955885328,0.0820693290249946,0.0818134033654036,0.0833267997537521,0.423355694938083,253.41659305113416,251.0978247254022,253.88137601744373,0.2719187475271138,2.631317461777913,2.615738021853006,2.638154213080337,0.3517993387004331,96.10978708190312,96.01935069020467,96.68773945851576,0.1395081587454306,75.0,73.5,76.0,0.9884,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,4T,5,0.0143660886785714,0.0142842697183098,0.0146634432647058,0.7487323358266945,1.9024574859154928,1.8894892605633804,1.9706547279411764,0.4238794563353523,0.0272527302068629,0.0270129126453496,0.0289051390724505,1.2081737497607097,515.015728537481,504.5747133164559,517.9650760043819,0.7451569567149012,3.8890502252790258,3.754626698312349,3.915741915877633,0.4250870466298428,132.16346908958172,131.88421769179718,134.10362959015822,0.3132621481619451,74.0,72.0,75.5,2.0035135135135134,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,8,8T,5,0.0071988618273381,0.0071788566985815,0.0074625046691176,0.2184915049387348,1.436976713768116,1.4338982517730496,1.452618088235294,0.0749456793473687,0.0103512420215695,0.0102922759227444,0.0108403781651382,0.1437831594632764,1027.766991211303,991.4569734254014,1030.631016038571,0.2181685561774707,5.1488324289637175,5.093391247736157,5.159886518147293,0.0749087342792376,199.58041933818768,194.6593214286245,199.6911385425788,0.0822486960267059,78.0,77.0,80.0,1.9007692307692303,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,10,10T,5,0.0058883297836257,0.0058700075906432,0.0058939934415204,0.1426030725739322,1.3504036666666668,1.3501271470588234,1.351070736842105,0.0236920375556674,0.0079477233642794,0.007929114796313,0.0079591157626208,0.1508489252372053,1256.5115183729167,1255.3037865378217,1260.4335303457503,0.1425043218888209,5.478918969464542,5.476213863433473,5.480041127517589,0.0237018024123771,229.28844278433377,229.12275639337287,230.01987479667312,0.1071343327451017,81.0,78.0,83.0,1.8303703703703704,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,16,16T,5,0.0037927238890977,0.0037770876254681,0.0038580443110687,0.4587549429879916,1.0872644022556393,1.083281168539326,1.1069941354961832,0.4195478111088104,0.0041234007463935,0.0040910437414611,0.0042708324140829,0.8576207281781953,1950.775372052148,1917.746870912542,1958.8511407763715,0.4604503127750696,6.804924832382298,6.683641784562575,6.829946772206899,0.4208061984128549,286.791495932691,286.69366332944367,286.9021553319085,0.0505756340866431,85.0,83.5,87.0,1.7442352941176469,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,20,20T,5,0.0031414105815047,0.0031185019617737,0.0031749605747663,1.0544353068362704,0.9009298228840126,0.8949713119266055,0.9105097881619938,0.980552327280328,0.0028301906321943,0.0027909710996863,0.0028908332995081,2.054521636629536,2355.23265246464,2330.345751419155,2372.535218113012,1.046987856422766,8.212351702758117,8.125945535023003,8.267031149217619,0.9871441245463424,286.9578861795057,286.8582663627435,286.9849694569715,0.0139928780858114,81.0,77.5,84.0,1.8303703703703704,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,32,32T,5,0.0021982584226579,0.0021745035450733,0.0022574656166666,0.3966863112912115,0.5786336383442265,0.570695501048218,0.6025998933333333,0.491691503939778,0.0012720885942809,0.0012417572818275,0.0013607995767663,0.8989105176587464,3365.733611726508,3277.459595482553,3403.0918734311485,0.3977516249513569,12.786592043884731,12.278051385612606,12.96679459464804,0.4933605698225654,263.16936510167466,261.3509721353185,266.96275147402923,0.3824139364054096,67.0,62.0,68.0,2.2128358208955223,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,64,64T,5,0.0022112709112554,0.0022079526612554,0.0022258045065502,0.2224800871281186,0.5902663311688312,0.5890114761904761,0.5940676484716158,0.315187889376181,0.0013048297345362,0.0013004936858841,0.0013222785952608,0.4926792792487554,3345.928148168002,3324.080135288764,3350.9561422257752,0.2227933075650901,12.534600576376342,12.45439738272528,12.561305019544712,0.315861739671595,266.8463417738949,266.68041887907714,267.0059794801922,0.0460510870004215,70.0,68.5,72.0,2.118,-1.0,-1.0,-1.0,0.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,1T,5,0.0337962657833333,0.0331027169354838,0.0347679991896551,2.906328305687952,2.5258530500000003,2.467677564516129,2.613124551724137,2.231226950858773,0.0853674391548843,0.0816601832589367,0.0908467993881256,5.441295732680368,109.46110151336194,106.40175537701164,111.7544561592836,2.8504627618348573,1.4646054486008,1.4156907353937505,1.499132762144581,2.198074187249594,74.65409722663824,74.2778435261633,75.1673605926797,0.3193903266275548,70.5,68.0,71.5,1.0514893617021277,-1.0,-1.0,-1.0,0.0,20260729_005653
