metric,policy,lower_is_better,problem_size,platform_a,platform_a_label,platform_b,platform_b_label,a_median,b_median,a_over_b_ratio,ratio_ci95_low,ratio_ci95_high,probability_a_better,cliffs_delta_a_minus_b,classification,analysis_type
runtime_s,runtime_opt,True,1000000,INTEL,Intel CPU,AMD,AMD CPU,1.1766524408740494e-05,2.814334881876381e-05,0.4180925477104376,0.4053961999538864,0.6151462311130812,1.0,-1.0,clear_INTEL,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,1000000,INTEL,Intel CPU,3090,RTX 3090,1.1766524408740494e-05,5.658497548303753e-06,2.079443228223673,2.0359586997504753,3.059517974334555,0.0,1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,1000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,1.1766524408740494e-05,6.147174095315372e-06,1.9141355403790348,1.8740962436026065,2.8162981377014606,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,1000000,AMD,AMD CPU,3090,RTX 3090,2.814334881876381e-05,5.658497548303753e-06,4.973643370615286,4.890469785519049,5.084367371921831,0.0,1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,1000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.814334881876381e-05,6.147174095315372e-06,4.578257973889375,4.496735721055048,4.676400864236798,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,1000000,3090,RTX 3090,5060ti,RTX 5060 Ti,5.658497548303753e-06,6.147174095315372e-06,0.920503870651064,0.9041130185614334,0.9273783675285524,1.0,-1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,2000000,INTEL,Intel CPU,AMD,AMD CPU,2.5915628231644263e-05,3.795804026645826e-05,0.6827441050623652,0.6729020965192992,0.7014987581634063,1.0,-1.0,clear_INTEL,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,2000000,INTEL,Intel CPU,3090,RTX 3090,2.5915628231644263e-05,1.382743051332375e-05,1.8742186559297942,1.8472011014954728,1.92570254347541,0.0,1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,2000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,2.5915628231644263e-05,8.196056425240346e-06,3.161963130443468,3.116382263597549,3.2488207410622114,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,2000000,AMD,AMD CPU,3090,RTX 3090,3.795804026645826e-05,1.382743051332375e-05,2.745126090482457,2.7178200493198306,2.772953238575351,0.0,1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,2000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,3.795804026645826e-05,8.196056425240346e-06,4.631256582075709,4.585189014067342,4.678203300921313,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,2000000,3090,RTX 3090,5060ti,RTX 5060 Ti,1.382743051332375e-05,8.196056425240346e-06,1.6870833722839171,1.6781490843689144,1.6920242067293518,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,4000000,INTEL,Intel CPU,AMD,AMD CPU,0.000109699770316,1.6054006703229737e-05,6.8331708304276875,0.929065349028183,10.16397658003044,0.4,0.2,uncertain_AMD_advantage,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,4000000,INTEL,Intel CPU,3090,RTX 3090,0.000109699770316,2.284362476016446e-05,4.802205055797381,4.641656369106662,4.892463344232214,0.0,1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,4000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.000109699770316,1.228461746965751e-05,8.929848290917795,8.631303060383868,9.097686359754094,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,4000000,AMD,AMD CPU,3090,RTX 3090,1.6054006703229737e-05,2.284362476016446e-05,0.7027784281952177,0.47247305402419565,5.120075475686371,0.6,-0.2,uncertain_AMD_advantage,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,1.6054006703229737e-05,1.228461746965751e-05,1.3068381447678334,0.8785782041708572,9.520938132521339,0.4,0.2,uncertain_5060ti_advantage,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,4000000,3090,RTX 3090,5060ti,RTX 5060 Ti,2.284362476016446e-05,1.228461746965751e-05,1.859530817022773,1.8569020225446393,1.8613327060490086,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,8000000,INTEL,Intel CPU,AMD,AMD CPU,0.0004301337907375,6.938635129632144e-05,6.1991124003706455,6.090526637305823,10.576851637290474,0.0,1.0,clear_AMD,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,8000000,INTEL,Intel CPU,3090,RTX 3090,0.0004301337907375,4.117687697628459e-05,10.446003250446392,10.400575406140051,10.494260002510043,0.0,1.0,clear_3090,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,8000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.0004301337907375,2.0508436181337272e-05,20.97350509488982,20.88229498312117,21.07039509300719,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,8000000,AMD,AMD CPU,3090,RTX 3090,6.938635129632144e-05,4.117687697628459e-05,1.6850804721369184,0.9876287962305575,1.7151231531379096,0.2,0.6,uncertain_3090_advantage,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,6.938635129632144e-05,2.0508436181337272e-05,3.383307760903934,1.982962966119728,3.4436275126722973,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,8000000,3090,RTX 3090,5060ti,RTX 5060 Ti,4.117687697628459e-05,2.0508436181337272e-05,2.0078018924600234,2.0065412738808233,2.012671713160358,0.0,1.0,clear_5060ti,descriptive_native_best_post_selection_independent_sessions
runtime_s,runtime_opt,True,16000000,INTEL,Intel CPU,AMD,AMD CPU,0.0012906685971685,9.750555344598444e-05,13.236872686267013,13.150128520001413,13.276323116513337,0.0,1.0,clear_AMD,descriptive_native_best_post_selection_independent_sessions
