platform,platform_label,device_kind,energy_domain,session_number,problem_size,num_threads,configuration,runtime_per_op_s,total_energy_per_op_j,edp_total_j_s,throughput_gflops,energy_efficiency_gflop_per_j,avg_power_w,temp_c,sm_clock_mhz,selected_campaign
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,10,10T,0.0030963210139751,0.6970049145962733,0.0021617186553368,1194.7651741431423,5.30753297410351,225.0803692416944,80.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,16,16T,0.0019796545701581,0.5679677262845849,0.0011245750034373,1868.6978142828943,6.5133562476119184,286.83448900393535,87.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,20,20T,0.0016623558677685,0.4771575702479338,0.0007931820186265,2225.3815847221917,7.752944442450014,286.9763724169022,81.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,32,32T,0.0011533112657502,0.3083508442153493,0.0003556245036189,3207.612929836672,11.99729861619812,267.4524123092307,68.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,64,64T,0.0011760749632867,0.2980621666666666,0.0003506113748417,3145.5276002498576,12.411427648945988,253.30326772326163,65.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,1,1T,0.0304724229696969,2.316502606060606,0.0705864900682943,121.40080096528428,1.5969663070847278,76.06053207516692,77.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,2,2T,0.0151687289477611,1.4200666194029852,0.0215413687595307,243.88184512233568,2.60507227126668,93.58179649738535,74.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,4,4T,0.0075554308458646,0.9625348120300752,0.0072712084172379,489.6313949281839,3.843368657372277,127.37112734045256,75.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,8,8T,0.003864740007722,0.7299727065637065,0.0028206703390013,957.2122796281652,5.067828070409991,188.8515654322137,80.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,10,10T,0.0031516964638364,0.683762606918239,0.0021550900523326,1173.7729787889411,5.410322371900859,217.00384362466352,82.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,16,16T,0.002091580921875,0.5996521614583332,0.0012539730135963,1768.6985429068088,6.169205976512764,286.773451592755,87.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,20,20T,0.0016804768855721,0.4821059502487562,0.0008102145847592,2201.38471826986,7.673367522989299,286.8913704954379,82.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,32,32T,0.0011664167407834,0.3191648220046083,0.0003722792104981,3171.573507253889,11.590801962390472,273.64112986615106,71.0,-1.0,20260729_005653
