platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,power_w,throughput_gflops,efficiency_gflop_per_j,edp_j_s,temperature_c,clock_mhz,reported_throughput_gflops,throughput_normalization_delta_pct
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,1T,1,2.241896073182717e-06,0.0001225208345019,54.75400200541223,233.8591901165572,4.279174249273249,2.74187226915626e-10,93.0,,233.855,-0.001791726275590655
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,2T,2,2.4906083001705517e-06,0.00016456040048,66.32045223032702,210.506003679542,3.18599127415055,4.075417808010029e-10,97.5,,210.51,0.0018984353833850776
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,4T,4,2.495490320994838e-06,0.0001558076589298,62.40684130810476,210.09418293034705,3.3649693705764547,3.882462311139646e-10,99.0,,210.095,0.000388906366444175
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,8T,8,2.2413765182186234e-06,0.0001170486173811,52.48169272264326,233.91339908240312,4.479232747303323,2.613704804940644e-10,92.5,,233.915,0.0006844061106292543
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,10T,10,2.2202337226464302e-06,0.0001206739115295,53.78728403995153,236.1409047400062,4.344667321667387,2.6776174539781993e-10,98.0,,236.145,0.001734244220985559
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,16T,16,2.2546644398164424e-06,0.0001021337789287,45.225854076273066,232.53482458023046,5.133345750048155,2.3028878866323503e-10,69.5,,232.53500000000005,7.5438063906752e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,20T,20,2.305018734654989e-06,0.0001247672184763,54.05593028196384,227.4549842556809,4.202129424722171,2.864891299663444e-10,87.5,,227.455,6.921949480265255e-06
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,1T,1,2.6730913153502395e-05,0.001837682415334,68.70685563948813,156.90836956875322,2.2823878407943967,4.902782674502327e-08,98.0,,156.91,0.001039097692023816
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,2T,2,2.120540996561372e-05,0.0016842536575468,79.46591611444231,197.7940538193509,2.490304225379694,3.5823336066708024e-08,99.0,,197.795,0.0004783665791929792
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,4T,4,1.3287112132022688e-05,0.0011992148641018,89.91980941423816,315.6670884030166,3.497541704623126,1.5854922249645822e-08,88.5,,315.67499999999995,0.002506310373817655
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,8T,8,1.2722437863895323e-05,0.0013812434921429,108.29257437946504,329.67769580568415,3.03661448821948,1.747451123457054e-08,79.0,,329.69,0.0037321888839869644
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,10T,10,1.2571068788372388e-05,0.0013394949379776,106.68877628420717,333.6473668714248,3.1312578204533237,1.6871124894112318e-08,76.0,,333.65,0.0007891950713823093
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,16T,16,1.3101816601019616e-05,0.0014493527090935,110.76464377988776,320.1314846426402,2.8939153138391926,1.9113586823657672e-08,84.0,,320.135,0.0010980979779917632
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,20T,20,1.299612199374391e-05,0.0015768671286087,121.24285043131238,322.735043732204,2.6598969081819304,2.0540724076120875e-08,97.0,,322.735,-1.3550497490744107e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,1T,1,0.0001920242255758,0.0118498009332803,61.96859297955342,174.74061879111528,2.8316452055968298,2.291367295880167e-06,99.0,,174.745,0.002507264146722754
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,2T,2,0.000111381581883,0.0076476126171352,68.76937489266206,301.2565581556116,4.3875695174227465,8.513577641965115e-07,82.0,,301.255,-0.00051721881877409
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,4T,4,6.51202900427295e-05,0.0070600060857179,108.44321642336664,515.2684666788621,4.752748311064381,4.588892919734764e-07,99.0,,515.27,0.00029757713446709744
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,8T,8,3.926824633522066e-05,0.0052699708174978,134.70890836880687,854.4927551272949,6.367100153304408,2.0667569777584735e-07,88.0,,854.49,-0.00032242839723695127
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,10T,10,6.475519097667265e-05,0.0092101322417328,142.1983223197493,518.173624290408,3.6432084924859938,5.964039883610811e-07,99.5,,518.175,0.0002654920141509365
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,16T,16,5.131122291021672e-05,0.0075355092879256,146.89102336421587,653.9394326795295,4.452841967000876,3.866561943164373e-07,92.0,,653.94,8.67542836680002e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,256,20T,20,5.97424965690077e-05,0.0090146717286234,151.01580269245386,561.6509842577764,3.7222023175239887,5.386624567408444e-07,99.0,,561.6500000000001,-0.00017524366623389298
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,1T,1,0.0013524432114882,0.0627523857702349,46.36033224724535,198.4818687541189,4.2776932335746505,8.492670979944134e-05,70.0,,198.48,-0.0009415238432786133
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,2T,2,0.0007534721595184,0.0587014793077501,77.83058526350976,356.26459798007266,4.572890822609298,4.427390182828844e-05,93.0,,356.26,-0.0012906081880537101
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,4T,4,0.0004351839054837,0.0412339453856442,95.25013841188245,616.8322233829816,6.510059939436625,1.787708629755743e-05,77.0,,616.835,0.000450141369601198
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,8T,8,0.0002724130731441,0.0378899667030567,139.5660920382989,985.3985820203427,7.08460522290046,1.0297282604371013e-05,100.0,,985.4,0.00014389909659406896
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,10T,10,0.0002991651590312,0.0461279181499854,154.33496734934573,897.2818120575492,5.819370714437607,1.379645076117929e-05,100.0,,897.28,-0.00020194965784092744
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,16T,16,0.0002532285750188,0.0389238862779592,153.89842185411533,1060.0519944483792,6.896419696714678,9.863923528014535e-06,88.0,,1060.0549999999998,0.0002835286982527663
INTEL,Intel CPU,CPU,CPU package RAPL,1,512,20T,20,0.0002930385517443,0.0489238380240398,166.9358793370843,916.0414368763049,5.486802892857637,1.4322200067625769e-05,93.0,,916.045,0.0003889697072212428
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,1T,1,0.0107352421052631,0.5928657157894737,55.19872041249312,200.0405418846741,3.6222091964625767,0.0063659137412845,88.0,,200.04,-0.00027088742562408896
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,2T,2,0.0054582368421052,0.3765525421052632,68.97728133091437,393.4390738478347,5.703011951515873,0.0020521816963062,78.0,,393.44,0.00023539913212022867
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,4T,4,0.0030788036253776,0.3157028927492447,102.87210427011826,697.5058851753241,6.802229872837102,0.0009709632522664,86.0,,697.505,-0.0001269057857355982
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,8T,8,0.0016596094771241,0.2611179526143791,157.63531797469352,1293.9692606005879,8.22418997429648,0.0004333957998962,95.0,,1293.97,5.714196114059433e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,10T,10,0.0018527409090909,0.3012675954545455,162.5486274475278,1159.0847038908012,7.128160082268147,0.0005581252809447,99.0,,1159.085,2.5546812754129178e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,16T,16,0.0020663531827515,0.325703001026694,157.36612397241353,1039.2626323155798,6.593379984926809,0.000672959935742,89.0,,1039.265,0.00022782349202721264
INTEL,Intel CPU,CPU,CPU package RAPL,1,1024,20T,20,0.0020888873966942,0.3298871756198347,157.95263633791888,1028.051416940201,6.509751838533977,0.0006886441533657,100.0,,1028.05,-0.00013782775625248433
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,1T,1,0.0897015,5.7682791818181816,64.90370214427105,191.52265217415538,2.9783352439236213,0.5135416757444008,98.5,,191.52,-0.0013847835361846528
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,2T,2,0.0473552954545454,3.973443681818182,83.97558620077075,362.78665393377855,4.323672501667062,0.187972861632843,99.0,,362.785,-0.0004558970845836008
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,4T,4,0.0234061785714285,2.718036035714285,116.3864001498646,733.9886402888148,6.320692205055782,0.0634758870080512,95.5,,733.985,-0.0004959598303044821
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,8T,8,0.0147688088235294,2.109212522058824,142.82098607490644,1163.2535426032018,8.145157969776585,0.0311385841607104,100.0,,1163.255,0.00012528625488172906
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,10T,10,0.0143136849315068,2.3791204726027395,166.3125842695094,1200.2408370876076,7.221100983257631,0.0340324229396128,100.0,,1200.24,-6.974330332143452e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,16T,16,0.0154341615384615,2.4789388615384613,160.85257272628016,1113.106736714414,6.930331945878629,0.0382728250769937,90.0,,1113.105,-0.00015602406818748804
INTEL,Intel CPU,CPU,CPU package RAPL,1,2048,20T,20,0.0272737027027027,4.159338121621621,152.57333559895906,629.9060076759417,4.130433420330348,0.1133592198752333,100.0,,629.905,-0.00015997242913678988
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,1T,1,0.64196175,36.60114825,56.900678568205024,214.09212226740925,3.755044856331795,23.432323341586123,89.0,,214.1,0.0036795994674321264
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,2T,2,0.336608875,26.97662325,79.73287667288955,408.30460418490156,5.094742666578925,8.984761499830938,90.5,,408.305,9.69411303231027e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,4T,4,0.1856660833333333,19.20400675,103.3823753352867,740.2480356374551,7.156785313668982,3.5672838728624585,87.0,,740.25,0.0002653654518791626
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,8T,8,0.11623335,16.6505586,143.42915479196503,1182.4399234126865,8.254314871574339,1.9326165246983695,100.0,,1182.44,6.477057490350546e-06
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,10T,10,0.10383305,16.93547605,163.06096176691003,1323.6532440489807,8.115446714708678,1.75826401362441,100.0,,1323.65,-0.0002450829924782738
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,16T,16,0.1343326875,21.893304125,162.96154717174193,1023.1236792013113,6.277670683570244,2.938753688222922,89.0,,1023.125,0.00012909472388855647
INTEL,Intel CPU,CPU,CPU package RAPL,1,4096,20T,20,0.1707977499999999,26.23244125,153.86605013397286,804.6883139385624,5.239274231558605,4.479734770905,89.0,,804.69,0.00020952975312571454
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,1T,1,5.0443365,288.6193785,57.2245330683247,217.9695243915627,3.809555801451496,1457.3979341419015,91.0,,217.97,0.00021819951143697836
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,2T,2,2.5305465,215.619504,85.22504912997955,434.4957216854146,5.099314335571424,545.5302304294714,97.0,,434.495,-0.00016609724298177753
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,4T,4,1.424277,149.7714065,105.15150096812292,771.9787848683928,7.341265288685126,213.3387562684075,87.5,,771.975,-0.0004902813998231004
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,8T,8,0.867264,126.9468185,146.37676316128625,1267.7934605564164,8.661198766284954,109.9152517632865,99.0,,1267.8049999999998,0.0009101990144699812
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,10T,10,0.7425962500000001,127.77964125,172.08695621615698,1480.631807359652,8.604748119654,94.96834015956924,96.0,,1480.63,-0.0001220667854684443
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,16T,16,0.9509555,165.56921725,174.12751316453242,1156.2177491754346,6.640797402066597,157.43156099263524,99.0,,1156.22,0.0001946713382494636
INTEL,Intel CPU,CPU,CPU package RAPL,1,8192,20T,20,1.135975,190.343049,167.53506405506178,967.9012546719779,5.776473759102178,216.38956720886,100.0,,967.9,-0.00012962809706751344
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,1T,1,40.142061,2069.416913,51.55411809428577,219.12410083298914,4.250517605684611,83071.13934115469,72.5,,219.13,0.0026921580001504353
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,2T,2,21.9445555,1701.967048,77.50827894121598,400.8325902161928,5.16819231755655,37248.41596523636,87.0,,400.83,-0.0006462089800152171
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,4T,4,11.9643915,1349.5304195,112.5839388413194,735.1893343015397,6.5178916274202585,16295.592069073116,99.0,,735.19,9.054789416040876e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,8T,8,6.9254385,1022.945593,147.9056660261562,1270.1135129866507,8.598788716036827,7095.315150857066,80.5,,1270.11,-0.00027658840054956
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,10T,10,6.982886499999999,1034.2696905,148.06244682460152,1259.6643268092644,8.504641587201187,7224.755045937381,99.5,,1259.665,5.344207352209196e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,16T,16,7.808968999999999,1355.519144,173.76325479800664,1126.4090076690022,6.48909538544149,10553.674168635303,99.0,,1126.42,0.0009758738542586798
INTEL,Intel CPU,CPU,CPU package RAPL,1,16384,20T,20,8.894534,1438.712839,161.41364455591344,988.932418742567,6.113862880602263,12823.878746389031,99.0,,988.93,-0.0002445811787765706
INTEL,Intel CPU,CPU,CPU package RAPL,2,64,1T,1,2.291172551401459e-06,0.0001380354596744,60.24669483449807,228.82955702280245,3.7982124393014516,3.162630993779834e-10,98.0,,228.83,0.0001935839073041734
INTEL,Intel CPU,CPU,CPU package RAPL,2,64,2T,2,2.4645611655538983e-06,0.0001672945578622,68.12770648865398,212.7307722477112,3.1339214299598104,4.1081442755775946e-10,98.0,,212.73,-0.00036301645646164005
