problem_size,working_set_gib,runtime_s_exact_winner,runtime_s_leader_platforms,runtime_s_selection_status,energy_j_exact_winner,energy_j_leader_platforms,energy_j_selection_status,edp_j_s_exact_winner,edp_j_s_leader_platforms,edp_j_s_selection_status,logical_bandwidth_gb_s_exact_winner,logical_bandwidth_gb_s_leader_platforms,logical_bandwidth_gb_s_selection_status,logical_gb_per_j_exact_winner,logical_gb_per_j_leader_platforms,logical_gb_per_j_selection_status,fastest_equals_greenest_point,runtime_energy_leader_overlap,clear_device_tradeoff
1000000,0.0037252940237522125,3090,3090,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,3090,3090,clear_leader,5060ti,5060ti,clear_leader,False,,True
2000000,0.007450584322214127,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,True,5060ti,False
4000000,0.014901164919137955,5060ti,"5060ti,AMD",tie_or_uncertain,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,"5060ti,AMD",tie_or_uncertain,5060ti,5060ti,clear_leader,True,5060ti,False
8000000,0.02980232611298561,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,5060ti,5060ti,clear_leader,True,5060ti,False
16000000,0.05960464850068092,3090,3090,clear_leader,5060ti,5060ti,clear_leader,3090,"3090,5060ti",tie_or_uncertain,3090,3090,clear_leader,5060ti,5060ti,clear_leader,False,,True
32000000,0.11920929327607155,3090,3090,clear_leader,5060ti,5060ti,clear_leader,3090,3090,clear_leader,3090,3090,clear_leader,5060ti,5060ti,clear_leader,False,,True
64000000,0.2384185828268528,3090,3090,clear_leader,5060ti,5060ti,clear_leader,3090,3090,clear_leader,3090,3090,clear_leader,5060ti,5060ti,clear_leader,False,,True
128000000,0.4768371619284153,3090,3090,clear_leader,5060ti,5060ti,clear_leader,3090,3090,clear_leader,3090,3090,clear_leader,5060ti,5060ti,clear_leader,False,,True
256000000,0.9536743201315403,3090,3090,clear_leader,5060ti,5060ti,clear_leader,3090,3090,clear_leader,3090,3090,clear_leader,5060ti,5060ti,clear_leader,False,,True
