canonical_name,canonical_path,size_bytes,sha256,status,selected_source_path,match_count,all_source_matches
axpy_config_summary.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/axpy_config_summary.csv,288943,fb27a9cf5e604fe5511d6e89e9b137f219301d2f90c3230b61a6a3f2fbd8cb7c,exact_unique,new/analyse/AXPY/all_platforms/axpy_config_summary.csv,1,new/analyse/AXPY/all_platforms/axpy_config_summary.csv
axpy_cross.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/axpy_cross.csv,5444,fe7f8e22645d332f9697638fc998f503fdd2ca95ed84f2a8f0d890edcf2170c5,exact_unique,new/analyse/AXPY/all_platforms/axpy_cross_platform_by_size.csv,1,new/analyse/AXPY/all_platforms/axpy_cross_platform_by_size.csv
axpy_envelopes.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/axpy_envelopes.csv,14747,3e7a9df1187159df4a5317f3a9dab5ef09ef72375af30235672989a7e0024efc,exact_unique,new/analyse/AXPY/all_platforms/axpy_platform_envelopes.csv,1,new/analyse/AXPY/all_platforms/axpy_platform_envelopes.csv
axpy_sessions.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/axpy_sessions.csv,774943,9a1b011670f3aa39e10f4c49fa72225105c452cc12828a7072de6a884ab73e6e,exact_unique,new/analyse/AXPY/all_platforms/axpy_session_summary.csv,1,new/analyse/AXPY/all_platforms/axpy_session_summary.csv
conv_config_summary.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/conv_config_summary.csv,65296,29b16902b47aeb4dd5b87af2ceb80969eb9546eb5dab7ad318094f09688bdc75,exact_unique,new/ALL AUDIT/CONV2D/results/all_platform_configuration_summary.csv,1,new/ALL AUDIT/CONV2D/results/all_platform_configuration_summary.csv
conv_envelopes.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/conv_envelopes.csv,15242,0d9722b345064f93deb9691f02f819bd671961c8cf7fd36f2830abf0fe25c40b,exact_unique,new/ALL AUDIT/CONV2D/results/platform_envelopes_by_shape.csv,1,new/ALL AUDIT/CONV2D/results/platform_envelopes_by_shape.csv
conv_leaders.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/conv_leaders.csv,3314,549c929ef73fb5beede21583c646e7d472eb29c28c17f5d94bad47b07cb6e80d,exact_unique,new/ALL AUDIT/CONV2D/results/cross_platform_leaders_by_shape.csv,1,new/ALL AUDIT/CONV2D/results/cross_platform_leaders_by_shape.csv
conv_sessions.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/conv_sessions.csv,121140,7956116c18dde80ea1d3e9221f6f0961b65678fbdd104550fe691af59cf6a406,exact_unique,new/ALL AUDIT/CONV2D/results/all_platform_session_medians.csv,1,new/ALL AUDIT/CONV2D/results/all_platform_session_medians.csv
gemm_all_sessions.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/gemm_all_sessions.csv,159187,1375ccfb783cb43c51ffa32dd143ea270dfa37616dcc48e4b3ff095e5c86412a,exact_unique,new/ALL AUDIT/GEMM/results/unified_session_medians.csv,1,new/ALL AUDIT/GEMM/results/unified_session_medians.csv
gemm_config_summary.csv,data/snapshots/t1-analysis-20260730/extracted/deep_research_energy/inputs/gemm_config_summary.csv,86585,1863eb03c326fc7daacf75000a8e783e36b5dc4c3396ddb4419f352012e915ce,exact_unique,new/ALL AUDIT/GEMM/results/unified_configuration_summary.csv,1,new/ALL AUDIT/GEMM/results/unified_configuration_summary.csv
