platform,platform_label,device_kind,energy_domain,problem_size,energy_opt_configuration,energy_opt_selection_status,energy_opt_leader_configurations,energy_opt_runtime_s,energy_opt_energy_j,energy_opt_edp_j_s,energy_opt_throughput_gflops,energy_opt_efficiency_gflop_per_j,energy_opt_power_w,runtime_opt_configuration,runtime_opt_selection_status,runtime_opt_leader_configurations,runtime_opt_runtime_s,runtime_opt_energy_j,runtime_opt_edp_j_s,runtime_opt_throughput_gflops,runtime_opt_efficiency_gflop_per_j,runtime_opt_power_w,edp_opt_configuration,edp_opt_selection_status,edp_opt_leader_configurations,edp_opt_runtime_s,edp_opt_energy_j,edp_opt_edp_j_s,edp_opt_throughput_gflops,edp_opt_efficiency_gflop_per_j,edp_opt_power_w,throughput_opt_configuration,throughput_opt_selection_status,throughput_opt_leader_configurations,throughput_opt_runtime_s,throughput_opt_energy_j,throughput_opt_edp_j_s,throughput_opt_throughput_gflops,throughput_opt_efficiency_gflop_per_j,throughput_opt_power_w,efficiency_opt_configuration,efficiency_opt_selection_status,efficiency_opt_leader_configurations,efficiency_opt_runtime_s,efficiency_opt_energy_j,efficiency_opt_edp_j_s,efficiency_opt_throughput_gflops,efficiency_opt_efficiency_gflop_per_j,efficiency_opt_power_w
3090,RTX 3090,GPU,GPU board NVML,64,gpu_resident,single_configuration,gpu_resident,5.217029646225186e-06,0.0008412728598968,4.3884049941422e-09,100.4954994609532,0.6232080279688508,161.272674,gpu_resident,single_configuration,gpu_resident,5.217029646225186e-06,0.0008412728598968,4.3884049941422e-09,100.4954994609532,0.6232080279688508,161.272674,gpu_resident,single_configuration,gpu_resident,5.217029646225186e-06,0.0008412728598968,4.3884049941422e-09,100.4954994609532,0.6232080279688508,161.272674,gpu_resident,single_configuration,gpu_resident,5.217029646225186e-06,0.0008412728598968,4.3884049941422e-09,100.4954994609532,0.6232080279688508,161.272674,gpu_resident,single_configuration,gpu_resident,5.217029646225186e-06,0.0008412728598968,4.3884049941422e-09,100.4954994609532,0.6232080279688508,161.272674
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,gpu_resident,single_configuration,gpu_resident,9.9198e-06,0.0003328180970606,3.305062765486325e-09,52.852678481420995,1.575298953483701,33.558896000000004,gpu_resident,single_configuration,gpu_resident,9.9198e-06,0.0003328180970606,3.305062765486325e-09,52.852678481420995,1.575298953483701,33.558896000000004,gpu_resident,single_configuration,gpu_resident,9.9198e-06,0.0003328180970606,3.305062765486325e-09,52.852678481420995,1.575298953483701,33.558896000000004,gpu_resident,single_configuration,gpu_resident,9.9198e-06,0.0003328180970606,3.305062765486325e-09,52.852678481420995,1.575298953483701,33.558896000000004,gpu_resident,single_configuration,gpu_resident,9.9198e-06,0.0003328180970606,3.305062765486325e-09,52.852678481420995,1.575298953483701,33.558896000000004
AMD,AMD CPU,CPU,CPU package RAPL,64,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.127075280692067e-06,0.0004459453095281,2.7324931305866e-09,85.56904819696952,1.175677799044018,72.75567523662829,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.127075280692067e-06,0.0004459453095281,2.7324931305866e-09,85.56904819696952,1.175677799044018,72.75567523662829,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.127075280692067e-06,0.0004459453095281,2.7324931305866e-09,85.56904819696952,1.175677799044018,72.75567523662829,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.127075280692067e-06,0.0004459453095281,2.7324931305866e-09,85.56904819696952,1.175677799044018,72.75567523662829,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.127075280692067e-06,0.0004459453095281,2.7324931305866e-09,85.56904819696952,1.175677799044018,72.75567523662829
INTEL,Intel CPU,CPU,CPU package RAPL,64,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.2546644398164424e-06,0.0001226988152536,2.7486604971657544e-10,232.53482458023046,4.272967093580941,54.97036828195608,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.2546644398164424e-06,0.0001226988152536,2.7486604971657544e-10,232.53482458023046,4.272967093580941,54.97036828195608,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.2546644398164424e-06,0.0001226988152536,2.7486604971657544e-10,232.53482458023046,4.272967093580941,54.97036828195608,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.2546644398164424e-06,0.0001226988152536,2.7486604971657544e-10,232.53482458023046,4.272967093580941,54.97036828195608,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.2546644398164424e-06,0.0001226988152536,2.7486604971657544e-10,232.53482458023046,4.272967093580941,54.97036828195608
3090,RTX 3090,GPU,GPU board NVML,128,gpu_resident,single_configuration,gpu_resident,5.161102740856931e-06,0.0009229959547593,4.763598433803592e-09,812.6759358608685,4.5442279333648825,178.839948,gpu_resident,single_configuration,gpu_resident,5.161102740856931e-06,0.0009229959547593,4.763598433803592e-09,812.6759358608685,4.5442279333648825,178.839948,gpu_resident,single_configuration,gpu_resident,5.161102740856931e-06,0.0009229959547593,4.763598433803592e-09,812.6759358608685,4.5442279333648825,178.839948,gpu_resident,single_configuration,gpu_resident,5.161102740856931e-06,0.0009229959547593,4.763598433803592e-09,812.6759358608685,4.5442279333648825,178.839948,gpu_resident,single_configuration,gpu_resident,5.161102740856931e-06,0.0009229959547593,4.763598433803592e-09,812.6759358608685,4.5442279333648825,178.839948
5060ti,RTX 5060 Ti,GPU,GPU board NVML,128,gpu_resident,single_configuration,gpu_resident,9.920571233570831e-06,0.0004186242111759,4.203116042249507e-09,422.78855735712443,10.019258055377053,41.7281745,gpu_resident,single_configuration,gpu_resident,9.920571233570831e-06,0.0004186242111759,4.203116042249507e-09,422.78855735712443,10.019258055377053,41.7281745,gpu_resident,single_configuration,gpu_resident,9.920571233570831e-06,0.0004186242111759,4.203116042249507e-09,422.78855735712443,10.019258055377053,41.7281745,gpu_resident,single_configuration,gpu_resident,9.920571233570831e-06,0.0004186242111759,4.203116042249507e-09,422.78855735712443,10.019258055377053,41.7281745,gpu_resident,single_configuration,gpu_resident,9.920571233570831e-06,0.0004186242111759,4.203116042249507e-09,422.78855735712443,10.019258055377053,41.7281745
AMD,AMD CPU,CPU,CPU package RAPL,128,4T,clear_leader,4T,1.4477002407821068e-05,0.0016263004085608,2.349205040563893e-08,289.72185552266444,2.579046268402382,112.42009865792488,4T,clear_leader,4T,1.4477002407821068e-05,0.0016263004085608,2.349205040563893e-08,289.72185552266444,2.579046268402382,112.42009865792488,4T,clear_leader,4T,1.4477002407821068e-05,0.0016263004085608,2.349205040563893e-08,289.72185552266444,2.579046268402382,112.42009865792488,4T,clear_leader,4T,1.4477002407821068e-05,0.0016263004085608,2.349205040563893e-08,289.72185552266444,2.579046268402382,112.42009865792488,4T,clear_leader,4T,1.4477002407821068e-05,0.0016263004085608,2.349205040563893e-08,289.72185552266444,2.579046268402382,112.42009865792488
INTEL,Intel CPU,CPU,CPU package RAPL,128,4T,tie_or_uncertain,"1T,4T",1.3199319247906131e-05,0.0012227639253655,1.60855323067685e-08,317.7666909348648,3.4301829756273423,92.53256844533075,10T,tie_or_uncertain,"4T,8T,10T,16T,20T",1.2571068788372388e-05,0.0014470509976176,1.8156633505523653e-08,333.6473668714248,2.8985184398514154,114.59660859272012,4T,tie_or_uncertain,"4T,16T",1.3199319247906131e-05,0.0012227639253655,1.60855323067685e-08,317.7666909348648,3.4301829756273423,92.53256844533075,10T,tie_or_uncertain,"4T,8T,10T,16T,20T",1.2571068788372388e-05,0.0014470509976176,1.8156633505523653e-08,333.6473668714248,2.8985184398514154,114.59660859272012,4T,tie_or_uncertain,"1T,4T",1.3199319247906131e-05,0.0012227639253655,1.60855323067685e-08,317.7666909348648,3.4301829756273423,92.53256844533075
3090,RTX 3090,GPU,GPU board NVML,256,gpu_resident,single_configuration,gpu_resident,7.180509782803805e-06,0.0019915961861547,1.4299542522828053e-08,4672.987436122935,16.848009768880733,277.2113545,gpu_resident,single_configuration,gpu_resident,7.180509782803805e-06,0.0019915961861547,1.4299542522828053e-08,4672.987436122935,16.848009768880733,277.2113545,gpu_resident,single_configuration,gpu_resident,7.180509782803805e-06,0.0019915961861547,1.4299542522828053e-08,4672.987436122935,16.848009768880733,277.2113545,gpu_resident,single_configuration,gpu_resident,7.180509782803805e-06,0.0019915961861547,1.4299542522828053e-08,4672.987436122935,16.848009768880733,277.2113545,gpu_resident,single_configuration,gpu_resident,7.180509782803805e-06,0.0019915961861547,1.4299542522828053e-08,4672.987436122935,16.848009768880733,277.2113545
5060ti,RTX 5060 Ti,GPU,GPU board NVML,256,gpu_resident,single_configuration,gpu_resident,1.637327853013903e-05,0.0012479899127188,2.0442138841265857e-08,2049.3410613051533,26.886781421894845,76.18963600000001,gpu_resident,single_configuration,gpu_resident,1.637327853013903e-05,0.0012479899127188,2.0442138841265857e-08,2049.3410613051533,26.886781421894845,76.18963600000001,gpu_resident,single_configuration,gpu_resident,1.637327853013903e-05,0.0012479899127188,2.0442138841265857e-08,2049.3410613051533,26.886781421894845,76.18963600000001,gpu_resident,single_configuration,gpu_resident,1.637327853013903e-05,0.0012479899127188,2.0442138841265857e-08,2049.3410613051533,26.886781421894845,76.18963600000001,gpu_resident,single_configuration,gpu_resident,1.637327853013903e-05,0.0012479899127188,2.0442138841265857e-08,2049.3410613051533,26.886781421894845,76.18963600000001
