platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,power_w,throughput_gflops,efficiency_gflop_per_j,edp_j_s,temperature_c,clock_mhz,reported_throughput_gflops,throughput_normalization_delta_pct,policy,optimized_metric,selection_status,leader_configurations
3090,RTX 3090,GPU,GPU board NVML,1,64,gpu_resident,-1,5.217029646225186e-06,0.0008412728598968,161.274947,100.4954994609532,0.6232080279688508,4.3884049941422e-09,57.5,1965.0,100.49677,0.0012642745730984117,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,2,64,gpu_resident,-1,5.217261330258716e-06,0.0008383713225895,160.71482150000003,100.49103673593466,0.6253649020109819,4.3733747997053385e-09,57.0,1965.0,100.492252,0.0012093258312528832,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,3,64,gpu_resident,-1,5.224620282895767e-06,0.0008424448040085,161.272674,100.34949366873629,0.6223410691185296,4.4007040921198324e-09,57.0,1965.0,100.350511,0.0010137881383487368,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,4,64,gpu_resident,-1,5.215761141712569e-06,0.0008382078325822,160.70032500000002,100.51994057148345,0.6254868776218278,4.37204280930305e-09,56.5,1965.0,100.520949,0.001003212408234866,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,5,64,gpu_resident,-1,5.215406725472023e-06,0.0008423632879622,161.535514,100.5267714671954,0.6224012934708126,4.392692413771321e-09,59.0,1965.0,100.528114,0.001335497783339079,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,1,64,gpu_resident,-1,5.217029646225186e-06,0.0008412728598968,161.274947,100.4954994609532,0.6232080279688508,4.3884049941422e-09,57.5,1965.0,100.49677,0.0012642745730984117,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,2,64,gpu_resident,-1,5.217261330258716e-06,0.0008383713225895,160.71482150000003,100.49103673593466,0.6253649020109819,4.3733747997053385e-09,57.0,1965.0,100.492252,0.0012093258312528832,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,3,64,gpu_resident,-1,5.224620282895767e-06,0.0008424448040085,161.272674,100.34949366873629,0.6223410691185296,4.4007040921198324e-09,57.0,1965.0,100.350511,0.0010137881383487368,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,4,64,gpu_resident,-1,5.215761141712569e-06,0.0008382078325822,160.70032500000002,100.51994057148345,0.6254868776218278,4.37204280930305e-09,56.5,1965.0,100.520949,0.001003212408234866,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,5,64,gpu_resident,-1,5.215406725472023e-06,0.0008423632879622,161.535514,100.5267714671954,0.6224012934708126,4.392692413771321e-09,59.0,1965.0,100.528114,0.001335497783339079,runtime_opt,runtime_s,single_configuration,gpu_resident
