platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,power_w,throughput_gflops,efficiency_gflop_per_j,edp_j_s,temperature_c,clock_mhz,reported_throughput_gflops,throughput_normalization_delta_pct,policy,optimized_metric,selection_status,leader_configurations
3090,RTX 3090,GPU,GPU board NVML,1,64,gpu_resident,-1,5.266399936827144e-06,0.0009206785817693,174.8181105,99.55339630280123,0.569458234808132,4.848748744884246e-09,56.0,1965.0,99.55339632229892,1.9585155719425984e-08,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,2,64,gpu_resident,-1,5.2663084400027385e-06,0.0009366275794162,177.75053350000002,99.55512594316018,0.5597614372265107,4.935406381350505e-09,58.0,1950.0,99.55512610640272,1.639720137447398e-07,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,3,64,gpu_resident,-1,5.265313804667716e-06,0.0009229584664873,175.29308600000002,99.57393223841989,0.5680515635718633,4.859588271306211e-09,57.0,1950.0,99.57393224143136,3.024358541381389e-09,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,4,64,gpu_resident,-1,5.265390629524527e-06,0.0009341966020311,177.4047055,99.57247940165533,0.5612180550219408,4.919391837770915e-09,58.0,1950.0,99.57247940586151,4.224243177475273e-09,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,5,64,gpu_resident,-1,5.265276790649924e-06,0.0009361078206849,177.707753,99.5746322265584,0.5600722357136239,4.93111656963096e-09,58.0,1950.0,99.574632322228,9.607827866631169e-08,energy_opt,energy_j,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,1,64,gpu_resident,-1,5.266399936827144e-06,0.0009206785817693,174.8181105,99.55339630280123,0.569458234808132,4.848748744884246e-09,56.0,1965.0,99.55339632229892,1.9585155719425984e-08,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,2,64,gpu_resident,-1,5.2663084400027385e-06,0.0009366275794162,177.75053350000002,99.55512594316018,0.5597614372265107,4.935406381350505e-09,58.0,1950.0,99.55512610640272,1.639720137447398e-07,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,3,64,gpu_resident,-1,5.265313804667716e-06,0.0009229584664873,175.29308600000002,99.57393223841989,0.5680515635718633,4.859588271306211e-09,57.0,1950.0,99.57393224143136,3.024358541381389e-09,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,4,64,gpu_resident,-1,5.265390629524527e-06,0.0009341966020311,177.4047055,99.57247940165533,0.5612180550219408,4.919391837770915e-09,58.0,1950.0,99.57247940586151,4.224243177475273e-09,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,5,64,gpu_resident,-1,5.265276790649924e-06,0.0009361078206849,177.707753,99.5746322265584,0.5600722357136239,4.93111656963096e-09,58.0,1950.0,99.574632322228,9.607827866631169e-08,runtime_opt,runtime_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,1,64,gpu_resident,-1,5.266399936827144e-06,0.0009206785817693,174.8181105,99.55339630280123,0.569458234808132,4.848748744884246e-09,56.0,1965.0,99.55339632229892,1.9585155719425984e-08,edp_opt,edp_j_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,2,64,gpu_resident,-1,5.2663084400027385e-06,0.0009366275794162,177.75053350000002,99.55512594316018,0.5597614372265107,4.935406381350505e-09,58.0,1950.0,99.55512610640272,1.639720137447398e-07,edp_opt,edp_j_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,3,64,gpu_resident,-1,5.265313804667716e-06,0.0009229584664873,175.29308600000002,99.57393223841989,0.5680515635718633,4.859588271306211e-09,57.0,1950.0,99.57393224143136,3.024358541381389e-09,edp_opt,edp_j_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,4,64,gpu_resident,-1,5.265390629524527e-06,0.0009341966020311,177.4047055,99.57247940165533,0.5612180550219408,4.919391837770915e-09,58.0,1950.0,99.57247940586151,4.224243177475273e-09,edp_opt,edp_j_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,5,64,gpu_resident,-1,5.265276790649924e-06,0.0009361078206849,177.707753,99.5746322265584,0.5600722357136239,4.93111656963096e-09,58.0,1950.0,99.574632322228,9.607827866631169e-08,edp_opt,edp_j_s,single_configuration,gpu_resident
3090,RTX 3090,GPU,GPU board NVML,1,64,gpu_resident,-1,5.266399936827144e-06,0.0009206785817693,174.8181105,99.55339630280123,0.569458234808132,4.848748744884246e-09,56.0,1965.0,99.55339632229892,1.9585155719425984e-08,throughput_opt,throughput_gflops,single_configuration,gpu_resident
