platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,power_w,throughput_gflops,efficiency_gflop_per_j,edp_j_s,temperature_c,clock_mhz,reported_throughput_gflops,throughput_normalization_delta_pct
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,1T,1,2.5564774921052965e-06,0.0001600621949192,62.63501244853201,205.0821889177836,3.2755267429930135,4.090349093140591e-10,98.0,1339.0,205.0821903311601,6.891756276772298e-07
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,2T,2,2.481484534640308e-06,0.0001460082847464,58.83901910615528,211.27997885185115,3.590809938700598,3.62317962091293e-10,98.5,1348.5,211.28012037094,6.698177916764081e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,4T,4,2.465447094221049e-06,0.0001415585342898,57.41166444956847,212.65433001134718,3.7036834453701855,3.4903742261086346e-10,97.0,1339.0,212.65433087218088,4.0480421237276687e-07
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,8T,8,2.610057962333292e-06,0.0001641003342335,62.81353173902836,200.87216742547227,3.1949234134647484,4.2871214034706206e-10,99.0,1449.0,200.8722188078741,2.557965221861025e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,10T,10,2.470843345176688e-06,0.0001449107210277,58.6827157925059,212.18989905752548,3.6180069789300213,3.578434156542973e-10,99.0,1402.5,212.19048312378817,0.00027525639310077565
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,16T,16,2.452508285720594e-06,0.0001315633664435,53.61573401051566,213.77624004477283,3.9850606910788953,3.229599081398164e-10,84.0,1337.5,213.7762403143388,1.2609724375778342e-07
INTEL,Intel CPU,CPU,CPU package RAPL,1,64,20T,20,2.463185118747773e-06,0.0001421202651398,57.72504645204802,212.84961329521835,3.6890446234692256,3.5018414267256794e-10,99.0,1339.0,212.8496358766983,1.0609124245775092e-05
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,1T,1,2.4989542532891436e-05,0.0014331632017676,57.3969245301926,167.8423682418125,2.926605982366092,3.5871467386996176e-08,98.5,1338.0,167.842374455445,3.7020643661733743e-06
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,2T,2,1.9273314751532045e-05,0.0013910907867356,72.22933993795371,217.62234748262972,3.0151188117941268,2.6756060420744526e-08,94.5,1587.0,217.6251186107252,0.001273365592968645
INTEL,Intel CPU,CPU,CPU package RAPL,1,128,4T,4,1.238258696497825e-05,0.0011816319297914,95.3357299565742,338.7259877005327,3.549585868706547,1.4631661135124886e-08,94.0,1848.5,338.7271063895756,0.00033026371861755166
