platform,platform_label,device_kind,energy_domain,problem_size,energy_opt_configuration,energy_opt_selection_status,energy_opt_leader_configurations,energy_opt_runtime_s,energy_opt_energy_j,energy_opt_edp_j_s,energy_opt_throughput_gflops,energy_opt_efficiency_gflop_per_j,energy_opt_power_w,runtime_opt_configuration,runtime_opt_selection_status,runtime_opt_leader_configurations,runtime_opt_runtime_s,runtime_opt_energy_j,runtime_opt_edp_j_s,runtime_opt_throughput_gflops,runtime_opt_efficiency_gflop_per_j,runtime_opt_power_w,edp_opt_configuration,edp_opt_selection_status,edp_opt_leader_configurations,edp_opt_runtime_s,edp_opt_energy_j,edp_opt_edp_j_s,edp_opt_throughput_gflops,edp_opt_efficiency_gflop_per_j,edp_opt_power_w,throughput_opt_configuration,throughput_opt_selection_status,throughput_opt_leader_configurations,throughput_opt_runtime_s,throughput_opt_energy_j,throughput_opt_edp_j_s,throughput_opt_throughput_gflops,throughput_opt_efficiency_gflop_per_j,throughput_opt_power_w,efficiency_opt_configuration,efficiency_opt_selection_status,efficiency_opt_leader_configurations,efficiency_opt_runtime_s,efficiency_opt_energy_j,efficiency_opt_edp_j_s,efficiency_opt_throughput_gflops,efficiency_opt_efficiency_gflop_per_j,efficiency_opt_power_w
3090,RTX 3090,GPU,GPU board NVML,64,gpu_resident,single_configuration,gpu_resident,5.265390629524527e-06,0.0009341966020311,4.919391837770915e-09,99.57247940165533,0.5612180550219408,177.4047055,gpu_resident,single_configuration,gpu_resident,5.265390629524527e-06,0.0009341966020311,4.919391837770915e-09,99.57247940165533,0.5612180550219408,177.4047055,gpu_resident,single_configuration,gpu_resident,5.265390629524527e-06,0.0009341966020311,4.919391837770915e-09,99.57247940165533,0.5612180550219408,177.4047055,gpu_resident,single_configuration,gpu_resident,5.265390629524527e-06,0.0009341966020311,4.919391837770915e-09,99.57247940165533,0.5612180550219408,177.4047055,gpu_resident,single_configuration,gpu_resident,5.265390629524527e-06,0.0009341966020311,4.919391837770915e-09,99.57247940165533,0.5612180550219408,177.4047055
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,gpu_resident,single_configuration,gpu_resident,9.824193706499364e-06,0.0003301833153612,3.241224180560288e-09,53.36702590189648,1.587869451932971,33.572706,gpu_resident,single_configuration,gpu_resident,9.824193706499364e-06,0.0003301833153612,3.241224180560288e-09,53.36702590189648,1.587869451932971,33.572706,gpu_resident,single_configuration,gpu_resident,9.824193706499364e-06,0.0003301833153612,3.241224180560288e-09,53.36702590189648,1.587869451932971,33.572706,gpu_resident,single_configuration,gpu_resident,9.824193706499364e-06,0.0003301833153612,3.241224180560288e-09,53.36702590189648,1.587869451932971,33.572706,gpu_resident,single_configuration,gpu_resident,9.824193706499364e-06,0.0003301833153612,3.241224180560288e-09,53.36702590189648,1.587869451932971,33.572706
AMD,AMD CPU,CPU,CPU package RAPL,64,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.138008702643321e-06,0.0004390853733376,2.693620855628583e-09,85.41662702013058,1.1940456955210168,71.70195036390024,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.138008702643321e-06,0.0004390853733376,2.693620855628583e-09,85.41662702013058,1.1940456955210168,71.70195036390024,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.138008702643321e-06,0.0004390853733376,2.693620855628583e-09,85.41662702013058,1.1940456955210168,71.70195036390024,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.138008702643321e-06,0.0004390853733376,2.693620855628583e-09,85.41662702013058,1.1940456955210168,71.70195036390024,8T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T,32T,64T",6.138008702643321e-06,0.0004390853733376,2.693620855628583e-09,85.41662702013058,1.1940456955210168,71.70195036390024
INTEL,Intel CPU,CPU,CPU package RAPL,64,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.476036837876259e-06,0.0001315633664435,3.229599081398164e-10,211.7448302787333,3.9850606910788953,53.61573401051566,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.476036837876259e-06,0.0001315633664435,3.229599081398164e-10,211.7448302787333,3.9850606910788953,53.61573401051566,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.476036837876259e-06,0.0001315633664435,3.229599081398164e-10,211.7448302787333,3.9850606910788953,53.61573401051566,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.476036837876259e-06,0.0001315633664435,3.229599081398164e-10,211.7448302787333,3.9850606910788953,53.61573401051566,16T,tie_or_uncertain,"1T,2T,4T,8T,10T,16T,20T",2.476036837876259e-06,0.0001315633664435,3.229599081398164e-10,211.7448302787333,3.9850606910788953,53.61573401051566
3090,RTX 3090,GPU,GPU board NVML,128,gpu_resident,single_configuration,gpu_resident,5.186626183838249e-06,0.0010086930828564,5.234266457310598e-09,808.6767488795765,4.158156798421419,194.488466,gpu_resident,single_configuration,gpu_resident,5.186626183838249e-06,0.0010086930828564,5.234266457310598e-09,808.6767488795765,4.158156798421419,194.488466,gpu_resident,single_configuration,gpu_resident,5.186626183838249e-06,0.0010086930828564,5.234266457310598e-09,808.6767488795765,4.158156798421419,194.488466,gpu_resident,single_configuration,gpu_resident,5.186626183838249e-06,0.0010086930828564,5.234266457310598e-09,808.6767488795765,4.158156798421419,194.488466,gpu_resident,single_configuration,gpu_resident,5.186626183838249e-06,0.0010086930828564,5.234266457310598e-09,808.6767488795765,4.158156798421419,194.488466
5060ti,RTX 5060 Ti,GPU,GPU board NVML,128,gpu_resident,single_configuration,gpu_resident,9.844514270493175e-06,0.0004243214979824,4.177338209321127e-09,426.054946415338,9.884731317982789,43.2283795,gpu_resident,single_configuration,gpu_resident,9.844514270493175e-06,0.0004243214979824,4.177338209321127e-09,426.054946415338,9.884731317982789,43.2283795,gpu_resident,single_configuration,gpu_resident,9.844514270493175e-06,0.0004243214979824,4.177338209321127e-09,426.054946415338,9.884731317982789,43.2283795,gpu_resident,single_configuration,gpu_resident,9.844514270493175e-06,0.0004243214979824,4.177338209321127e-09,426.054946415338,9.884731317982789,43.2283795,gpu_resident,single_configuration,gpu_resident,9.844514270493175e-06,0.0004243214979824,4.177338209321127e-09,426.054946415338,9.884731317982789,43.2283795
AMD,AMD CPU,CPU,CPU package RAPL,128,4T,tie_or_uncertain,"4T,10T,16T,64T",1.3358346501653231e-05,0.0015195568035815,2.0253929201305706e-08,313.98377033272135,2.760215340495524,113.74900797740266,4T,tie_or_uncertain,"4T,10T,16T,64T",1.3358346501653231e-05,0.0015195568035815,2.0253929201305706e-08,313.98377033272135,2.760215340495524,113.74900797740266,4T,tie_or_uncertain,"4T,10T,16T,64T",1.3358346501653231e-05,0.0015195568035815,2.0253929201305706e-08,313.98377033272135,2.760215340495524,113.74900797740266,4T,tie_or_uncertain,"4T,10T,16T,64T",1.3358346501653231e-05,0.0015195568035815,2.0253929201305706e-08,313.98377033272135,2.760215340495524,113.74900797740266,4T,tie_or_uncertain,"4T,10T,16T,64T",1.3358346501653231e-05,0.0015195568035815,2.0253929201305706e-08,313.98377033272135,2.760215340495524,113.74900797740266
INTEL,Intel CPU,CPU,CPU package RAPL,128,4T,clear_leader,4T,1.238258696497825e-05,0.0011816319297914,1.4631661135124886e-08,338.7259877005327,3.549585868706547,93.02313474852448,8T,tie_or_uncertain,"4T,8T,10T,16T,20T",1.178946383237596e-05,0.0014275580101796,1.7363656290697365e-08,355.7671544384993,2.9380970651219407,120.68435096329333,4T,tie_or_uncertain,"4T,8T,10T,20T",1.238258696497825e-05,0.0011816319297914,1.4631661135124886e-08,338.7259877005327,3.549585868706547,93.02313474852448,8T,tie_or_uncertain,"4T,8T,10T,16T,20T",1.178946383237596e-05,0.0014275580101796,1.7363656290697365e-08,355.7671544384993,2.9380970651219407,120.68435096329333,4T,clear_leader,4T,1.238258696497825e-05,0.0011816319297914,1.4631661135124886e-08,338.7259877005327,3.549585868706547,93.02313474852448
3090,RTX 3090,GPU,GPU board NVML,256,gpu_resident,single_configuration,gpu_resident,7.282658879559572e-06,0.0021616795683107,1.5742947946253712e-08,4607.442495237295,15.522389391977264,296.822251,gpu_resident,single_configuration,gpu_resident,7.282658879559572e-06,0.0021616795683107,1.5742947946253712e-08,4607.442495237295,15.522389391977264,296.822251,gpu_resident,single_configuration,gpu_resident,7.282658879559572e-06,0.0021616795683107,1.5742947946253712e-08,4607.442495237295,15.522389391977264,296.822251,gpu_resident,single_configuration,gpu_resident,7.282658879559572e-06,0.0021616795683107,1.5742947946253712e-08,4607.442495237295,15.522389391977264,296.822251,gpu_resident,single_configuration,gpu_resident,7.282658879559572e-06,0.0021616795683107,1.5742947946253712e-08,4607.442495237295,15.522389391977264,296.822251
5060ti,RTX 5060 Ti,GPU,GPU board NVML,256,gpu_resident,single_configuration,gpu_resident,1.63740113641946e-05,0.0012476624035895,2.04331027280577e-08,2049.249341146434,26.89383915349582,76.190404,gpu_resident,single_configuration,gpu_resident,1.63740113641946e-05,0.0012476624035895,2.04331027280577e-08,2049.249341146434,26.89383915349582,76.190404,gpu_resident,single_configuration,gpu_resident,1.63740113641946e-05,0.0012476624035895,2.04331027280577e-08,2049.249341146434,26.89383915349582,76.190404,gpu_resident,single_configuration,gpu_resident,1.63740113641946e-05,0.0012476624035895,2.04331027280577e-08,2049.249341146434,26.89383915349582,76.190404,gpu_resident,single_configuration,gpu_resident,1.63740113641946e-05,0.0012476624035895,2.04331027280577e-08,2049.249341146434,26.89383915349582,76.190404
