workload,size,sessions_per_platform,bootstrap_replicates,seed,speedup_3090_vs_5060_point,speedup_ci95_low,speedup_ci95_high,energy_saving_5060_vs_3090_point_pct,energy_saving_ci95_low_pct,energy_saving_ci95_high_pct,speedup_ci_crosses_neutral_1,energy_ci_crosses_neutral_0
AXPY,16000000,5,5000,20260730,2.1056390775469316,2.1052764576123746,2.109969116783203,43.03663676538051,42.349221536234246,43.251188547015154,False,False
AXPY,32000000,5,5000,20260730,2.121770627088266,2.1213401604233844,2.1237852861211928,42.456627244239186,41.900314896046396,43.8950771595824,False,False
AXPY,64000000,5,5000,20260730,2.1260816099387405,2.124240309126825,2.1269695899069165,43.2256690875778,42.47458286129904,43.52687731729375,False,False
AXPY,128000000,5,5000,20260730,2.134948430702935,2.134129525317291,2.1355566074599004,42.443711305346014,42.02495653232339,42.97742628512506,False,False
AXPY,256000000,5,5000,20260730,2.1410043735532813,2.140553141605921,2.1419640999616805,41.9893555586771,41.53822656563353,42.83443203797186,False,False
STREAM,16000000,5,5000,20260730,2.111422404454289,2.1096050922927705,2.1143975668682105,39.25989400902412,38.921469943416376,39.761043111658964,False,False
STREAM,32000000,5,5000,20260730,2.1293521186709015,2.1266382027056596,2.1314979083260983,39.329302354663064,39.06882572791554,39.80489249830137,False,False
STREAM,64000000,5,5000,20260730,2.1345341945311027,2.132480793411158,2.136286469249079,38.87629297496291,38.36343519558378,39.32677076239302,False,False
STREAM,128000000,5,5000,20260730,2.1445070644672537,2.1431605084913925,2.145167044658937,38.631463839030566,37.90200759109459,38.9898304259526,False,False
STREAM,256000000,5,5000,20260730,2.1448619998892053,2.1415827787764603,2.1483128726329626,38.478629054287836,38.13838150218839,38.67480273983514,False,False
REDUCTION,16000000,5,5000,20260730,2.0527158553631946,2.0516682369980552,2.053198077052969,49.58205351328476,48.486377310171434,52.58392007120762,False,False
REDUCTION,32000000,5,5000,20260730,2.0702141060672417,2.0695682211334967,2.0711181553927287,50.48315979220088,50.032872790307636,50.906712228971514,False,False
REDUCTION,64000000,5,5000,20260730,2.0803089148851415,2.0786656575412095,2.080530966441179,50.63728421136267,48.96304047646428,51.13041441632925,False,False
REDUCTION,128000000,5,5000,20260730,2.084686749144885,2.0828090012435707,2.084772279203398,50.43545389241165,49.9076897963178,50.782133670206676,False,False
REDUCTION,256000000,5,5000,20260730,2.0875005045831427,2.086277589552888,2.0879903399245494,50.59574781313707,50.14701789362992,50.9379308514125,False,False
